QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
4,2:19.0,M. Smart makes 2-pt layup from 1 ft,,108,100
4,2:19.0,Shooting foul by L. Nance (drawn by M. Smart),,108,100
4,2:19.0,M. Smart makes free throw 1 of 1,,109,100
4,2:08.0,,L. Nance misses 2-pt hook shot from 6 ft,109,100
4,2:06.0,,Offensive rebound by Team,109,100
4,2:06.0,,Loose ball foul by L. Nance (drawn by M. Smart),109,100
4,2:06.0,,Turnover by L. Nance (turnover),109,100
4,2:06.0,M. Smart makes free throw 1 of 2,,110,100
4,2:06.0,M. Smart makes free throw 2 of 2,,111,100
4,1:47.0,,K. Love makes 2-pt hook shot from 7 ft,111,102
4,1:30.0,J. Tatum misses 2-pt layup from 1 ft,,111,102
4,1:28.0,,Defensive rebound by N. Stauskas,111,102
4,1:18.0,,J. Clarkson makes 2-pt layup at rim,111,104
4,0:56.0,M. Morris makes 2-pt layup from 4 ft,,113,104
4,0:56.0,Shooting foul by C. Osman (drawn by M. Morris),,113,104
4,0:56.0,M. Morris makes free throw 1 of 1,,114,104
4,0:47.0,,Turnover by J. Clarkson (bad pass; steal by M. Smart),114,104
4,0:45.0,G. Hayward makes 2-pt dunk from 1 ft (assist by M. Smart),,116,104
4,0:39.0,,K. Love makes 2-pt dunk from 2 ft (assist by J. Clarkson),116,106
4,0:17.0,M. Morris misses 2-pt jump shot from 16 ft,,116,106
4,0:17.0,,Defensive rebound by K. Love,116,106
4,0:11.0,,Turnover by K. Love (bad pass; steal by M. Smart),116,106
