QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
2,7:30.0,Miami full timeout,,41,31
2,7:30.0,,S. Adams enters the game for R. Felton,41,31
2,7:30.0,,D. Schröder enters the game for M. Morris,41,31
2,7:18.0,D. Jones misses 3-pt jump shot from 23 ft,,41,31
2,7:16.0,,Defensive rebound by Team,41,31
2,7:05.0,,D. Schröder makes 3-pt jump shot from 22 ft (assist by J. Grant),41,34
2,6:43.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,44,34
2,6:24.0,,P. George makes 3-pt jump shot from 25 ft (assist by S. Adams),44,37
2,6:01.0,D. Jones makes 2-pt layup from 1 ft (assist by G. Dragić),,46,37
2,5:49.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by P. George),46,40
2,5:33.0,G. Dragić misses 2-pt layup from 1 ft,,46,40
2,5:31.0,,Defensive rebound by P. George,46,40
2,5:28.0,,D. Schröder misses 3-pt jump shot from 24 ft,46,40
2,5:25.0,Defensive rebound by D. Jones,,46,40
2,5:09.0,D. Jones misses 2-pt layup from 5 ft (block by P. George),,46,40
2,5:09.0,Offensive rebound by Team,,46,40
2,5:09.0,J. Richardson enters the game for G. Dragić,,46,40
2,5:06.0,Personal foul by T. Ferguson (drawn by J. Richardson),,46,40
2,4:56.0,K. Olynyk makes 2-pt dunk from 2 ft,,48,40
2,4:46.0,,Shooting foul by D. Waiters (drawn by D. Schröder),48,40
2,4:46.0,,D. Schröder misses free throw 1 of 2,48,40
2,4:46.0,,Offensive rebound by Team,48,40
2,4:46.0,,D. Schröder makes free throw 2 of 2,48,41
2,4:29.0,Turnover by B. Adebayo (bad pass),,48,41
2,4:24.0,,Shooting foul by D. Jones (drawn by P. George),48,41
2,4:24.0,,P. George makes free throw 1 of 3,48,42
2,4:24.0,,P. George makes free throw 2 of 3,48,43
2,4:24.0,D. Wade enters the game for D. Jones,,48,43
2,4:24.0,,P. George makes free throw 3 of 3,48,44
2,4:04.0,J. Richardson makes 2-pt layup from 2 ft (assist by B. Adebayo),,50,44
2,3:46.0,,T. Ferguson misses 3-pt jump shot from 26 ft,50,44
2,3:45.0,,Offensive rebound by S. Adams,50,44
2,3:42.0,,Turnover by T. Ferguson (bad pass; steal by K. Olynyk),50,44
2,3:42.0,Personal foul by S. Adams (drawn by K. Olynyk),,50,44
2,3:42.0,K. Olynyk makes free throw 1 of 2,,51,44
2,3:42.0,,M. Morris enters the game for S. Adams,51,44
2,3:42.0,K. Olynyk makes free throw 2 of 2,,52,44
2,3:26.0,,M. Morris misses 3-pt jump shot from 23 ft,52,44
2,3:21.0,,Offensive rebound by J. Grant,52,44
2,3:21.0,,J. Grant makes 2-pt layup at rim,52,46
2,3:08.0,D. Wade makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,55,46
2,2:52.0,,P. George makes 3-pt jump shot from 25 ft,55,49
2,2:39.0,Turnover by D. Waiters (bad pass; steal by P. George),,55,49
2,2:28.0,,T. Ferguson misses 3-pt jump shot from 23 ft,55,49
2,2:25.0,Defensive rebound by D. Waiters,,55,49
2,2:16.0,J. Richardson misses 2-pt jump shot from 14 ft,,55,49
2,2:13.0,Offensive rebound by B. Adebayo,,55,49
2,2:12.0,B. Adebayo misses 2-pt layup from 2 ft,,55,49
