QUARTER,TIME_REMAINING,PHOENIX_ACTION,ATLANTA_ACTION,PHOENIX_SCORE,ATLANTA_SCORE
4,5:46.0,,Loose ball foul by O. Spellman (drawn by D. Ayton),101,95
4,5:46.0,D. Ayton makes free throw 1 of 2,,102,95
4,5:46.0,D. Ayton makes free throw 2 of 2,,103,95
4,5:39.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by T. Young),103,98
4,5:18.0,Turnover by K. Oubre (lost ball; steal by T. Prince),,103,98
4,5:04.0,,T. Young misses 2-pt layup from 1 ft,103,98
4,5:03.0,,Offensive rebound by Team,103,98
4,4:50.0,,O. Spellman makes 2-pt layup from 1 ft (assist by T. Young),103,100
4,4:50.0,,Shooting foul by D. Booker (drawn by O. Spellman),103,100
4,4:50.0,,J. Collins enters the game for D. Dedmon,103,100
4,4:50.0,,O. Spellman misses free throw 1 of 1,103,100
4,4:48.0,Defensive rebound by D. Ayton,,103,100
4,4:33.0,D. Booker misses 3-pt jump shot from 25 ft,,103,100
4,4:30.0,,Defensive rebound by J. Collins,103,100
4,4:27.0,,Personal foul by D. Booker (drawn by T. Young),103,100
4,4:27.0,,T. Young makes free throw 1 of 2,103,101
4,4:27.0,,T. Young makes free throw 2 of 2,103,102
4,4:16.0,T. Johnson makes 2-pt jump shot from 11 ft (assist by D. Booker),,105,102
4,4:05.0,,T. Young makes 3-pt jump shot from 29 ft (assist by J. Collins),105,105
4,4:03.0,Phoenix full timeout,,105,105
4,4:03.0,,K. Bazemore enters the game for T. Prince,105,105
4,3:48.0,K. Oubre misses 3-pt jump shot from 24 ft,,105,105
4,3:47.0,,Defensive rebound by Team,105,105
4,3:36.0,,Shooting foul by K. Oubre (drawn by J. Collins),105,105
4,3:36.0,,J. Collins makes free throw 1 of 2,105,106
4,3:36.0,,J. Collins makes free throw 2 of 2,105,107
4,3:29.0,Shooting foul by T. Young (drawn by T. Johnson),,105,107
4,3:29.0,T. Johnson makes free throw 1 of 2,,106,107
4,3:29.0,T. Johnson makes free throw 2 of 2,,107,107
4,3:19.0,,Offensive foul by J. Collins (drawn by K. Oubre),107,107
4,3:19.0,,Turnover by J. Collins (offensive foul),107,107
4,3:05.0,D. Booker misses 2-pt jump shot from 17 ft,,107,107
4,3:00.0,,Defensive rebound by J. Collins,107,107
4,2:56.0,,Personal foul by D. Ayton (drawn by T. Young),107,107
4,2:56.0,,T. Young makes free throw 1 of 2,107,108
4,2:56.0,,D. Dedmon enters the game for D. Bembry,107,108
4,2:56.0,,T. Prince enters the game for O. Spellman,107,108
4,2:56.0,,T. Young makes free throw 2 of 2,107,109
4,2:43.0,M. Bridges misses 3-pt jump shot from 25 ft,,107,109
4,2:39.0,,Defensive rebound by T. Prince,107,109
4,2:19.0,,K. Bazemore misses 2-pt jump shot from 7 ft,107,109
4,2:16.0,Defensive rebound by D. Booker,,107,109
4,2:13.0,D. Booker misses 2-pt layup from 2 ft (block by D. Dedmon),,107,109
4,2:10.0,,Defensive rebound by T. Prince,107,109
4,2:09.0,,T. Prince makes 2-pt layup from 2 ft,107,111
4,2:09.0,,Shooting foul by M. Bridges (drawn by T. Prince),107,111
4,2:09.0,,Technical foul by I. Kokoskov,107,111
4,2:09.0,,T. Prince makes technical free throw,107,112
4,2:09.0,,T. Prince misses free throw 1 of 1,107,112
4,2:06.0,Defensive rebound by D. Ayton,,107,112
4,1:55.0,Personal foul by K. Bazemore (drawn by D. Booker),,107,112
4,1:55.0,D. Booker makes free throw 1 of 2,,108,112
4,1:55.0,D. Booker makes free throw 2 of 2,,109,112
4,1:45.0,,Shooting foul by D. Ayton (drawn by T. Prince),109,112
4,1:45.0,,T. Prince makes free throw 1 of 2,109,113
4,1:45.0,,T. Prince misses free throw 2 of 2,109,113
4,1:43.0,Defensive rebound by D. Booker,,109,113
4,1:24.0,Turnover by D. Ayton (bad pass; steal by D. Dedmon),,109,113
4,1:11.0,,T. Young misses 2-pt jump shot from 9 ft,109,113
4,1:07.0,Defensive rebound by D. Booker,,109,113
4,1:03.0,M. Bridges misses 3-pt jump shot from 23 ft,,109,113
4,0:59.0,,Defensive rebound by K. Bazemore,109,113
4,0:58.0,,Atlanta full timeout,109,113
4,0:47.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),109,115
4,0:40.0,T. Johnson misses 2-pt layup from 3 ft,,109,115
4,0:36.0,,Defensive rebound by J. Collins,109,115
4,0:30.0,,Personal foul by M. Bridges (drawn by T. Young),109,115
4,0:30.0,,Offensive rebound by Team,109,115
4,0:30.0,,T. Young misses free throw 1 of 2,109,115
4,0:30.0,R. Holmes enters the game for T. Johnson,,109,115
4,0:30.0,,T. Young makes free throw 2 of 2,109,116
4,0:30.0,Phoenix full timeout,,109,116
4,0:30.0,T. Johnson enters the game for R. Holmes,,109,116
4,0:28.0,D. Booker misses 3-pt jump shot from 25 ft,,109,116
4,0:23.0,Offensive rebound by M. Bridges,,109,116
4,0:23.0,M. Bridges misses 2-pt layup from 1 ft,,109,116
4,0:22.0,,Defensive rebound by D. Dedmon,109,116
4,0:19.0,,Personal foul by K. Oubre (drawn by J. Collins),109,116
4,0:19.0,,J. Collins makes free throw 1 of 2,109,117
4,0:19.0,,J. Collins makes free throw 2 of 2,109,118
4,0:13.0,Shooting foul by K. Bazemore (drawn by D. Booker),,109,118
4,0:13.0,D. Booker makes free throw 1 of 3,,110,118
4,0:13.0,D. Booker makes free throw 2 of 3,,111,118
4,0:13.0,D. Booker makes free throw 3 of 3,,112,118
4,0:12.0,,Personal take foul by K. Oubre (drawn by T. Young),112,118
4,0:12.0,,T. Young makes free throw 1 of 2,112,119
4,0:12.0,D. Melton enters the game for K. Oubre,,112,119
4,0:12.0,,T. Young makes free throw 2 of 2,112,120
4,0:04.0,M. Bridges misses 3-pt jump shot from 26 ft,,112,120
4,0:00.0,,Defensive rebound by T. Young,112,120
