QUARTER,TIME_REMAINING,ORLANDO_ACTION,SAN ANTONIO_ACTION,ORLANDO_SCORE,SAN ANTONIO_SCORE
4,3:41.0,,P. Gasol makes 2-pt layup at rim,111,101
4,3:28.0,Turnover by E. Fournier (bad pass),,111,101
4,3:09.0,,B. Forbes makes 3-pt jump shot from 25 ft,111,104
4,3:00.0,Orlando full timeout,,111,104
4,2:50.0,D. Augustin misses 2-pt layup from 4 ft (block by P. Gasol),,111,104
4,2:50.0,Offensive rebound by D. Augustin,,111,104
4,2:46.0,E. Fournier misses 3-pt jump shot from 25 ft,,111,104
4,2:45.0,,Defensive rebound by P. Gasol,111,104
4,2:30.0,,B. Forbes misses 3-pt jump shot from 25 ft,111,104
4,2:29.0,,Offensive rebound by Team,111,104
4,2:29.0,,Personal foul by A. Gordon (drawn by P. Gasol),111,104
4,2:29.0,,P. Gasol makes free throw 1 of 2,111,105
4,2:29.0,,P. Gasol misses free throw 2 of 2,111,105
4,2:27.0,Defensive rebound by N. Vučević,,111,105
4,2:14.0,Personal foul by D. DeRozan (drawn by N. Vučević),,111,105
4,2:00.0,A. Gordon misses 2-pt jump shot from 13 ft,,111,105
4,1:57.0,Offensive rebound by D. Augustin,,111,105
4,1:57.0,Personal foul by P. Mills (drawn by D. Augustin),,111,105
4,1:50.0,A. Gordon makes 2-pt layup from 1 ft (assist by E. Fournier),,113,105
4,1:41.0,,P. Gasol makes 3-pt jump shot from 26 ft (assist by B. Forbes),113,108
4,1:28.0,N. Vučević makes 2-pt layup from 1 ft,,115,108
4,1:21.0,,B. Forbes misses 3-pt jump shot from 25 ft,115,108
4,1:21.0,Defensive rebound by N. Vučević,,115,108
4,1:04.0,N. Vučević misses 2-pt jump shot from 10 ft,,115,108
4,1:01.0,,Defensive rebound by P. Gasol,115,108
4,0:50.0,,B. Forbes misses 2-pt layup from 2 ft,115,108
4,0:48.0,Defensive rebound by N. Vučević,,115,108
4,0:31.0,E. Fournier misses 2-pt jump shot from 6 ft,,115,108
4,0:31.0,Offensive rebound by Team,,115,108
4,0:31.0,,Loose ball foul by P. Gasol (drawn by N. Vučević),115,108
4,0:31.0,N. Vučević misses free throw 1 of 2,,115,108
4,0:31.0,Offensive rebound by Team,,115,108
4,0:31.0,N. Vučević misses free throw 2 of 2,,115,108
4,0:29.0,,Defensive rebound by D. DeRozan,115,108
4,0:23.0,,L. Aldridge misses 3-pt jump shot from 25 ft,115,108
4,0:20.0,Defensive rebound by Team,,115,108
4,0:16.0,Personal foul by B. Forbes (drawn by D. Augustin),,115,108
4,0:16.0,D. Augustin makes free throw 1 of 2,,116,108
4,0:16.0,D. Augustin makes free throw 2 of 2,,117,108
4,0:09.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by P. Mills),117,110
