QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
4,6:41.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by D. Augustin),96,130
4,6:39.0,Atlanta full timeout,,96,130
4,6:39.0,D. Bembry enters the game for J. Anderson,,96,130
4,6:39.0,V. Carter enters the game for T. Prince,,96,130
4,6:30.0,Shooting foul by J. Martin (drawn by T. Young),,96,130
4,6:30.0,T. Young makes free throw 1 of 2,,97,130
4,6:30.0,T. Young misses free throw 2 of 2,,97,130
4,6:28.0,,Defensive rebound by N. Vučević,97,130
4,6:12.0,,Personal foul by D. Bembry (drawn by T. Ross),97,130
4,6:07.0,,E. Fournier makes 2-pt layup from 1 ft (assist by J. Martin),97,132
4,5:59.0,Shooting foul by J. Martin (drawn by J. Collins),,97,132
4,5:59.0,J. Collins makes free throw 1 of 3,,98,132
4,5:59.0,Offensive rebound by Team,,98,132
4,5:59.0,J. Collins misses free throw 2 of 3,,98,132
4,5:59.0,J. Collins makes free throw 3 of 3,,99,132
4,5:45.0,,E. Fournier makes 3-pt jump shot from 25 ft,99,135
4,5:32.0,Shooting foul by N. Vučević (drawn by V. Carter),,99,135
4,5:32.0,V. Carter makes free throw 1 of 2,,100,135
4,5:32.0,V. Carter makes free throw 2 of 2,,101,135
4,5:17.0,,N. Vučević misses 3-pt jump shot from 26 ft,101,135
4,5:14.0,Defensive rebound by T. Young,,101,135
4,5:08.0,J. Collins misses 3-pt jump shot from 23 ft,,101,135
4,5:06.0,,Defensive rebound by D. Augustin,101,135
4,4:56.0,,J. Martin misses 3-pt jump shot from 24 ft,101,135
4,4:51.0,Defensive rebound by T. Young,,101,135
4,4:46.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,103,135
4,4:45.0,,Orlando full timeout,103,135
4,4:45.0,,M. Carter-Williams enters the game for D. Augustin,103,135
4,4:45.0,,M. Frazier enters the game for E. Fournier,103,135
4,4:45.0,,J. Grant enters the game for T. Ross,103,135
4,4:45.0,,A. Jefferson enters the game for N. Vučević,103,135
4,4:25.0,,J. Grant makes 3-pt jump shot from 26 ft,103,138
4,4:11.0,Shooting foul by J. Grant (drawn by D. Bembry),,103,138
4,4:11.0,D. Bembry misses free throw 1 of 2,,103,138
4,4:11.0,Offensive rebound by Team,,103,138
4,4:11.0,J. Adams enters the game for A. Len,,103,138
4,4:11.0,D. Bembry makes free throw 2 of 2,,104,138
4,3:51.0,,Shooting foul by J. Collins (drawn by M. Carter-Williams),104,138
4,3:51.0,,M. Carter-Williams makes free throw 1 of 2,104,139
4,3:51.0,,M. Carter-Williams makes free throw 2 of 2,104,140
4,3:44.0,T. Young misses 2-pt jump shot from 12 ft,,104,140
4,3:40.0,Offensive rebound by T. Young,,104,140
4,3:40.0,T. Young makes 2-pt layup from 2 ft,,106,140
4,3:40.0,Shooting foul by J. Martin (drawn by T. Young),,106,140
4,3:40.0,T. Young makes free throw 1 of 1,,107,140
4,3:25.0,,J. Grant makes 3-pt jump shot from 26 ft,107,143
4,3:08.0,D. Bembry makes 2-pt layup from 2 ft (assist by V. Carter),,109,143
4,2:38.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by J. Grant),109,145
4,2:23.0,J. Collins misses 3-pt jump shot from 27 ft,,109,145
4,2:23.0,,Defensive rebound by J. Martin,109,145
4,2:13.0,,A. Jefferson misses 2-pt jump shot from 6 ft,109,145
4,2:11.0,Defensive rebound by D. Bembry,,109,145
4,2:06.0,T. Young misses 3-pt jump shot from 28 ft,,109,145
4,2:03.0,,Defensive rebound by M. Carter-Williams,109,145
4,1:58.0,,M. Frazier misses 3-pt jump shot from 23 ft,109,145
4,1:55.0,,Offensive rebound by J. Martin,109,145
4,1:54.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by J. Grant),109,147
4,1:54.0,Atlanta full timeout,,109,147
4,1:54.0,J. Anderson enters the game for V. Carter,,109,147
4,1:54.0,I. Humphries enters the game for T. Young,,109,147
4,1:39.0,J. Collins misses 2-pt layup from 2 ft,,109,147
4,1:36.0,,Defensive rebound by J. Martin,109,147
4,1:27.0,,M. Frazier misses 3-pt jump shot from 23 ft,109,147
4,1:24.0,Defensive rebound by J. Adams,,109,147
4,1:19.0,Turnover by J. Adams (lost ball; steal by J. Martin),,109,147
4,1:06.0,,Personal foul by D. Bembry (drawn by M. Frazier),109,147
4,1:06.0,,M. Frazier misses free throw 1 of 2,109,147
4,1:06.0,,Offensive rebound by Team,109,147
4,1:06.0,,M. Frazier misses free throw 2 of 2,109,147
4,1:03.0,Defensive rebound by D. Bembry,,109,147
4,0:53.0,Turnover by D. Bembry (lost ball; steal by M. Carter-Williams),,109,147
4,0:49.0,,M. Frazier makes 2-pt dunk from 1 ft (assist by M. Carter-Williams),109,149
4,0:43.0,I. Humphries misses 3-pt jump shot from 26 ft,,109,149
4,0:43.0,Offensive rebound by J. Collins,,109,149
4,0:36.0,J. Collins makes 2-pt layup at rim,,111,149
4,0:28.0,,J. Grant misses 3-pt jump shot from 27 ft,111,149
4,0:24.0,Defensive rebound by D. Bembry,,111,149
4,0:20.0,Shooting foul by J. Martin (drawn by J. Anderson),,111,149
4,0:20.0,,W. Iwundu enters the game for J. Martin,111,149
4,0:20.0,J. Anderson makes free throw 1 of 2,,112,149
4,0:20.0,J. Anderson makes free throw 2 of 2,,113,149
