QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
4,6:06.0,,Offensive rebound by S. Gilgeous-Alexander,90,114
4,6:03.0,,B. Marjanović makes 2-pt layup from 3 ft (assist by S. Gilgeous-Alexander),90,116
4,5:55.0,Shooting foul by B. Marjanović (drawn by K. Oubre),,90,116
4,5:55.0,K. Oubre makes free throw 1 of 2,,91,116
4,5:55.0,K. Oubre makes free throw 2 of 2,,92,116
4,5:43.0,,J. Robinson misses 2-pt jump shot from 5 ft,92,116
4,5:40.0,Defensive rebound by T. Bryant,,92,116
4,5:35.0,K. Oubre misses 2-pt layup from 3 ft,,92,116
4,5:33.0,,Defensive rebound by B. Marjanović,92,116
4,5:25.0,,J. Robinson misses 2-pt layup from 3 ft,92,116
4,5:18.0,,Offensive rebound by B. Marjanović,92,116
4,5:18.0,,B. Marjanović makes 2-pt dunk at rim,92,118
4,5:12.0,T. Bryant makes 2-pt hook shot from 4 ft (assist by T. Satoranský),,94,118
4,5:12.0,Shooting foul by B. Marjanović (drawn by T. Bryant),,94,118
4,5:12.0,T. Bryant makes free throw 1 of 1,,95,118
4,5:00.0,,J. Robinson makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),95,120
4,4:40.0,J. McRae misses 2-pt jump shot from 3 ft,,95,120
4,4:38.0,,Defensive rebound by B. Marjanović,95,120
4,4:36.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),95,123
4,4:24.0,T. Satoranský misses 2-pt jump shot from 13 ft,,95,123
4,4:19.0,,Defensive rebound by B. Marjanović,95,123
4,4:17.0,,Turnover by T. Wallace (traveling),95,123
4,4:06.0,J. McRae misses 2-pt jump shot from 13 ft,,95,123
4,3:56.0,Offensive rebound by T. Bryant,,95,123
4,3:56.0,T. Bryant makes 2-pt layup from 1 ft,,97,123
4,3:45.0,,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,97,125
4,3:31.0,T. Brown misses 2-pt jump shot from 7 ft (block by B. Marjanović),,97,125
4,3:28.0,Offensive rebound by T. Brown,,97,125
4,3:26.0,T. Brown makes 3-pt jump shot from 23 ft (assist by T. Bryant),,100,125
4,3:14.0,,T. Wallace misses 2-pt layup from 3 ft,100,125
4,3:14.0,,Offensive rebound by B. Marjanović,100,125
4,3:14.0,,B. Marjanović makes 2-pt dunk at rim,100,127
4,3:14.0,,Shooting foul by T. Bryant (drawn by B. Marjanović),100,127
4,3:14.0,,B. Marjanović makes free throw 1 of 1,100,128
4,2:54.0,T. Bryant misses 2-pt jump shot from 9 ft,,100,128
4,2:51.0,,Defensive rebound by S. Gilgeous-Alexander,100,128
4,2:45.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft (block by J. McRae),100,128
4,2:42.0,Defensive rebound by T. Brown,,100,128
4,2:42.0,Shooting foul by M. Scott (drawn by K. Oubre),,100,128
4,2:42.0,Washington full timeout,,100,128
4,2:42.0,K. Oubre makes free throw 1 of 2,,101,128
4,2:42.0,K. Oubre makes free throw 2 of 2,,102,128
4,2:32.0,,J. Robinson makes 2-pt jump shot from 20 ft (assist by T. Wallace),102,130
4,2:16.0,T. Bryant misses 3-pt jump shot from 26 ft,,102,130
4,2:16.0,,Defensive rebound by Team,102,130
4,2:05.0,,T. Wallace misses 2-pt layup from 3 ft,102,130
4,2:03.0,Defensive rebound by J. McRae,,102,130
4,1:59.0,K. Oubre misses 3-pt jump shot from 25 ft,,102,130
4,1:55.0,,Defensive rebound by B. Marjanović,102,130
4,1:49.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),102,132
4,1:38.0,T. Satoranský makes 2-pt jump shot from 6 ft,,104,132
4,1:31.0,,B. Marjanović misses 3-pt jump shot from 26 ft,104,132
4,1:27.0,Defensive rebound by T. Brown,,104,132
4,1:21.0,Turnover by T. Brown (bad pass; steal by B. Marjanović),,104,132
4,1:17.0,,T. Wallace makes 2-pt layup from 1 ft (assist by M. Scott),104,134
4,1:05.0,T. Bryant misses 2-pt layup from 3 ft (block by B. Marjanović),,104,134
4,1:01.0,,Defensive rebound by M. Scott,104,134
4,0:58.0,,T. Wallace misses 2-pt layup from 2 ft,104,134
4,0:55.0,Defensive rebound by T. Brown,,104,134
4,0:46.0,K. Oubre misses 2-pt hook shot from 4 ft,,104,134
4,0:43.0,,Defensive rebound by S. Gilgeous-Alexander,104,134
4,0:31.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),104,136
4,0:19.0,T. Bryant misses 3-pt jump shot from 26 ft,,104,136
4,0:14.0,,Defensive rebound by B. Marjanović,104,136
