QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
4,5:20.0,,Defensive rebound by Team,87,97
4,5:09.0,,J. Grant misses 3-pt jump shot from 23 ft,87,97
4,5:06.0,,Offensive rebound by R. Westbrook,87,97
4,5:03.0,,S. Adams misses 2-pt layup from 1 ft (block by J. Harris),87,97
4,5:02.0,,Offensive rebound by S. Adams,87,97
4,4:53.0,,R. Westbrook makes 3-pt jump shot from 26 ft,87,100
4,4:51.0,Brooklyn full timeout,,87,100
4,4:51.0,A. Crabbe enters the game for S. Dinwiddie,,87,100
4,4:38.0,A. Crabbe misses 3-pt jump shot from 23 ft,,87,100
4,4:34.0,,Defensive rebound by J. Grant,87,100
4,4:26.0,,P. George misses 2-pt jump shot from 9 ft,87,100
4,4:21.0,,Offensive rebound by S. Adams,87,100
4,4:21.0,,S. Adams makes 2-pt layup at rim,87,102
4,4:11.0,Personal foul by J. Grant (drawn by J. Allen),,87,102
4,4:00.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by D. Russell),,90,102
4,3:44.0,,R. Westbrook makes 2-pt layup from 2 ft,90,104
4,3:32.0,Personal foul by P. George (drawn by A. Crabbe),,90,104
4,3:18.0,R. Kurucs misses 2-pt layup from 3 ft (block by J. Grant),,90,104
4,3:18.0,Offensive rebound by Team,,90,104
4,3:18.0,Turnover by Team (shot clock),,90,104
4,3:03.0,,R. Westbrook makes 2-pt jump shot from 16 ft,90,106
4,2:46.0,D. Russell misses 2-pt jump shot from 14 ft,,90,106
4,2:45.0,,Defensive rebound by Team,90,106
4,2:31.0,,R. Westbrook misses 3-pt jump shot from 26 ft,90,106
4,2:29.0,Defensive rebound by J. Allen,,90,106
4,2:21.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,93,106
4,2:01.0,,J. Grant misses 2-pt layup from 3 ft,93,106
4,1:57.0,Defensive rebound by J. Harris,,93,106
4,1:54.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,96,106
4,1:36.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),96,108
4,1:24.0,D. Russell misses 2-pt jump shot from 20 ft,,96,108
4,1:22.0,,Defensive rebound by P. George,96,108
4,1:09.0,,T. Ferguson misses 3-pt jump shot from 22 ft,96,108
4,1:07.0,Defensive rebound by R. Kurucs,,96,108
4,1:04.0,Shooting foul by R. Westbrook (drawn by R. Kurucs),,96,108
4,1:04.0,R. Kurucs misses free throw 1 of 2,,96,108
4,1:04.0,Offensive rebound by Team,,96,108
4,1:04.0,R. Kurucs misses free throw 2 of 2,,96,108
4,1:02.0,,Defensive rebound by R. Westbrook,96,108
4,0:49.0,,J. Grant misses 3-pt jump shot from 23 ft,96,108
4,0:47.0,Defensive rebound by Team,,96,108
4,0:47.0,T. Pinson enters the game for A. Crabbe,,96,108
4,0:31.0,D. Russell misses 3-pt jump shot from 26 ft,,96,108
4,0:28.0,,Defensive rebound by P. George,96,108
4,0:04.0,,Turnover by Team (shot clock),96,108
