QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW ORLEANS_ACTION,TORONTO_SCORE,NEW ORLEANS_SCORE
4,4:34.0,,Defensive rebound by S. Hill,111,94
4,4:25.0,,S. Hill misses 2-pt layup from 4 ft (block by S. Ibaka),111,94
4,4:21.0,,Offensive rebound by E. Payton,111,94
4,4:19.0,,I. Clark makes 2-pt jump shot from 11 ft,111,96
4,4:04.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Lowry),,113,96
4,3:57.0,,C. Diallo misses 2-pt layup from 3 ft (block by S. Ibaka),113,96
4,3:57.0,Defensive rebound by K. Lowry,,113,96
4,3:51.0,K. Lowry makes 3-pt jump shot from 28 ft,,116,96
4,3:37.0,,E. Payton makes 3-pt jump shot from 26 ft (assist by S. Hill),116,99
4,3:34.0,Toronto full timeout,,116,99
4,3:34.0,C. Boucher enters the game for S. Ibaka,,116,99
4,3:34.0,P. McCaw enters the game for J. Lin,,116,99
4,3:34.0,M. Miller enters the game for K. Lowry,,116,99
4,3:21.0,M. Miller makes 3-pt jump shot from 26 ft (assist by P. McCaw),,119,99
4,3:09.0,,F. Jackson misses 3-pt jump shot from 25 ft,119,99
4,3:04.0,Defensive rebound by P. McCaw,,119,99
4,2:57.0,M. Miller makes 3-pt jump shot from 23 ft (assist by O. Anunoby),,122,99
4,2:45.0,,S. Hill misses 3-pt jump shot from 25 ft,122,99
4,2:41.0,Defensive rebound by C. Boucher,,122,99
4,2:33.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by P. McCaw),,125,99
4,2:25.0,,Personal foul by P. McCaw (drawn by C. Diallo),125,99
4,2:25.0,,S. Johnson enters the game for E. Payton,125,99
4,2:15.0,Defensive rebound by P. McCaw,,125,99
4,2:15.0,,C. Diallo misses 2-pt jump shot from 10 ft,125,99
4,2:09.0,Turnover by N. Powell (lost ball; steal by I. Clark),,125,99
4,2:05.0,,I. Clark misses 2-pt layup from 3 ft (block by C. Boucher),125,99
4,2:05.0,,Offensive rebound by Team,125,99
4,1:47.0,,S. Hill makes 3-pt jump shot from 23 ft (assist by I. Clark),125,102
4,1:34.0,M. Miller misses 2-pt layup from 2 ft,,125,102
4,1:33.0,Offensive rebound by C. Boucher,,125,102
4,1:33.0,C. Boucher misses 2-pt layup from 1 ft,,125,102
4,1:32.0,,Defensive rebound by S. Johnson,125,102
4,1:17.0,,C. Diallo makes 2-pt jump shot from 11 ft,125,104
4,1:08.0,N. Powell makes 2-pt layup from 1 ft,,127,104
4,1:00.0,,I. Clark misses 3-pt jump shot from 27 ft,127,104
4,0:56.0,Defensive rebound by N. Powell,,127,104
4,0:43.0,C. Boucher misses 3-pt jump shot from 26 ft,,127,104
4,0:39.0,,Defensive rebound by S. Johnson,127,104
4,0:33.0,,S. Johnson misses 2-pt jump shot from 8 ft,127,104
4,0:30.0,Defensive rebound by N. Powell,,127,104
4,0:26.0,M. Miller misses 3-pt jump shot from 27 ft,,127,104
4,0:22.0,,Defensive rebound by S. Johnson,127,104
4,0:05.0,,I. Clark misses 3-pt jump shot from 25 ft,127,104
4,0:02.0,,Offensive rebound by C. Diallo,127,104
4,0:00.0,,C. Diallo misses 2-pt jump shot from 10 ft (block by C. Boucher),127,104
4,0:00.0,Defensive rebound by O. Anunoby,,127,104
