QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW YORK_ACTION,SAN ANTONIO_SCORE,NEW YORK_SCORE
4,5:18.0,,Offensive rebound by A. Trier,99,107
4,5:17.0,,Shooting foul by D. DeRozan (drawn by A. Trier),99,107
4,5:17.0,,A. Trier makes free throw 1 of 2,99,108
4,5:17.0,,A. Trier makes free throw 2 of 2,99,109
4,5:05.0,Personal foul by L. Thomas (drawn by D. Bertāns),,99,109
4,5:05.0,D. Bertāns makes free throw 1 of 2,,100,109
4,5:05.0,D. Bertāns makes free throw 2 of 2,,101,109
4,4:57.0,,D. Dotson makes 3-pt jump shot from 24 ft (assist by D. Smith),101,112
4,4:44.0,D. DeRozan makes 2-pt layup at rim,,103,112
4,4:34.0,,D. Smith makes 2-pt jump shot at rim,103,114
4,4:23.0,Shooting foul by D. Smith (drawn by D. DeRozan),,103,114
4,4:23.0,D. DeRozan makes free throw 1 of 2,,104,114
4,4:23.0,D. DeRozan makes free throw 2 of 2,,105,114
4,4:07.0,,D. Smith misses 2-pt jump shot from 8 ft,105,114
4,4:06.0,,Offensive rebound by M. Robinson,105,114
4,4:06.0,,M. Robinson misses 2-pt layup from 1 ft,105,114
4,4:05.0,,Offensive rebound by M. Robinson,105,114
4,4:05.0,,Shooting foul by D. Bertāns (drawn by M. Robinson),105,114
4,4:05.0,,M. Robinson makes free throw 1 of 2,105,115
4,4:05.0,B. Forbes enters the game for D. Bertāns,,105,115
4,4:05.0,,M. Robinson makes free throw 2 of 2,105,116
4,3:54.0,D. DeRozan misses 2-pt jump shot from 18 ft,,105,116
4,3:52.0,,Defensive rebound by D. Smith,105,116
4,3:36.0,,L. Thomas misses 3-pt jump shot from 25 ft,105,116
4,3:34.0,Defensive rebound by L. Aldridge,,105,116
4,3:25.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),,107,116
4,3:16.0,,New York full timeout,107,116
4,3:16.0,,K. Knox enters the game for A. Trier,107,116
4,3:16.0,,Turnover by K. Knox (back court),107,116
4,3:09.0,Shooting foul by L. Thomas (drawn by D. DeRozan),,107,116
4,3:09.0,D. DeRozan misses free throw 1 of 2,,107,116
4,3:09.0,Offensive rebound by Team,,107,116
4,3:09.0,D. DeRozan makes free throw 2 of 2,,108,116
4,2:55.0,,Shooting foul by D. DeRozan (drawn by M. Robinson),108,116
4,2:55.0,,M. Robinson makes free throw 1 of 2,108,117
4,2:55.0,,M. Robinson misses free throw 2 of 2,108,117
4,2:53.0,Defensive rebound by D. DeRozan,,108,117
4,2:43.0,B. Forbes misses 3-pt jump shot from 25 ft,,108,117
4,2:41.0,,Defensive rebound by M. Robinson,108,117
4,2:26.0,,L. Thomas misses 2-pt layup from 2 ft (block by L. Aldridge),108,117
4,2:25.0,,Offensive rebound by Team,108,117
4,2:19.0,,D. Dotson makes 3-pt jump shot from 28 ft,108,120
4,2:01.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,111,120
4,1:47.0,,D. Smith makes 2-pt layup from 1 ft,111,122
4,1:44.0,San Antonio full timeout,,111,122
4,1:35.0,P. Mills misses 2-pt layup from 1 ft,,111,122
4,1:33.0,,Defensive rebound by M. Robinson,111,122
4,1:24.0,,M. Robinson makes 2-pt dunk at rim (assist by D. Smith),111,124
4,1:24.0,,Shooting foul by P. Mills (drawn by M. Robinson),111,124
4,1:24.0,D. Cunningham enters the game for L. Aldridge,,111,124
4,1:24.0,C. Metu enters the game for M. Belinelli,,111,124
4,1:24.0,Q. Pondexter enters the game for D. DeRozan,,111,124
4,1:24.0,,M. Robinson makes free throw 1 of 1,111,125
4,1:08.0,Q. Pondexter misses 2-pt jump shot from 13 ft,,111,125
4,1:07.0,Offensive rebound by Team,,111,125
4,1:03.0,Shooting foul by K. Knox (drawn by B. Forbes),,111,125
4,1:03.0,B. Forbes makes free throw 1 of 3,,112,125
4,1:03.0,B. Forbes makes free throw 2 of 3,,113,125
4,1:03.0,B. Forbes makes free throw 3 of 3,,114,125
4,0:49.0,,L. Thomas makes 3-pt jump shot from 24 ft (assist by D. Smith),114,128
4,0:42.0,Turnover by C. Metu (bad pass; steal by D. Smith),,114,128
4,0:39.0,,M. Robinson makes 2-pt dunk from 2 ft (assist by D. Smith),114,130
4,0:31.0,D. Cunningham misses 3-pt jump shot from 22 ft,,114,130
4,0:28.0,Offensive rebound by Q. Pondexter,,114,130
4,0:28.0,Shooting foul by K. Knox (drawn by Q. Pondexter),,114,130
4,0:28.0,Q. Pondexter makes free throw 1 of 2,,115,130
4,0:28.0,Q. Pondexter makes free throw 2 of 2,,116,130
4,0:04.0,,Turnover by Team (shot clock),116,130
4,0:00.0,Q. Pondexter makes 2-pt layup from 1 ft (assist by B. Forbes),,118,130
