QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
4,4:58.0,J. Clarkson makes free throw 1 of 2,,114,121
4,4:58.0,J. Clarkson makes free throw 2 of 2,,115,121
4,4:40.0,,J. Butler misses 2-pt jump shot from 18 ft,115,121
4,4:36.0,,Offensive rebound by K. Towns,115,121
4,4:34.0,,A. Wiggins misses 3-pt jump shot from 25 ft,115,121
4,4:32.0,Defensive rebound by T. Thompson,,115,121
4,4:23.0,C. Osman misses 2-pt jump shot from 17 ft,,115,121
4,4:21.0,,Defensive rebound by J. Teague,115,121
4,4:11.0,,J. Teague misses 3-pt jump shot from 27 ft,115,121
4,4:07.0,Defensive rebound by C. Sexton,,115,121
4,4:03.0,C. Sexton makes 2-pt layup from 2 ft,,117,121
4,4:02.0,,Minnesota full timeout,117,121
4,3:38.0,,A. Wiggins misses 2-pt jump shot from 16 ft,117,121
4,3:36.0,Defensive rebound by K. Love,,117,121
4,3:28.0,C. Sexton misses 2-pt jump shot from 17 ft,,117,121
4,3:26.0,,Defensive rebound by K. Towns,117,121
4,3:20.0,,Shooting foul by K. Love (drawn by J. Butler),117,121
4,3:20.0,,J. Butler makes free throw 1 of 2,117,122
4,3:20.0,,J. Butler makes free throw 2 of 2,117,123
4,3:11.0,Turnover by K. Love (lost ball; steal by J. Butler),,117,123
4,3:06.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),117,125
4,2:49.0,K. Love misses 3-pt jump shot from 25 ft,,117,125
4,2:49.0,,Defensive rebound by J. Butler,117,125
4,2:36.0,,A. Wiggins misses 2-pt layup from 4 ft,117,125
4,2:33.0,,Offensive rebound by A. Wiggins,117,125
4,2:32.0,,A. Wiggins misses 2-pt layup from 4 ft,117,125
4,2:30.0,Defensive rebound by T. Thompson,,117,125
4,2:27.0,C. Osman makes 3-pt jump shot from 26 ft (assist by C. Sexton),,120,125
4,2:01.0,,J. Teague misses 2-pt layup from 7 ft (block by J. Clarkson),120,125
4,1:57.0,Defensive rebound by K. Love,,120,125
4,1:54.0,C. Osman misses 3-pt jump shot from 25 ft,,120,125
4,1:54.0,,Defensive rebound by K. Towns,120,125
4,1:38.0,,Turnover by J. Butler (bad pass),120,125
4,1:30.0,K. Love misses 3-pt jump shot from 25 ft,,120,125
4,1:25.0,,Defensive rebound by K. Towns,120,125
4,1:18.0,,A. Wiggins misses 2-pt layup from 4 ft,120,125
4,1:16.0,Defensive rebound by K. Love,,120,125
4,1:09.0,T. Thompson misses 2-pt layup from 3 ft,,120,125
4,1:07.0,Offensive rebound by J. Clarkson,,120,125
4,1:06.0,J. Clarkson misses 2-pt layup at rim,,120,125
4,1:05.0,,Defensive rebound by J. Butler,120,125
4,0:57.0,,J. Teague makes 2-pt jump shot from 6 ft (assist by T. Gibson),120,127
4,0:57.0,Cleveland full timeout,,120,127
4,0:46.0,C. Osman makes 3-pt jump shot from 25 ft (assist by K. Love),,123,127
4,0:24.0,,J. Butler makes 2-pt jump shot from 22 ft,123,129
4,0:17.0,K. Love misses 2-pt layup from 2 ft (block by K. Towns),,123,129
4,0:16.0,,Defensive rebound by Team,123,129
4,0:16.0,,Minnesota full timeout,123,129
4,0:16.0,,T. Jones enters the game for T. Gibson,123,129
4,0:13.0,,Personal take foul by T. Thompson (drawn by J. Butler),123,129
4,0:13.0,,J. Butler makes free throw 1 of 2,123,130
4,0:13.0,,J. Butler makes free throw 2 of 2,123,131
4,0:13.0,Cleveland full timeout,,123,131
4,0:13.0,,T. Gibson enters the game for T. Jones,123,131
4,0:10.0,J. Clarkson misses 3-pt jump shot from 26 ft,,123,131
4,0:07.0,,Defensive rebound by T. Gibson,123,131
