QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
4,8:38.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Wade),107,97
4,8:21.0,Turnover by D. Dedmon (bad pass; steal by J. Richardson),,107,97
4,8:18.0,,Shooting foul by T. Prince (drawn by J. Richardson),107,97
4,8:18.0,,J. Richardson makes free throw 1 of 2,107,98
4,8:18.0,O. Spellman enters the game for D. Dedmon,,107,98
4,8:18.0,,W. Ellington enters the game for D. Wade,107,98
4,8:18.0,,J. Richardson makes free throw 2 of 2,107,99
4,8:06.0,D. Bembry misses 2-pt layup from 1 ft,,107,99
4,8:03.0,,Defensive rebound by K. Olynyk,107,99
4,7:58.0,,J. Winslow misses 2-pt layup from 2 ft,107,99
4,7:55.0,Defensive rebound by J. Collins,,107,99
4,7:50.0,Personal foul by J. Winslow (drawn by T. Young),,107,99
4,7:43.0,Turnover by T. Young (bad pass; steal by R. McGruder),,107,99
4,7:35.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),107,101
4,7:35.0,Atlanta full timeout,,107,101
4,7:35.0,K. Bazemore enters the game for J. Collins,,107,101
4,7:35.0,A. Len enters the game for T. Prince,,107,101
4,7:35.0,J. Lin enters the game for T. Young,,107,101
4,7:19.0,Turnover by D. Bembry (bad pass; steal by J. Richardson),,107,101
4,7:04.0,,W. Ellington makes 3-pt jump shot from 24 ft,107,104
4,6:46.0,Personal foul by K. Olynyk (drawn by A. Len),,107,104
4,6:36.0,K. Bazemore misses 2-pt layup from 2 ft,,107,104
4,6:33.0,Offensive rebound by O. Spellman,,107,104
4,6:31.0,O. Spellman misses 2-pt dunk from 4 ft,,107,104
4,6:29.0,Offensive rebound by O. Spellman,,107,104
4,6:28.0,O. Spellman misses 2-pt layup from 6 ft,,107,104
4,6:26.0,,Defensive rebound by W. Ellington,107,104
4,6:22.0,,J. Winslow makes 2-pt layup from 2 ft,107,106
4,6:07.0,Turnover by K. Bazemore (lost ball; steal by J. Richardson),,107,106
4,6:07.0,,Personal foul by O. Spellman (drawn by J. Richardson),107,106
4,5:53.0,,Turnover by J. Winslow (out of bounds lost ball),107,106
4,5:39.0,D. Bembry misses 2-pt layup from 1 ft,,107,106
4,5:37.0,,Defensive rebound by J. Winslow,107,106
4,5:28.0,,W. Ellington misses 3-pt jump shot from 26 ft (block by D. Bembry),107,106
4,5:23.0,Defensive rebound by J. Lin,,107,106
4,5:16.0,Offensive foul by A. Len (drawn by K. Olynyk),,107,106
4,5:16.0,Turnover by A. Len (offensive foul),,107,106
4,5:04.0,,J. Richardson makes 2-pt layup from 1 ft,107,108
4,4:48.0,J. Lin misses 2-pt jump shot from 15 ft,,107,108
4,4:46.0,,Defensive rebound by J. Richardson,107,108
4,4:45.0,,Offensive foul by J. Winslow (drawn by D. Bembry),107,108
4,4:45.0,,Turnover by J. Winslow (offensive foul),107,108
4,4:45.0,J. Collins enters the game for D. Bembry,,107,108
4,4:45.0,D. Dedmon enters the game for A. Len,,107,108
4,4:45.0,T. Prince enters the game for J. Lin,,107,108
4,4:45.0,T. Young enters the game for O. Spellman,,107,108
4,4:27.0,Personal foul by W. Ellington (drawn by K. Bazemore),,107,108
4,4:20.0,K. Bazemore makes 2-pt jump shot from 16 ft,,109,108
4,4:20.0,,Miami full timeout,109,108
4,4:07.0,,K. Olynyk misses 3-pt jump shot from 25 ft,109,108
4,4:04.0,Defensive rebound by K. Bazemore,,109,108
4,3:45.0,Turnover by J. Collins (bad pass; steal by W. Ellington),,109,108
4,3:36.0,,J. Richardson misses 3-pt jump shot from 26 ft,109,108
4,3:35.0,,Offensive rebound by Team,109,108
4,3:32.0,,Personal foul by D. Dedmon (drawn by K. Olynyk),109,108
4,3:32.0,,D. Wade enters the game for J. Winslow,109,108
4,3:24.0,,J. Richardson misses 2-pt layup from 1 ft (block by T. Young),109,108
4,3:16.0,,Offensive rebound by D. Wade,109,108
4,3:13.0,,D. Wade misses 2-pt jump shot from 5 ft,109,108
4,3:11.0,Defensive rebound by D. Dedmon,,109,108
4,2:57.0,K. Bazemore misses 2-pt layup from 1 ft,,109,108
4,2:54.0,Offensive rebound by D. Dedmon,,109,108
4,2:52.0,D. Dedmon makes 2-pt layup from 1 ft,,111,108
4,2:28.0,,J. Richardson misses 3-pt jump shot from 25 ft,111,108
4,2:26.0,Defensive rebound by T. Prince,,111,108
4,2:14.0,Turnover by J. Collins (lost ball; steal by J. Richardson),,111,108
4,2:03.0,,Turnover by J. Richardson (lost ball; steal by K. Bazemore),111,108
4,2:03.0,Shooting foul by D. Wade (drawn by T. Young),,111,108
4,2:03.0,T. Young makes free throw 1 of 2,,112,108
4,2:03.0,D. Bembry enters the game for D. Dedmon,,112,108
4,2:03.0,,B. Adebayo enters the game for K. Olynyk,112,108
4,2:03.0,T. Young misses free throw 2 of 2,,112,108
4,2:03.0,,Defensive rebound by W. Ellington,112,108
4,1:39.0,,R. McGruder misses 3-pt jump shot from 24 ft,112,108
4,1:36.0,,Offensive rebound by J. Richardson,112,108
4,1:35.0,,Turnover by J. Richardson (bad pass; steal by D. Bembry),112,108
4,1:33.0,J. Collins makes 2-pt layup from 1 ft,,114,108
4,1:33.0,,Miami full timeout,114,108
4,1:33.0,,K. Olynyk enters the game for B. Adebayo,114,108
4,1:27.0,,D. Wade misses 3-pt jump shot from 26 ft,114,108
4,1:23.0,Defensive rebound by K. Bazemore,,114,108
4,1:06.0,T. Young misses 3-pt jump shot from 27 ft,,114,108
4,1:03.0,,Defensive rebound by W. Ellington,114,108
4,0:58.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by W. Ellington),114,111
4,0:35.0,D. Bembry misses 3-pt jump shot from 23 ft,,114,111
4,0:31.0,,Defensive rebound by R. McGruder,114,111
4,0:26.0,,R. McGruder misses 2-pt layup from 2 ft (block by K. Bazemore),114,111
4,0:25.0,,Offensive rebound by J. Richardson,114,111
4,0:25.0,,J. Richardson makes 2-pt layup from 1 ft,114,113
4,0:25.0,Atlanta full timeout,,114,113
4,0:25.0,J. Anderson enters the game for T. Young,,114,113
4,0:25.0,,B. Adebayo enters the game for W. Ellington,114,113
4,0:25.0,,J. Winslow enters the game for R. McGruder,114,113
4,0:14.0,Personal take foul by J. Winslow (drawn by T. Prince),,114,113
4,0:14.0,T. Prince misses free throw 1 of 2,,114,113
4,0:14.0,Offensive rebound by Team,,114,113
4,0:14.0,T. Prince makes free throw 2 of 2,,115,113
4,0:14.0,,W. Ellington enters the game for B. Adebayo,115,113
4,0:14.0,,R. McGruder enters the game for J. Winslow,115,113
4,0:01.0,,J. Richardson misses 3-pt jump shot from 26 ft,115,113
4,0:00.0,Defensive rebound by J. Collins,,115,113
