QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
4,2:52.0,,Turnover by A. Holiday (traveling),75,103
4,2:41.0,Personal foul by K. O'Quinn (drawn by J. Jackson),,75,103
4,2:41.0,J. Jackson makes free throw 1 of 2,,76,103
4,2:41.0,J. Jackson makes free throw 2 of 2,,77,103
4,2:28.0,,E. Sumner makes 2-pt layup from 1 ft (assist by K. O'Quinn),77,105
4,2:10.0,W. Selden misses 2-pt jump shot from 15 ft,,77,105
4,2:10.0,Offensive rebound by Team,,77,105
4,2:10.0,,Loose ball foul by D. McDermott (drawn by J. Jackson),77,105
4,2:10.0,J. Jackson makes free throw 1 of 2,,78,105
4,2:10.0,J. Jackson makes free throw 2 of 2,,79,105
4,1:53.0,,E. Sumner misses 3-pt jump shot from 27 ft,79,105
4,1:48.0,Defensive rebound by J. Jackson,,79,105
4,1:43.0,W. Selden makes 2-pt layup from 1 ft,,81,105
4,1:30.0,,D. McDermott makes 2-pt layup from 2 ft (assist by K. O'Quinn),81,107
4,1:20.0,Shooting foul by K. O'Quinn (drawn by M. Brooks),,81,107
4,1:20.0,M. Brooks makes free throw 1 of 2,,82,107
4,1:20.0,M. Brooks makes free throw 2 of 2,,83,107
4,1:01.0,,D. McDermott makes 2-pt jump shot from 20 ft (assist by C. Joseph),83,109
4,0:52.0,K. Anderson misses 2-pt jump shot from 19 ft,,83,109
4,0:50.0,,Defensive rebound by K. O'Quinn,83,109
4,0:40.0,,D. McDermott misses 3-pt jump shot from 23 ft,83,109
4,0:37.0,,Offensive rebound by K. O'Quinn,83,109
4,0:37.0,,Shooting foul by S. Mack (drawn by K. O'Quinn),83,109
4,0:37.0,,K. O'Quinn makes free throw 1 of 2,83,110
4,0:37.0,,K. O'Quinn makes free throw 2 of 2,83,111
4,0:23.0,J. Jackson misses 2-pt jump shot from 6 ft,,83,111
4,0:21.0,Offensive rebound by S. Mack,,83,111
4,0:15.0,K. Anderson misses 2-pt jump shot from 12 ft,,83,111
4,0:12.0,,Defensive rebound by K. O'Quinn,83,111
