QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
4,3:12.0,Offensive rebound by D. Mitchell,,99,109
4,3:12.0,D. Mitchell makes 2-pt dunk at rim,,101,109
4,2:57.0,,D. Cousins misses 2-pt layup from 3 ft,101,109
4,2:56.0,Defensive rebound by R. Gobert,,101,109
4,2:48.0,R. Rubio makes 2-pt layup from 2 ft,,103,109
4,2:30.0,,D. Cousins misses 2-pt layup from 3 ft,103,109
4,2:29.0,Defensive rebound by R. Gobert,,103,109
4,2:23.0,R. Rubio misses 2-pt jump shot from 7 ft,,103,109
4,2:22.0,,Defensive rebound by A. Iguodala,103,109
4,2:14.0,,Personal foul by D. Mitchell (drawn by D. Cousins),103,109
4,2:14.0,,D. Cousins makes free throw 1 of 2,103,110
4,2:14.0,,D. Cousins makes free throw 2 of 2,103,111
4,2:13.0,Personal take foul by K. Durant (drawn by R. Rubio),,103,111
4,2:13.0,,D. Green enters the game for D. Cousins,103,111
4,2:08.0,D. Mitchell misses 3-pt jump shot from 29 ft,,103,111
4,2:06.0,,Defensive rebound by S. Curry,103,111
4,2:06.0,,Turnover by S. Curry (bad pass; steal by R. Rubio),103,111
4,1:59.0,R. Rubio misses 3-pt jump shot from 28 ft,,103,111
4,1:57.0,,Defensive rebound by D. Green,103,111
4,1:40.0,,S. Curry misses 3-pt jump shot from 30 ft,103,111
4,1:37.0,Defensive rebound by Team,,103,111
4,1:31.0,D. Mitchell makes 2-pt jump shot from 11 ft,,105,111
4,1:31.0,Shooting foul by S. Curry (drawn by D. Mitchell),,105,111
4,1:31.0,D. Mitchell makes free throw 1 of 1,,106,111
4,1:16.0,,K. Durant makes 3-pt jump shot from 27 ft,106,114
4,1:09.0,D. Mitchell misses 2-pt hook shot from 6 ft,,106,114
4,1:08.0,,Defensive rebound by A. Iguodala,106,114
4,0:55.0,,K. Durant misses 3-pt jump shot from 33 ft,106,114
4,0:53.0,Defensive rebound by R. Gobert,,106,114
4,0:45.0,J. Crowder misses 2-pt jump shot from 21 ft,,106,114
4,0:43.0,Offensive rebound by D. Mitchell,,106,114
4,0:41.0,D. Mitchell makes 2-pt layup from 2 ft,,108,114
4,0:20.0,,Shooting foul by R. Gobert (drawn by K. Durant),108,114
4,0:20.0,,K. Durant misses free throw 1 of 2,108,114
4,0:20.0,,Offensive rebound by Team,108,114
4,0:20.0,,K. Durant makes free throw 2 of 2,108,115
4,0:14.0,D. Mitchell misses 3-pt jump shot from 28 ft,,108,115
4,0:12.0,,Defensive rebound by S. Curry,108,115
