QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
4,2:09.0,Shooting foul by S. Mack (drawn by K. Oubre),,88,102
4,2:09.0,K. Oubre makes free throw 1 of 2,,89,102
4,2:09.0,,K. Anderson enters the game for D. Brooks,89,102
4,2:09.0,K. Oubre makes free throw 2 of 2,,90,102
4,1:49.0,,M. Gasol makes 2-pt jump shot from 8 ft (assist by M. Conley),90,104
4,1:39.0,B. Beal misses 3-pt jump shot from 27 ft,,90,104
4,1:36.0,,Defensive rebound by M. Conley,90,104
4,1:17.0,,S. Mack makes 3-pt jump shot from 26 ft (assist by M. Conley),90,107
4,1:07.0,J. Wall makes 3-pt jump shot from 25 ft (assist by O. Porter),,93,107
4,0:47.0,,M. Conley misses 3-pt jump shot from 26 ft,93,107
4,0:46.0,Defensive rebound by J. Wall,,93,107
4,0:41.0,J. Wall makes 2-pt layup from 1 ft,,95,107
4,0:19.0,,M. Conley misses 3-pt jump shot from 26 ft,95,107
4,0:16.0,Defensive rebound by B. Beal,,95,107
4,0:09.0,J. Green misses 3-pt jump shot from 23 ft,,95,107
4,0:06.0,,Defensive rebound by K. Anderson,95,107
