QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
4,6:57.0,D. Bembry makes 2-pt layup at rim,,96,103
4,6:47.0,,Personal foul by D. Dedmon (drawn by R. Covington),96,103
4,6:47.0,,Violation by Team (delay of game),96,103
4,6:41.0,,R. Covington misses 3-pt jump shot from 26 ft,96,103
4,6:36.0,,Offensive rebound by K. Towns,96,103
4,6:34.0,,Turnover by K. Towns (bad pass; steal by J. Lin),96,103
4,6:21.0,K. Bazemore makes 2-pt jump shot from 10 ft (assist by D. Bembry),,98,103
4,6:03.0,,D. Rose misses 2-pt jump shot from 20 ft,98,103
4,6:00.0,,Offensive rebound by R. Covington,98,103
4,5:59.0,,Turnover by R. Covington (bad pass; steal by D. Bembry),98,103
4,5:55.0,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Bembry),,100,103
4,5:55.0,,Minnesota full timeout,100,103
4,5:55.0,V. Carter enters the game for D. Dedmon,,100,103
4,5:55.0,,A. Wiggins enters the game for T. Jones,100,103
4,5:41.0,,A. Wiggins misses 2-pt jump shot from 14 ft,100,103
4,5:39.0,Defensive rebound by K. Bazemore,,100,103
4,5:26.0,D. Bembry makes 2-pt layup from 2 ft (assist by J. Collins),,102,103
4,5:04.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by K. Towns),102,106
4,4:46.0,J. Collins makes 2-pt layup from 1 ft,,104,106
4,4:46.0,Shooting foul by K. Towns (drawn by J. Collins),,104,106
4,4:46.0,J. Collins makes free throw 1 of 1,,105,106
4,4:31.0,,A. Wiggins misses 3-pt jump shot from 26 ft,105,106
4,4:27.0,Defensive rebound by D. Bembry,,105,106
4,4:10.0,K. Bazemore misses 2-pt jump shot from 12 ft,,105,106
4,4:08.0,,Defensive rebound by K. Towns,105,106
4,4:05.0,,Shooting foul by D. Bembry (drawn by D. Rose),105,106
4,4:05.0,,D. Rose makes free throw 1 of 2,105,107
4,4:05.0,,D. Rose misses free throw 2 of 2,105,107
4,4:02.0,Defensive rebound by V. Carter,,105,107
4,3:52.0,V. Carter makes 3-pt jump shot from 25 ft,,108,107
4,3:28.0,,K. Towns makes 2-pt dunk from 2 ft (assist by D. Rose),108,109
4,3:17.0,V. Carter misses 3-pt jump shot from 27 ft,,108,109
4,3:15.0,Offensive rebound by Team,,108,109
4,3:15.0,D. Dedmon enters the game for V. Carter,,108,109
4,3:15.0,Atlanta full timeout,,108,109
4,3:10.0,J. Lin misses 2-pt jump shot from 14 ft,,108,109
4,3:07.0,,Defensive rebound by K. Towns,108,109
4,2:55.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Šarić),108,111
4,2:32.0,Shooting foul by R. Covington (drawn by K. Bazemore),,108,111
4,2:32.0,T. Young enters the game for J. Lin,,108,111
4,2:32.0,K. Bazemore misses free throw 1 of 2,,108,111
4,2:32.0,Offensive rebound by Team,,108,111
4,2:32.0,K. Bazemore misses free throw 2 of 2,,108,111
4,2:29.0,,Defensive rebound by A. Wiggins,108,111
4,2:10.0,,R. Covington misses 2-pt dunk from 1 ft,108,111
4,2:08.0,Defensive rebound by Team,,108,111
4,1:53.0,K. Bazemore misses 2-pt layup from 2 ft (block by K. Towns),,108,111
4,1:47.0,,Defensive rebound by D. Rose,108,111
4,1:26.0,,A. Wiggins misses 3-pt jump shot from 26 ft,108,111
4,1:23.0,,Offensive rebound by A. Wiggins,108,111
4,1:10.0,,D. Rose misses 2-pt jump shot from 20 ft,108,111
4,1:05.0,Defensive rebound by J. Collins,,108,111
4,0:55.0,Turnover by T. Young (back court),,108,111
4,0:41.0,,Personal foul by J. Collins (drawn by K. Towns),108,111
4,0:41.0,,K. Towns misses free throw 1 of 2,108,111
4,0:41.0,,Offensive rebound by Team,108,111
4,0:41.0,,T. Gibson enters the game for D. Šarić,108,111
4,0:41.0,,K. Towns makes free throw 2 of 2,108,112
4,0:34.0,D. Dedmon misses 3-pt jump shot from 25 ft,,108,112
4,0:30.0,Offensive rebound by Team,,108,112
4,0:27.0,K. Bazemore misses 3-pt jump shot from 26 ft,,108,112
4,0:23.0,Offensive rebound by T. Young,,108,112
4,0:21.0,J. Collins misses 2-pt layup from 2 ft,,108,112
4,0:20.0,Offensive rebound by J. Collins,,108,112
4,0:20.0,J. Collins makes 2-pt layup at rim,,110,112
4,0:20.0,,Minnesota full timeout,110,112
4,0:20.0,J. Anderson enters the game for T. Young,,110,112
4,0:20.0,,D. Šarić enters the game for T. Gibson,110,112
4,0:19.0,,Turnover by D. Šarić (bad pass; steal by K. Bazemore),110,112
4,0:17.0,K. Bazemore makes 2-pt dunk from 2 ft,,112,112
4,0:17.0,,Minnesota full timeout,112,112
4,0:00.0,,D. Rose misses 2-pt jump shot from 11 ft (block by J. Anderson),112,112
4,0:00.0,,Offensive rebound by R. Covington,112,112
1OT,4:46.0,,Personal foul by K. Bazemore (drawn by K. Towns),112,112
1OT,4:31.0,,A. Wiggins misses 2-pt jump shot from 14 ft,112,112
1OT,4:26.0,,Offensive rebound by D. Šarić,112,112
1OT,4:21.0,,R. Covington misses 3-pt jump shot from 23 ft,112,112
1OT,4:19.0,,Offensive rebound by R. Covington,112,112
1OT,4:17.0,,R. Covington makes 2-pt jump shot from 9 ft,112,114
1OT,4:02.0,T. Young misses 2-pt jump shot from 21 ft,,112,114
1OT,4:00.0,Offensive rebound by D. Dedmon,,112,114
1OT,3:58.0,T. Young makes 2-pt jump shot from 8 ft,,114,114
1OT,3:58.0,Shooting foul by K. Towns (drawn by T. Young),,114,114
1OT,3:58.0,,T. Jones enters the game for D. Rose,114,114
1OT,3:58.0,T. Young makes free throw 1 of 1,,115,114
1OT,3:45.0,,R. Covington makes 2-pt jump shot from 7 ft (assist by T. Jones),115,116
1OT,3:34.0,,Violation by Team (kicked ball),115,116
1OT,3:25.0,D. Dedmon misses 2-pt jump shot from 8 ft,,115,116
1OT,3:23.0,,Defensive rebound by K. Towns,115,116
1OT,3:09.0,,K. Towns misses 3-pt jump shot from 25 ft,115,116
1OT,3:04.0,Defensive rebound by K. Bazemore,,115,116
1OT,3:00.0,Turnover by K. Bazemore (lost ball; steal by A. Wiggins),,115,116
1OT,2:58.0,,Shooting foul by K. Bazemore (drawn by A. Wiggins),115,116
1OT,2:58.0,K. Huerter enters the game for K. Bazemore,,115,116
1OT,2:58.0,,A. Wiggins makes free throw 1 of 2,115,117
1OT,2:58.0,,A. Wiggins misses free throw 2 of 2,115,117
1OT,2:56.0,Defensive rebound by T. Young,,115,117
1OT,2:39.0,D. Bembry misses 2-pt jump shot from 8 ft,,115,117
1OT,2:34.0,,Defensive rebound by K. Towns,115,117
1OT,2:14.0,,R. Covington misses 3-pt jump shot from 26 ft,115,117
1OT,2:12.0,,Offensive rebound by K. Towns,115,117
1OT,2:01.0,,D. Šarić misses 3-pt jump shot from 24 ft,115,117
1OT,1:58.0,,Offensive rebound by K. Towns,115,117
1OT,1:54.0,,R. Covington misses 2-pt dunk at rim,115,117
1OT,1:52.0,Defensive rebound by D. Dedmon,,115,117
1OT,1:49.0,T. Young makes 3-pt jump shot from 25 ft,,118,117
1OT,1:35.0,,Personal foul by D. Dedmon (drawn by K. Towns),118,117
1OT,1:24.0,,D. Šarić misses 2-pt jump shot from 15 ft,118,117
1OT,1:23.0,Defensive rebound by Team,,118,117
1OT,1:13.0,T. Young misses 2-pt jump shot from 22 ft,,118,117
1OT,1:09.0,Offensive rebound by D. Dedmon,,118,117
1OT,1:09.0,D. Dedmon misses 2-pt layup at rim,,118,117
1OT,1:08.0,Offensive rebound by D. Dedmon,,118,117
1OT,1:04.0,T. Young misses 2-pt layup from 3 ft (block by K. Towns),,118,117
1OT,1:01.0,,Defensive rebound by R. Covington,118,117
1OT,0:49.0,,Shooting foul by K. Huerter (drawn by A. Wiggins),118,117
1OT,0:49.0,,A. Wiggins misses free throw 1 of 2,118,117
1OT,0:49.0,,Offensive rebound by Team,118,117
1OT,0:49.0,J. Anderson enters the game for T. Young,,118,117
1OT,0:49.0,,T. Gibson enters the game for D. Šarić,118,117
1OT,0:49.0,,A. Wiggins misses free throw 2 of 2,118,117
1OT,0:48.0,Defensive rebound by D. Bembry,,118,117
1OT,0:48.0,Atlanta full timeout,,118,117
1OT,0:48.0,T. Young enters the game for J. Anderson,,118,117
1OT,0:43.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by D. Bembry),,121,117
1OT,0:43.0,,Minnesota full timeout,121,117
1OT,0:43.0,J. Anderson enters the game for T. Young,,121,117
1OT,0:43.0,,D. Šarić enters the game for T. Gibson,121,117
1OT,0:36.0,,Shooting foul by J. Collins (drawn by K. Towns),121,117
1OT,0:36.0,,K. Towns makes free throw 1 of 2,121,118
1OT,0:36.0,T. Young enters the game for J. Anderson,,121,118
1OT,0:36.0,,T. Gibson enters the game for D. Šarić,121,118
1OT,0:36.0,,K. Towns makes free throw 2 of 2,121,119
1OT,0:15.0,K. Huerter misses 3-pt jump shot from 28 ft,,121,119
1OT,0:11.0,,Defensive rebound by A. Wiggins,121,119
1OT,0:04.0,,Shooting foul by T. Young (drawn by A. Wiggins),121,119
1OT,0:04.0,,A. Wiggins makes free throw 1 of 2,121,120
1OT,0:04.0,J. Anderson enters the game for T. Young,,121,120
1OT,0:04.0,,A. Wiggins misses free throw 2 of 2,121,120
1OT,0:02.0,Defensive rebound by D. Dedmon,,121,120
1OT,0:02.0,Atlanta full timeout,,121,120
1OT,0:02.0,V. Carter enters the game for J. Anderson,,121,120
1OT,0:02.0,J. Lin enters the game for D. Bembry,,121,120
1OT,0:02.0,T. Young enters the game for J. Collins,,121,120
1OT,0:02.0,Personal take foul by R. Covington (drawn by K. Huerter),,121,120
1OT,0:02.0,,J. Okogie enters the game for R. Covington,121,120
1OT,0:01.0,Personal take foul by T. Gibson (drawn by D. Dedmon),,121,120
1OT,0:01.0,D. Dedmon makes free throw 1 of 2,,122,120
1OT,0:01.0,J. Anderson enters the game for J. Lin,,122,120
1OT,0:01.0,D. Bembry enters the game for T. Young,,122,120
1OT,0:01.0,D. Dedmon makes free throw 2 of 2,,123,120
1OT,0:01.0,,Minnesota full timeout,123,120
1OT,0:01.0,,D. Šarić enters the game for T. Gibson,123,120
1OT,0:00.0,,J. Okogie misses 3-pt jump shot from 22 ft,123,120
1OT,0:00.0,,Offensive rebound by Team,123,120
