QUARTER,TIME_REMAINING,BROOKLYN_ACTION,HOUSTON_ACTION,BROOKLYN_SCORE,HOUSTON_SCORE
4,5:34.0,,A. Rivers makes 3-pt jump shot from 27 ft,101,115
4,5:24.0,J. Harris misses 3-pt jump shot from 27 ft,,101,115
4,5:23.0,,Defensive rebound by A. Rivers,101,115
4,5:13.0,,J. Harden misses 3-pt jump shot from 32 ft,101,115
4,5:11.0,Defensive rebound by J. Allen,,101,115
4,5:04.0,D. Carroll misses 2-pt layup from 3 ft,,101,115
4,5:03.0,Offensive rebound by J. Allen,,101,115
4,4:58.0,S. Dinwiddie makes 2-pt layup from 2 ft (assist by R. Kurucs),,103,115
4,4:32.0,,G. Clark misses 3-pt jump shot from 23 ft,103,115
4,4:30.0,Defensive rebound by J. Allen,,103,115
4,4:26.0,R. Kurucs makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,105,115
4,4:25.0,,Houston full timeout,105,115
4,4:25.0,,J. Nunnally enters the game for G. Clark,105,115
4,4:25.0,,Violation by Team (delay of game),105,115
4,4:11.0,,Personal foul by R. Kurucs (drawn by J. Harden),105,115
4,4:01.0,,J. Harden makes 3-pt jump shot from 26 ft,105,118
4,3:47.0,J. Allen makes 2-pt dunk from 3 ft (assist by S. Dinwiddie),,107,118
4,3:32.0,,A. Rivers misses 2-pt layup from 2 ft,107,118
4,3:31.0,Defensive rebound by J. Allen,,107,118
4,3:24.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,110,118
4,3:00.0,,J. Harden makes 3-pt jump shot from 27 ft,110,121
4,2:47.0,S. Dinwiddie makes 2-pt jump shot from 10 ft,,112,121
4,2:47.0,Shooting foul by A. Rivers (drawn by S. Dinwiddie),,112,121
4,2:47.0,S. Dinwiddie makes free throw 1 of 1,,113,121
4,2:29.0,,J. Nunnally makes 3-pt jump shot from 23 ft (assist by A. Rivers),113,124
4,2:16.0,J. Allen makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,115,124
4,1:56.0,,J. Nunnally misses 3-pt jump shot from 23 ft,115,124
4,1:55.0,Defensive rebound by R. Kurucs,,115,124
4,1:50.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,115,124
4,1:48.0,Offensive rebound by D. Carroll,,115,124
4,1:45.0,D. Carroll makes 2-pt layup from 2 ft,,117,124
4,1:36.0,,Offensive foul by J. Harden (drawn by D. Carroll),117,124
4,1:36.0,,Turnover by J. Harden (offensive foul),117,124
4,1:29.0,S. Dinwiddie makes 2-pt layup from 1 ft,,119,124
4,1:09.0,,P. Tucker makes 3-pt jump shot from 27 ft (assist by A. Rivers),119,127
4,1:02.0,Personal foul by A. Rivers (drawn by D. Carroll),,119,127
4,1:02.0,D. Carroll makes free throw 1 of 2,,120,127
4,1:02.0,D. Carroll makes free throw 2 of 2,,121,127
4,0:40.0,,A. Rivers misses 3-pt jump shot from 29 ft,121,127
4,0:39.0,Defensive rebound by J. Allen,,121,127
4,0:34.0,Personal foul by J. Nunnally (drawn by J. Harris),,121,127
4,0:34.0,J. Harris misses free throw 1 of 2,,121,127
4,0:34.0,Offensive rebound by Team,,121,127
4,0:34.0,J. Harris makes free throw 2 of 2,,122,127
4,0:32.0,,Personal foul by R. Kurucs (drawn by J. Harden),122,127
4,0:28.0,,Personal take foul by S. Dinwiddie (drawn by P. Tucker),122,127
4,0:28.0,,P. Tucker misses free throw 1 of 2,122,127
4,0:28.0,,Offensive rebound by Team,122,127
4,0:28.0,,N. Hilário enters the game for J. Nunnally,122,127
4,0:28.0,,P. Tucker makes free throw 2 of 2,122,128
4,0:28.0,Brooklyn full timeout,,122,128
4,0:28.0,T. Graham enters the game for J. Allen,,122,128
4,0:26.0,S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by J. Harris),,125,128
4,0:25.0,,Personal take foul by S. Dinwiddie (drawn by J. Harden),125,128
4,0:25.0,,J. Harden makes free throw 1 of 2,125,129
4,0:25.0,J. Allen enters the game for T. Graham,,125,129
4,0:25.0,,J. Harden misses free throw 2 of 2,125,129
4,0:25.0,Defensive rebound by J. Allen,,125,129
4,0:25.0,Brooklyn full timeout,,125,129
4,0:25.0,T. Graham enters the game for J. Allen,,125,129
4,0:21.0,S. Dinwiddie makes 3-pt jump shot from 27 ft,,128,129
4,0:15.0,,Personal take foul by R. Kurucs (drawn by P. Tucker),128,129
4,0:15.0,J. Allen enters the game for R. Kurucs,,128,129
4,0:15.0,,P. Tucker misses free throw 1 of 2,128,129
4,0:15.0,,Offensive rebound by Team,128,129
4,0:15.0,,P. Tucker misses free throw 2 of 2,128,129
4,0:14.0,,Offensive rebound by J. Harden,128,129
4,0:12.0,,Shooting foul by D. Carroll (drawn by J. Harden),128,129
4,0:12.0,,J. Harden makes free throw 1 of 2,128,130
4,0:12.0,,J. Harden makes free throw 2 of 2,128,131
4,0:08.0,S. Dinwiddie makes 3-pt jump shot from 28 ft,,131,131
4,0:00.0,,J. Harden misses 3-pt jump shot from 28 ft,131,131
4,0:00.0,,Offensive rebound by Team,131,131
1OT,4:41.0,J. Harris misses 2-pt jump shot from 8 ft,,131,131
1OT,4:40.0,,Defensive rebound by J. Harden,131,131
1OT,4:22.0,,A. Rivers makes 3-pt jump shot from 25 ft,131,134
1OT,4:02.0,S. Dinwiddie makes 2-pt layup from 3 ft,,133,134
1OT,3:40.0,,P. Tucker misses 3-pt jump shot from 23 ft,133,134
1OT,3:39.0,Defensive rebound by D. Carroll,,133,134
1OT,3:27.0,T. Graham misses 2-pt layup from 3 ft,,133,134
1OT,3:26.0,,Defensive rebound by P. Tucker,133,134
1OT,3:16.0,,J. Harden makes 2-pt jump shot from 5 ft,133,136
1OT,3:16.0,,Shooting foul by T. Graham (drawn by J. Harden),133,136
1OT,3:16.0,,J. Harden misses free throw 1 of 1,133,136
1OT,3:16.0,Defensive rebound by J. Allen,,133,136
1OT,2:53.0,S. Dinwiddie makes 2-pt layup from 2 ft (assist by J. Harris),,135,136
1OT,2:33.0,,Shooting foul by J. Harris (drawn by J. Harden),135,136
1OT,2:33.0,,J. Harden makes free throw 1 of 3,135,137
1OT,2:33.0,,J. Harden makes free throw 2 of 3,135,138
1OT,2:33.0,,J. Harden makes free throw 3 of 3,135,139
1OT,2:22.0,S. Dinwiddie misses 2-pt hook shot from 5 ft (block by P. Tucker),,135,139
1OT,2:20.0,,Defensive rebound by P. Tucker,135,139
1OT,1:58.0,,J. Harden misses 3-pt jump shot from 30 ft,135,139
1OT,1:56.0,Defensive rebound by S. Dinwiddie,,135,139
1OT,1:50.0,Turnover by S. Dinwiddie (bad pass),,135,139
1OT,1:28.0,,J. Nunnally makes 3-pt jump shot from 24 ft (assist by J. Harden),135,142
1OT,1:28.0,Brooklyn full timeout,,135,142
1OT,1:12.0,T. Graham makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie),,138,142
1OT,0:50.0,,J. Nunnally misses 2-pt layup from 3 ft (block by J. Allen),138,142
1OT,0:49.0,,Offensive rebound by P. Tucker,138,142
1OT,0:47.0,,P. Tucker misses 2-pt jump shot from 13 ft,138,142
1OT,0:47.0,,Offensive rebound by Team,138,142
1OT,0:47.0,,Turnover by Team (shot clock),138,142
1OT,0:40.0,J. Allen makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,140,142
1OT,0:40.0,Shooting foul by G. Green (drawn by J. Allen),,140,142
1OT,0:40.0,J. Allen misses free throw 1 of 1,,140,142
1OT,0:39.0,Offensive rebound by T. Graham,,140,142
1OT,0:28.0,S. Dinwiddie makes 2-pt jump shot from 5 ft,,142,142
1OT,0:28.0,Shooting foul by P. Tucker (drawn by S. Dinwiddie),,142,142
1OT,0:28.0,S. Dinwiddie makes free throw 1 of 1,,143,142
1OT,0:06.0,,A. Rivers misses 3-pt jump shot from 29 ft,143,142
1OT,0:05.0,Defensive rebound by J. Allen,,143,142
1OT,0:01.0,Personal take foul by G. Green (drawn by J. Harris),,143,142
1OT,0:01.0,J. Harris makes free throw 1 of 2,,144,142
1OT,0:01.0,J. Harris makes free throw 2 of 2,,145,142
1OT,0:01.0,,Houston full timeout,145,142
1OT,0:01.0,,G. Clark enters the game for J. Nunnally,145,142
1OT,0:00.0,,G. Green misses 3-pt jump shot from 22 ft,145,142
1OT,0:00.0,,Offensive rebound by Team,145,142
