QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
4,1:48.0,,Shooting foul by G. Hayward (drawn by A. Gordon),93,100
4,1:48.0,,A. Gordon makes free throw 1 of 2,93,101
4,1:48.0,M. Morris enters the game for M. Smart,,93,101
4,1:48.0,,A. Gordon makes free throw 2 of 2,93,102
4,1:43.0,Shooting foul by D. Augustin (drawn by K. Irving),,93,102
4,1:43.0,K. Irving makes free throw 1 of 3,,94,102
4,1:43.0,K. Irving makes free throw 2 of 3,,95,102
4,1:43.0,K. Irving makes free throw 3 of 3,,96,102
4,1:27.0,,Turnover by D. Augustin (bad pass; steal by A. Horford),96,102
4,1:22.0,G. Hayward misses 3-pt jump shot from 24 ft,,96,102
4,1:16.0,Offensive rebound by A. Horford,,96,102
4,1:09.0,J. Tatum misses 2-pt jump shot from 7 ft,,96,102
4,1:06.0,Offensive rebound by J. Tatum,,96,102
4,1:06.0,J. Tatum misses 2-pt layup from 1 ft,,96,102
4,1:06.0,,Defensive rebound by N. Vučević,96,102
4,1:06.0,,Turnover by N. Vučević (out of bounds lost ball),96,102
4,1:06.0,Away from play foul by T. Ross (drawn by G. Hayward),,96,102
4,1:06.0,K. Irving makes free throw 1 of 1,,97,102
4,1:06.0,Boston full timeout,,97,102
4,0:59.0,K. Irving misses 3-pt jump shot from 23 ft,,97,102
4,0:59.0,Offensive rebound by M. Morris,,97,102
4,0:58.0,M. Morris makes 2-pt layup from 3 ft,,99,102
4,0:39.0,,N. Vučević makes 2-pt layup from 3 ft,99,104
4,0:33.0,Shooting foul by D. Augustin (drawn by K. Irving),,99,104
4,0:33.0,K. Irving makes free throw 1 of 2,,100,104
4,0:33.0,M. Smart enters the game for G. Hayward,,100,104
4,0:33.0,K. Irving makes free throw 2 of 2,,101,104
4,0:13.0,,Turnover by D. Augustin (out of bounds lost ball),101,104
4,0:10.0,Personal take foul by D. Augustin (drawn by K. Irving),,101,104
4,0:10.0,K. Irving makes free throw 1 of 2,,102,104
4,0:10.0,K. Irving makes free throw 2 of 2,,103,104
4,0:10.0,,Orlando full timeout,103,104
4,0:10.0,R. Williams enters the game for M. Morris,,103,104
4,0:03.0,,Personal foul by M. Smart (drawn by N. Vučević),103,104
4,0:03.0,,N. Vučević makes free throw 1 of 2,103,105
4,0:03.0,M. Morris enters the game for K. Irving,,103,105
4,0:03.0,,J. Isaac enters the game for D. Augustin,103,105
4,0:03.0,,W. Iwundu enters the game for T. Ross,103,105
4,0:03.0,,N. Vučević misses free throw 2 of 2,103,105
4,0:02.0,Defensive rebound by R. Williams,,103,105
4,0:02.0,Boston full timeout,,103,105
4,0:02.0,G. Hayward enters the game for M. Smart,,103,105
4,0:02.0,K. Irving enters the game for R. Williams,,103,105
4,0:02.0,,K. Birch enters the game for N. Vučević,103,105
4,0:00.0,J. Tatum misses 2-pt jump shot from 21 ft,,103,105
4,0:00.0,Offensive rebound by Team,,103,105
