QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
4,2:06.0,A. Wiggins misses 2-pt layup from 1 ft,,108,117
4,2:04.0,Offensive rebound by Team,,108,117
4,2:02.0,K. Towns misses 3-pt jump shot from 27 ft,,108,117
4,1:59.0,,Defensive rebound by A. Gordon,108,117
4,1:51.0,,T. Ross makes 3-pt jump shot from 22 ft (assist by A. Gordon),108,120
4,1:50.0,Minnesota full timeout,,108,120
4,1:50.0,K. Bates-Diop enters the game for D. Šarić,,108,120
4,1:50.0,G. Dieng enters the game for K. Towns,,108,120
4,1:50.0,C. Williams enters the game for A. Wiggins,,108,120
4,1:41.0,G. Dieng misses 2-pt jump shot from 18 ft,,108,120
4,1:39.0,,Defensive rebound by N. Vučević,108,120
4,1:19.0,,N. Vučević misses 2-pt layup from 2 ft (block by A. Tolliver),108,120
4,1:19.0,,Offensive rebound by Team,108,120
4,1:15.0,,N. Vučević misses 2-pt jump shot from 21 ft,108,120
4,1:12.0,Defensive rebound by G. Dieng,,108,120
4,1:03.0,I. Canaan makes 2-pt layup from 2 ft,,110,120
4,0:50.0,,Personal foul by G. Dieng (drawn by D. Augustin),110,120
4,0:50.0,,D. Augustin makes free throw 1 of 2,110,121
4,0:50.0,,D. Augustin makes free throw 2 of 2,110,122
4,0:39.0,C. Williams misses 2-pt jump shot from 8 ft,,110,122
4,0:35.0,,Defensive rebound by E. Fournier,110,122
4,0:14.0,,A. Gordon misses 3-pt jump shot from 27 ft,110,122
4,0:10.0,Defensive rebound by G. Dieng,,110,122
4,0:02.0,G. Dieng makes 2-pt jump shot from 21 ft (assist by C. Williams),,112,122
