QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
4,1:51.0,D. Theis misses 2-pt dunk from 2 ft (block by A. Caruso),,116,102
4,1:51.0,Offensive rebound by Team,,116,102
4,1:51.0,S. Ojeleye enters the game for K. Irving,,116,102
4,1:51.0,B. Wanamaker enters the game for M. Morris,,116,102
4,1:48.0,G. Hayward makes 2-pt jump shot from 16 ft (assist by B. Wanamaker),,118,102
4,1:32.0,,M. Wagner misses 2-pt layup from 4 ft (block by G. Hayward),118,102
4,1:32.0,,Offensive rebound by Team,118,102
4,1:32.0,G. Yabusele enters the game for G. Hayward,,118,102
4,1:26.0,,Shooting foul by B. Wanamaker (drawn by A. Caruso),118,102
4,1:26.0,,A. Caruso makes free throw 1 of 2,118,103
4,1:26.0,,A. Caruso makes free throw 2 of 2,118,104
4,1:08.0,G. Yabusele misses 2-pt layup from 3 ft (block by I. Bonga),,118,104
4,1:04.0,,Defensive rebound by A. Caruso,118,104
4,0:55.0,,M. Wagner makes 2-pt layup from 2 ft,118,106
4,0:55.0,,Shooting foul by G. Yabusele (drawn by M. Wagner),118,106
4,0:55.0,,M. Wagner makes free throw 1 of 1,118,107
4,0:43.0,B. Wanamaker misses 2-pt jump shot from 6 ft,,118,107
4,0:41.0,,Defensive rebound by J. Williams,118,107
4,0:33.0,,M. Wagner misses 3-pt jump shot from 26 ft,118,107
4,0:28.0,Defensive rebound by S. Ojeleye,,118,107
4,0:23.0,G. Yabusele makes 2-pt hook shot from 7 ft (assist by M. Smart),,120,107
4,0:04.0,,J. Hart misses 3-pt jump shot from 31 ft,120,107
4,0:00.0,Defensive rebound by M. Smart,,120,107
