QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
4,1:49.0,D. House misses 3-pt jump shot from 23 ft,,104,110
4,1:46.0,,Defensive rebound by B. Caboclo,104,110
4,1:45.0,,Turnover by B. Caboclo (bad pass),104,110
4,1:24.0,C. Paul makes 3-pt jump shot from 23 ft,,107,110
4,1:00.0,,M. Conley makes 2-pt jump shot from 11 ft,107,112
4,0:50.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),,110,112
4,0:29.0,,M. Conley misses 3-pt jump shot from 25 ft,110,112
4,0:25.0,Defensive rebound by C. Paul,,110,112
4,0:22.0,D. House misses 2-pt layup from 3 ft,,110,112
4,0:21.0,,Defensive rebound by B. Caboclo,110,112
4,0:21.0,,Personal take foul by C. Paul (drawn by B. Caboclo),110,112
4,0:20.0,,Personal take foul by P. Tucker (drawn by B. Caboclo),110,112
4,0:20.0,,B. Caboclo makes free throw 1 of 2,110,113
4,0:20.0,,J. Noah enters the game for J. Valančiūnas,110,113
4,0:20.0,,B. Caboclo misses free throw 2 of 2,110,113
4,0:18.0,Defensive rebound by J. Harden,,110,113
4,0:09.0,J. Harden misses 2-pt layup from 1 ft,,110,113
4,0:07.0,Offensive rebound by C. Capela,,110,113
4,0:07.0,Shooting foul by J. Noah (drawn by C. Capela),,110,113
4,0:07.0,C. Capela makes free throw 1 of 2,,111,113
4,0:07.0,,J. Valančiūnas enters the game for J. Noah,111,113
4,0:07.0,C. Capela makes free throw 2 of 2,,112,113
4,0:07.0,,Memphis full timeout,112,113
4,0:07.0,,C. Parsons enters the game for B. Caboclo,112,113
4,0:05.0,,Personal take foul by D. House (drawn by J. Holiday),112,113
4,0:05.0,,B. Caboclo enters the game for C. Parsons,112,113
4,0:05.0,,J. Noah enters the game for J. Valančiūnas,112,113
4,0:05.0,,J. Holiday makes free throw 1 of 2,112,114
4,0:05.0,,J. Holiday makes free throw 2 of 2,112,115
4,0:05.0,Houston full timeout,,112,115
4,0:05.0,G. Green enters the game for C. Capela,,112,115
4,0:04.0,Shooting foul by J. Holiday (drawn by J. Harden),,112,115
4,0:04.0,J. Harden makes free throw 1 of 3,,113,115
4,0:04.0,J. Harden makes free throw 2 of 3,,114,115
4,0:04.0,C. Capela enters the game for G. Green,,114,115
4,0:04.0,,C. Parsons enters the game for B. Caboclo,114,115
4,0:04.0,,J. Valančiūnas enters the game for J. Noah,114,115
4,0:04.0,J. Harden makes free throw 3 of 3,,115,115
4,0:00.0,,C. Parsons misses 3-pt jump shot from 40 ft,115,115
4,0:00.0,,Offensive rebound by Team,115,115
1OT,4:47.0,J. Harden misses 2-pt jump shot from 10 ft,,115,115
1OT,4:44.0,,Defensive rebound by J. Valančiūnas,115,115
1OT,4:23.0,,M. Conley misses 2-pt jump shot from 3 ft,115,115
1OT,4:23.0,,Offensive rebound by J. Valančiūnas,115,115
1OT,4:23.0,,Shooting foul by P. Tucker (drawn by J. Valančiūnas),115,115
1OT,4:23.0,,J. Valančiūnas misses free throw 1 of 2,115,115
1OT,4:23.0,,Offensive rebound by Team,115,115
1OT,4:23.0,,J. Valančiūnas makes free throw 2 of 2,115,116
1OT,4:01.0,C. Paul misses 3-pt jump shot from 23 ft,,115,116
1OT,3:59.0,Offensive rebound by P. Tucker,,115,116
1OT,3:51.0,Turnover by P. Tucker (traveling),,115,116
1OT,3:30.0,,J. Valančiūnas misses 2-pt layup from 5 ft (block by J. Harden),115,116
1OT,3:26.0,Defensive rebound by J. Harden,,115,116
1OT,3:24.0,J. Harden makes 2-pt layup from 1 ft,,117,116
1OT,3:10.0,,C. Parsons makes 3-pt jump shot from 26 ft (assist by M. Conley),117,119
1OT,2:40.0,J. Harden misses 3-pt jump shot from 26 ft,,117,119
1OT,2:34.0,,Defensive rebound by M. Conley,117,119
1OT,2:34.0,,Personal foul by C. Paul (drawn by M. Conley),117,119
1OT,2:23.0,,M. Conley misses 3-pt jump shot from 27 ft,117,119
1OT,2:20.0,,Offensive rebound by D. Wright,117,119
1OT,2:16.0,,Personal foul by C. Paul (drawn by D. Wright),117,119
1OT,2:08.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,117,119
1OT,2:05.0,Defensive rebound by P. Tucker,,117,119
1OT,2:04.0,Personal foul by M. Conley (drawn by J. Harden),,117,119
1OT,1:48.0,D. House misses 3-pt jump shot from 23 ft,,117,119
1OT,1:45.0,,Defensive rebound by C. Parsons,117,119
1OT,1:30.0,,C. Parsons misses 2-pt jump shot from 10 ft,117,119
1OT,1:27.0,,Offensive rebound by Team,117,119
1OT,1:27.0,Loose ball foul by J. Harden (drawn by J. Valančiūnas),,117,119
1OT,1:27.0,,J. Valančiūnas makes free throw 1 of 2,117,120
1OT,1:27.0,,J. Valančiūnas misses free throw 2 of 2,117,120
1OT,1:25.0,Defensive rebound by P. Tucker,,117,120
1OT,1:16.0,C. Paul misses 3-pt jump shot from 26 ft,,117,120
1OT,1:13.0,,Defensive rebound by C. Parsons,117,120
1OT,0:54.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Conley),117,123
1OT,0:53.0,Houston full timeout,,117,123
1OT,0:43.0,J. Harden makes 3-pt jump shot from 26 ft,,120,123
1OT,0:29.0,,M. Conley makes 2-pt layup from 1 ft,120,125
1OT,0:25.0,J. Harden makes 3-pt jump shot from 27 ft,,123,125
1OT,0:17.0,,Turnover by D. Wright (lost ball; steal by J. Harden),123,125
1OT,0:15.0,J. Harden makes 2-pt layup from 1 ft,,125,125
1OT,0:15.0,,Memphis full timeout,125,125
1OT,0:02.0,,M. Conley misses 2-pt jump shot from 10 ft (block by P. Tucker),125,125
1OT,0:00.0,,Offensive rebound by J. Valančiūnas,125,125
1OT,0:00.0,,Shooting foul by C. Capela (drawn by J. Valančiūnas),125,125
1OT,0:00.0,,J. Valančiūnas makes free throw 1 of 2,125,126
1OT,0:00.0,,J. Valančiūnas misses free throw 2 of 2,125,126
1OT,0:00.0,,Offensive rebound by Team,125,126
