QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
3,7:52.0,,Turnover by B. Griffin (bad pass; steal by T. Young),63,52
3,7:48.0,T. Young makes 2-pt layup from 3 ft,,65,52
3,7:39.0,,A. Drummond misses 2-pt hook shot from 8 ft,65,52
3,7:37.0,Defensive rebound by A. Len,,65,52
3,7:34.0,T. Young misses 3-pt jump shot from 28 ft,,65,52
3,7:30.0,Offensive rebound by A. Len,,65,52
3,7:30.0,A. Len misses 2-pt layup from 1 ft,,65,52
3,7:29.0,Offensive rebound by A. Len,,65,52
3,7:24.0,A. Len makes 2-pt layup from 1 ft,,67,52
3,7:19.0,,Personal foul by T. Young (drawn by R. Jackson),67,52
3,7:19.0,D. Bembry enters the game for K. Bazemore,,67,52
3,7:07.0,,Shooting foul by A. Len (drawn by A. Drummond),67,52
3,7:07.0,,A. Drummond misses free throw 1 of 2,67,52
3,7:07.0,,Offensive rebound by Team,67,52
3,7:07.0,,A. Drummond misses free throw 2 of 2,67,52
3,7:05.0,Defensive rebound by T. Young,,67,52
3,6:59.0,Turnover by T. Young (bad pass; steal by B. Griffin),,67,52
3,6:57.0,,Personal foul by V. Carter (drawn by B. Griffin),67,52
3,6:57.0,,B. Griffin makes free throw 1 of 2,67,53
3,6:57.0,J. Lin enters the game for T. Young,,67,53
3,6:57.0,,B. Griffin makes free throw 2 of 2,67,54
3,6:36.0,V. Carter misses 3-pt jump shot from 32 ft,,67,54
3,6:29.0,,Defensive rebound by A. Drummond,67,54
3,6:24.0,,B. Griffin misses 3-pt jump shot from 29 ft,67,54
3,6:20.0,Defensive rebound by D. Bembry,,67,54
3,6:11.0,A. Len misses 2-pt jump shot from 18 ft,,67,54
3,6:07.0,,Defensive rebound by A. Drummond,67,54
3,6:00.0,,R. Jackson makes 2-pt jump shot from 10 ft,67,56
3,5:45.0,K. Huerter misses 3-pt jump shot from 29 ft,,67,56
3,5:45.0,Offensive rebound by Team,,67,56
3,5:45.0,,Loose ball foul by B. Brown (drawn by A. Len),67,56
3,5:45.0,,S. Johnson enters the game for B. Brown,67,56
3,5:31.0,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),,69,56
3,5:15.0,,B. Griffin misses 2-pt layup from 9 ft,69,56
3,5:12.0,Defensive rebound by V. Carter,,69,56
3,5:09.0,J. Lin misses 2-pt layup from 4 ft,,69,56
3,5:07.0,Offensive rebound by V. Carter,,69,56
3,5:07.0,V. Carter makes 2-pt layup from 1 ft,,71,56
3,5:07.0,,Detroit full timeout,71,56
3,5:07.0,J. Anderson enters the game for K. Huerter,,71,56
3,4:58.0,,Shooting foul by A. Len (drawn by R. Jackson),71,56
3,4:58.0,,R. Jackson misses free throw 1 of 2,71,56
3,4:58.0,,Offensive rebound by Team,71,56
