QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
2,6:37.0,,Defensive rebound by D. Smith,29,36
2,6:33.0,,D. Smith misses 2-pt jump shot from 8 ft,29,36
2,6:30.0,Defensive rebound by W. Cauley-Stein,,29,36
2,6:24.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,29,36
2,6:23.0,,Defensive rebound by Team,29,36
2,6:23.0,,New York full timeout,29,36
2,6:23.0,D. Fox enters the game for Y. Ferrell,,29,36
2,6:23.0,,A. Trier enters the game for D. Dotson,29,36
2,6:09.0,,Turnover by D. Jordan (traveling),29,36
2,5:53.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,29,36
2,5:48.0,Offensive rebound by W. Cauley-Stein,,29,36
2,5:48.0,W. Cauley-Stein misses 2-pt layup at rim,,29,36
2,5:48.0,Offensive rebound by W. Cauley-Stein,,29,36
2,5:45.0,W. Cauley-Stein makes 2-pt layup at rim,,31,36
2,5:29.0,,E. Mudiay makes 2-pt layup from 2 ft,31,38
2,5:22.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by B. Hield),,34,38
2,4:54.0,,D. Smith misses 2-pt jump shot from 8 ft,34,38
2,4:50.0,,Offensive rebound by D. Jordan,34,38
2,4:50.0,,D. Jordan makes 2-pt dunk from 1 ft,34,40
2,4:34.0,Shooting foul by E. Mudiay (drawn by H. Barnes),,34,40
2,4:34.0,H. Barnes makes free throw 1 of 2,,35,40
2,4:34.0,,L. Thomas enters the game for E. Mudiay,35,40
2,4:34.0,H. Barnes makes free throw 2 of 2,,36,40
2,4:18.0,,Turnover by D. Smith (bad pass; steal by H. Barnes),36,40
2,4:14.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,38,40
2,4:07.0,,New York full timeout,38,40
2,3:57.0,,K. Knox misses 2-pt jump shot from 21 ft,38,40
2,3:55.0,Defensive rebound by B. Hield,,38,40
2,3:39.0,B. Hield misses 2-pt jump shot from 8 ft,,38,40
2,3:37.0,,Defensive rebound by D. Jordan,38,40
2,3:25.0,,D. Smith misses 2-pt jump shot from 21 ft,38,40
2,3:23.0,Defensive rebound by B. Bogdanović,,38,40
2,3:10.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,38,40
2,3:09.0,,Defensive rebound by D. Jordan,38,40
2,2:47.0,,K. Knox misses 2-pt jump shot from 6 ft,38,40
2,2:45.0,Defensive rebound by H. Barnes,,38,40
2,2:43.0,Shooting foul by L. Thomas (drawn by D. Fox),,38,40
2,2:43.0,D. Fox makes free throw 1 of 2,,39,40
2,2:43.0,N. Bjelica enters the game for B. Bogdanović,,39,40
2,2:43.0,,D. Dotson enters the game for L. Thomas,39,40
2,2:43.0,D. Fox makes free throw 2 of 2,,40,40
2,2:30.0,,Shooting foul by B. Hield (drawn by A. Trier),40,40
2,2:30.0,,Offensive rebound by Team,40,40
2,2:30.0,,A. Trier misses free throw 1 of 2,40,40
2,2:30.0,,A. Trier misses free throw 2 of 2,40,40
2,2:27.0,Defensive rebound by N. Bjelica,,40,40
2,2:16.0,Shooting foul by D. Jordan (drawn by H. Barnes),,40,40
2,2:16.0,H. Barnes makes free throw 1 of 2,,41,40
2,2:16.0,H. Barnes makes free throw 2 of 2,,42,40
2,1:59.0,,K. Knox makes 2-pt hook shot from 7 ft,42,42
2,1:49.0,B. Hield makes 2-pt layup from 2 ft,,44,42
2,1:31.0,Violation by Team (kicked ball),,44,42
2,1:21.0,,A. Trier makes 2-pt jump shot from 10 ft,44,44
2,1:08.0,D. Fox makes 2-pt jump shot from 20 ft,,46,44
2,0:57.0,,A. Trier makes 2-pt layup from 1 ft (assist by D. Smith),46,46
2,0:48.0,D. Fox misses 2-pt layup from 2 ft,,46,46
2,0:45.0,,Defensive rebound by D. Smith,46,46
2,0:42.0,,D. Jordan misses 2-pt layup from 3 ft,46,46
2,0:40.0,Defensive rebound by N. Bjelica,,46,46
2,0:36.0,B. Hield misses 2-pt layup from 1 ft,,46,46
2,0:36.0,Offensive rebound by W. Cauley-Stein,,46,46
2,0:36.0,W. Cauley-Stein makes 2-pt dunk at rim,,48,46
2,0:30.0,,D. Smith misses 3-pt jump shot from 26 ft,48,46
2,0:27.0,,Offensive rebound by Team,48,46
2,0:12.0,,K. Knox misses 3-pt jump shot from 26 ft,48,46
2,0:09.0,Defensive rebound by D. Fox,,48,46
2,0:01.0,Turnover by D. Fox (lost ball; steal by A. Trier),,48,46
2,0:00.0,,K. Knox misses 2-pt layup from 8 ft,48,46
2,0:00.0,,Offensive rebound by Team,48,46
3,11:40.0,D. Fox misses 3-pt jump shot from 27 ft,,48,46
3,11:37.0,,Defensive rebound by Team,48,46
3,11:13.0,,D. Jordan misses 2-pt hook shot from 3 ft,48,46
3,11:12.0,Defensive rebound by B. Hield,,48,46
3,11:05.0,H. Barnes misses 3-pt jump shot from 30 ft,,48,46
3,11:00.0,,Defensive rebound by L. Thomas,48,46
3,10:48.0,,L. Thomas makes 3-pt jump shot from 24 ft (assist by D. Smith),48,49
3,10:31.0,B. Hield misses 3-pt jump shot from 26 ft,,48,49
3,10:27.0,,Defensive rebound by L. Thomas,48,49
3,10:20.0,,D. Smith misses 3-pt jump shot from 25 ft,48,49
3,10:18.0,Defensive rebound by W. Cauley-Stein,,48,49
3,10:12.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,51,49
3,9:51.0,,D. Dotson misses 2-pt jump shot from 15 ft,51,49
3,9:47.0,Defensive rebound by W. Cauley-Stein,,51,49
3,9:37.0,D. Fox misses 3-pt jump shot from 23 ft,,51,49
3,9:37.0,,Defensive rebound by D. Jordan,51,49
3,9:19.0,,Turnover by K. Knox (traveling),51,49
3,9:12.0,B. Bogdanović makes 3-pt jump shot from 27 ft,,54,49
3,9:12.0,,New York full timeout,54,49
3,9:00.0,,K. Knox misses 2-pt layup from 2 ft,54,49
3,8:59.0,,Offensive rebound by D. Jordan,54,49
3,8:59.0,,D. Jordan makes 2-pt layup from 1 ft,54,51
3,8:59.0,,Shooting foul by B. Bogdanović (drawn by D. Jordan),54,51
3,8:59.0,,D. Jordan makes free throw 1 of 1,54,52
3,8:43.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),,57,52
3,8:20.0,,L. Thomas misses 3-pt jump shot from 23 ft,57,52
3,8:18.0,,Offensive rebound by D. Jordan,57,52
3,8:15.0,,K. Knox misses 3-pt jump shot from 26 ft,57,52
3,8:11.0,Defensive rebound by W. Cauley-Stein,,57,52
3,8:05.0,Turnover by D. Fox (bad pass),,57,52
3,7:48.0,,D. Dotson makes 2-pt layup from 3 ft (assist by K. Knox),57,54
3,7:34.0,H. Barnes misses 2-pt jump shot from 11 ft,,57,54
3,7:32.0,,Defensive rebound by D. Jordan,57,54
3,7:25.0,,D. Smith makes 2-pt layup from 2 ft,57,56
3,7:20.0,Shooting foul by D. Jordan (drawn by D. Fox),,57,56
3,7:20.0,D. Fox makes free throw 1 of 2,,58,56
3,7:20.0,D. Fox misses free throw 2 of 2,,58,56
3,7:18.0,,Defensive rebound by L. Thomas,58,56
3,7:04.0,,K. Knox makes 2-pt layup from 1 ft (assist by D. Smith),58,58
3,7:04.0,Sacramento full timeout,,58,58
3,7:04.0,N. Bjelica enters the game for B. Bogdanović,,58,58
3,6:54.0,Personal foul by K. Knox (drawn by H. Barnes),,58,58
3,6:38.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,61,58
3,6:16.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by D. Dotson),61,61
3,6:00.0,W. Cauley-Stein misses 2-pt dunk from 2 ft,,61,61
3,5:58.0,,Defensive rebound by D. Jordan,61,61
3,5:54.0,,D. Dotson misses 2-pt jump shot from 21 ft,61,61
3,5:50.0,,D. Jordan makes 2-pt dunk at rim,61,63
3,5:50.0,,Offensive rebound by D. Jordan,61,63
3,5:37.0,N. Bjelica misses 3-pt jump shot from 29 ft,,61,63
3,5:35.0,,Defensive rebound by D. Jordan,61,63
3,5:24.0,,K. Knox misses 3-pt jump shot from 23 ft,61,63
3,5:21.0,Defensive rebound by N. Bjelica,,61,63
3,5:07.0,H. Barnes makes 2-pt jump shot from 11 ft (assist by D. Fox),,63,63
3,4:57.0,,D. Dotson misses 3-pt jump shot from 25 ft,63,63
3,4:54.0,Defensive rebound by W. Cauley-Stein,,63,63
3,4:46.0,B. Hield makes 3-pt jump shot from 27 ft (assist by D. Fox),,66,63
3,4:26.0,,D. Smith misses 2-pt layup from 3 ft,66,63
3,4:24.0,Defensive rebound by N. Bjelica,,66,63
3,4:24.0,Personal take foul by D. Smith (drawn by D. Fox),,66,63
3,4:24.0,H. Giles enters the game for W. Cauley-Stein,,66,63
3,4:24.0,,L. Kornet enters the game for D. Jordan,66,63
3,4:24.0,,E. Mudiay enters the game for K. Knox,66,63
3,4:24.0,,M. Robinson enters the game for D. Smith,66,63
3,4:24.0,,A. Trier enters the game for L. Thomas,66,63
3,4:08.0,H. Giles misses 2-pt jump shot from 20 ft,,66,63
3,4:04.0,,Defensive rebound by D. Dotson,66,63
3,3:54.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by D. Dotson),66,66
3,3:39.0,H. Giles makes 2-pt jump shot from 6 ft (assist by D. Fox),,68,66
3,3:21.0,,D. Dotson makes 2-pt jump shot from 16 ft (assist by L. Kornet),68,68
3,3:12.0,B. Hield makes 2-pt jump shot from 20 ft,,70,68
3,2:59.0,,L. Kornet misses 3-pt jump shot from 25 ft,70,68
3,2:56.0,Defensive rebound by H. Barnes,,70,68
3,2:49.0,H. Giles misses 2-pt hook shot from 4 ft,,70,68
3,2:48.0,Offensive rebound by H. Giles,,70,68
3,2:47.0,H. Giles misses 2-pt layup from 2 ft,,70,68
3,2:45.0,,Defensive rebound by E. Mudiay,70,68
3,2:42.0,,E. Mudiay misses 2-pt layup from 1 ft,70,68
3,2:38.0,Defensive rebound by B. Hield,,70,68
3,2:35.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,73,68
3,2:07.0,,Turnover by E. Mudiay (bad pass; steal by H. Giles),73,68
3,2:01.0,B. Hield misses 3-pt jump shot from 24 ft,,73,68
3,1:58.0,,Defensive rebound by M. Robinson,73,68
3,1:47.0,,D. Dotson misses 3-pt jump shot from 25 ft,73,68
3,1:44.0,Defensive rebound by N. Bjelica,,73,68
