QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
4,3:12.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by A. Gordon),105,106
4,3:10.0,Houston full timeout,,105,106
4,2:56.0,J. Harden makes 2-pt jump shot from 9 ft (assist by C. Capela),,107,106
4,2:37.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by D. Augustin),107,109
4,2:13.0,C. Capela misses 2-pt layup from 4 ft,,107,109
4,2:13.0,,Defensive rebound by Team,107,109
4,2:13.0,Loose ball foul by J. Harden (drawn by N. Vučević),,107,109
4,1:49.0,,D. Augustin makes 3-pt jump shot from 28 ft (assist by T. Ross),107,112
4,1:39.0,J. Harden misses 3-pt jump shot from 29 ft,,107,112
4,1:34.0,,Defensive rebound by A. Gordon,107,112
4,1:21.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by A. Gordon),107,114
4,1:21.0,Houston full timeout,,107,114
4,1:21.0,G. Green enters the game for D. House,,107,114
4,1:14.0,Personal foul by E. Fournier (drawn by J. Harden),,107,114
4,1:14.0,J. Harden makes free throw 1 of 2,,108,114
4,1:14.0,J. Harden makes free throw 2 of 2,,109,114
4,0:56.0,,A. Gordon makes 2-pt layup from 1 ft,109,116
4,0:48.0,J. Harden misses 3-pt jump shot from 27 ft,,109,116
4,0:43.0,,Defensive rebound by T. Ross,109,116
4,0:38.0,,Personal foul by P. Tucker (drawn by D. Augustin),109,116
4,0:17.0,,A. Gordon misses 2-pt jump shot from 8 ft,109,116
4,0:15.0,Defensive rebound by G. Green,,109,116
4,0:09.0,J. Harden misses 3-pt jump shot from 26 ft,,109,116
4,0:05.0,,Defensive rebound by E. Fournier,109,116
