QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
4,3:42.0,Defensive rebound by T. Burke,,93,107
4,3:33.0,L. Dončić makes 3-pt jump shot from 25 ft (assist by S. Mejri),,96,107
4,3:08.0,,N. Vučević misses 2-pt hook shot from 4 ft,96,107
4,3:06.0,Defensive rebound by L. Dončić,,96,107
4,2:58.0,L. Dončić misses 2-pt jump shot from 5 ft,,96,107
4,2:57.0,Offensive rebound by D. Finney-Smith,,96,107
4,2:56.0,D. Finney-Smith makes 2-pt dunk at rim,,98,107
4,2:36.0,,N. Vučević misses 2-pt hook shot from 6 ft (block by S. Mejri),98,107
4,2:32.0,,Offensive rebound by N. Vučević,98,107
4,2:31.0,,N. Vučević makes 2-pt hook shot from 2 ft,98,109
4,2:15.0,T. Hardaway misses 2-pt jump shot from 11 ft,,98,109
4,2:12.0,,Defensive rebound by J. Isaac,98,109
4,1:49.0,,E. Fournier misses 3-pt jump shot from 26 ft,98,109
4,1:48.0,,Offensive rebound by Team,98,109
4,1:48.0,,Turnover by Team (shot clock),98,109
4,1:48.0,,Orlando full timeout,98,109
4,1:48.0,,A. Gordon enters the game for J. Isaac,98,109
4,1:48.0,,T. Ross enters the game for W. Iwundu,98,109
4,1:40.0,S. Mejri makes 2-pt layup from 3 ft (assist by L. Dončić),,100,109
4,1:40.0,Shooting foul by E. Fournier (drawn by S. Mejri),,100,109
4,1:40.0,S. Mejri makes free throw 1 of 1,,101,109
4,1:21.0,,E. Fournier makes 2-pt layup from 3 ft (assist by T. Ross),101,111
4,1:12.0,L. Dončić makes 3-pt jump shot from 25 ft,,104,111
4,1:00.0,,Turnover by E. Fournier (offensive foul),104,111
4,1:00.0,,Offensive foul by E. Fournier (drawn by D. Finney-Smith),104,111
4,0:50.0,L. Dončić misses 2-pt layup from 4 ft (block by N. Vučević),,104,111
4,0:46.0,Offensive rebound by T. Burke,,104,111
4,0:46.0,T. Burke makes 2-pt jump shot from 11 ft,,106,111
4,0:26.0,,T. Ross misses 3-pt jump shot from 26 ft,106,111
4,0:22.0,Defensive rebound by S. Mejri,,106,111
4,0:17.0,L. Dončić misses 3-pt jump shot from 32 ft,,106,111
4,0:13.0,Offensive rebound by D. Finney-Smith,,106,111
4,0:13.0,T. Hardaway misses 3-pt jump shot from 25 ft,,106,111
4,0:08.0,,Defensive rebound by A. Gordon,106,111
