QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
4,1:51.0,E. Bledsoe misses 2-pt jump shot from 6 ft (block by J. Nurkić),,101,113
4,1:48.0,Offensive rebound by K. Middleton,,101,113
4,1:44.0,D. DiVincenzo misses 2-pt layup from 3 ft,,101,113
4,1:43.0,Offensive rebound by E. Bledsoe,,101,113
4,1:43.0,E. Bledsoe makes 2-pt layup at rim,,103,113
4,1:20.0,,C. McCollum misses 3-pt jump shot from 27 ft,103,113
4,1:19.0,Defensive rebound by K. Middleton,,103,113
4,1:10.0,T. Snell misses 2-pt jump shot from 15 ft,,103,113
4,1:08.0,,Defensive rebound by E. Turner,103,113
4,0:51.0,,E. Turner makes 2-pt jump shot from 16 ft,103,115
4,0:41.0,Turnover by D. DiVincenzo (bad pass; steal by C. McCollum),,103,115
4,0:22.0,,C. McCollum makes 3-pt jump shot from 27 ft,103,118
4,0:12.0,K. Middleton misses 2-pt jump shot from 4 ft,,103,118
4,0:10.0,,Defensive rebound by D. Lillard,103,118
