QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
4,5:29.0,,Offensive rebound by R. Jackson,102,85
4,5:29.0,,R. Jackson makes 2-pt layup from 3 ft,102,87
4,5:29.0,Charlotte full timeout,,102,87
4,5:13.0,Shooting foul by A. Drummond (drawn by C. Zeller),,102,87
4,5:13.0,C. Zeller makes free throw 1 of 2,,103,87
4,5:13.0,C. Zeller makes free throw 2 of 2,,104,87
4,5:01.0,,I. Smith misses 2-pt jump shot from 14 ft,104,87
4,4:58.0,Defensive rebound by K. Walker,,104,87
4,4:50.0,Offensive foul by C. Zeller (drawn by I. Smith),,104,87
4,4:50.0,Turnover by C. Zeller (offensive foul),,104,87
4,4:33.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by I. Smith),104,89
4,4:17.0,Offensive foul by T. Parker (drawn by R. Jackson),,104,89
4,4:17.0,Turnover by T. Parker (offensive foul),,104,89
4,4:08.0,,R. Jackson makes 2-pt jump shot from 10 ft,104,91
4,3:53.0,Turnover by K. Walker (bad pass; steal by R. Bullock),,104,91
4,3:48.0,,R. Jackson misses 2-pt layup from 3 ft,104,91
4,3:45.0,,Offensive rebound by L. Galloway,104,91
4,3:44.0,,R. Bullock misses 3-pt jump shot from 27 ft,104,91
4,3:44.0,Defensive rebound by C. Zeller,,104,91
4,3:28.0,K. Walker makes 3-pt jump shot from 28 ft,,107,91
4,3:14.0,,R. Jackson makes 2-pt layup from 2 ft,107,93
4,3:14.0,,Shooting foul by T. Parker (drawn by R. Jackson),107,93
4,3:14.0,,R. Jackson makes free throw 1 of 1,107,94
4,2:57.0,K. Walker makes 2-pt jump shot from 15 ft,,109,94
4,2:36.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by R. Bullock),109,97
4,2:09.0,K. Walker misses 2-pt layup from 4 ft,,109,97
4,2:09.0,,Defensive rebound by A. Drummond,109,97
4,2:09.0,Technical foul by K. Walker,,109,97
4,2:09.0,,R. Jackson makes technical free throw,109,98
4,2:00.0,,Turnover by R. Jackson (bad pass; steal by N. Batum),109,98
4,1:43.0,K. Walker misses 2-pt jump shot from 10 ft,,109,98
4,1:43.0,,Defensive rebound by A. Drummond,109,98
4,1:43.0,,Personal foul by C. Zeller (drawn by A. Drummond),109,98
4,1:43.0,M. Williams enters the game for C. Zeller,,109,98
4,1:31.0,,R. Jackson misses 3-pt jump shot from 23 ft,109,98
4,1:27.0,,Offensive rebound by A. Drummond,109,98
4,1:27.0,,A. Drummond makes 2-pt hook shot from 5 ft,109,100
4,1:10.0,T. Parker misses 2-pt layup from 5 ft,,109,100
4,1:10.0,,Defensive rebound by Team,109,100
4,1:04.0,,I. Smith misses 3-pt jump shot from 28 ft,109,100
4,0:58.0,Defensive rebound by K. Walker,,109,100
4,0:45.0,T. Parker makes 3-pt jump shot from 25 ft (assist by K. Walker),,112,100
4,0:45.0,,Detroit full timeout,112,100
4,0:45.0,W. Hernangómez enters the game for T. Parker,,112,100
4,0:37.0,,I. Smith makes 3-pt jump shot from 28 ft (assist by R. Jackson),112,103
4,0:23.0,Personal take foul by R. Bullock (drawn by K. Walker),,112,103
4,0:23.0,Charlotte full timeout,,112,103
4,0:23.0,T. Parker enters the game for W. Hernangómez,,112,103
4,0:23.0,Charlotte full timeout,,112,103
4,0:22.0,Personal foul by I. Smith (drawn by M. Williams),,112,103
4,0:22.0,M. Williams misses free throw 1 of 2,,112,103
4,0:22.0,Offensive rebound by Team,,112,103
4,0:22.0,,Z. Pachulia enters the game for L. Galloway,112,103
4,0:22.0,M. Williams makes free throw 2 of 2,,113,103
4,0:22.0,,Detroit full timeout,113,103
4,0:22.0,D. Bacon enters the game for T. Parker,,113,103
4,0:22.0,M. Monk enters the game for K. Walker,,113,103
4,0:22.0,,L. Galloway enters the game for Z. Pachulia,113,103
4,0:17.0,,A. Drummond misses 2-pt layup from 4 ft (block by M. Bridges),113,103
4,0:17.0,Defensive rebound by M. Monk,,113,103
