QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
4,3:26.0,,D. Cunningham enters the game for L. Aldridge,112,129
4,3:26.0,,C. Metu enters the game for M. Belinelli,112,129
4,3:26.0,,J. Poeltl enters the game for D. Bertāns,112,129
4,3:26.0,,Q. Pondexter enters the game for B. Forbes,112,129
4,3:26.0,,L. Walker enters the game for D. White,112,129
4,3:16.0,J. McRae misses 2-pt jump shot from 13 ft,,112,129
4,3:14.0,,Defensive rebound by C. Metu,112,129
4,2:56.0,,C. Metu misses 2-pt jump shot from 10 ft,112,129
4,2:54.0,,Offensive rebound by J. Poeltl,112,129
4,2:52.0,,J. Poeltl makes 2-pt jump shot from 12 ft,112,131
4,2:42.0,O. Porter misses 3-pt jump shot from 26 ft,,112,131
4,2:42.0,,Defensive rebound by Q. Pondexter,112,131
4,2:31.0,,Turnover by (5 sec),112,131
4,2:15.0,O. Porter makes 3-pt jump shot from 24 ft (assist by C. Randle),,115,131
4,2:03.0,,L. Walker misses 2-pt jump shot from 21 ft,115,131
4,2:03.0,Defensive rebound by Team,,115,131
4,2:03.0,,Loose ball foul by C. Metu (drawn by C. Randle),115,131
4,2:03.0,C. Randle makes free throw 1 of 2,,116,131
4,2:03.0,C. Randle makes free throw 2 of 2,,117,131
4,1:51.0,,Turnover by J. Poeltl (3 sec),117,131
4,1:41.0,O. Porter misses 3-pt jump shot from 26 ft,,117,131
4,1:37.0,,Defensive rebound by D. Cunningham,117,131
4,1:19.0,,Turnover by C. Metu (bad pass; steal by O. Porter),117,131
4,1:14.0,T. Brown misses 2-pt layup from 2 ft (block by L. Walker),,117,131
4,1:12.0,,Defensive rebound by J. Poeltl,117,131
4,1:06.0,,L. Walker misses 3-pt jump shot from 26 ft,117,131
4,1:03.0,Defensive rebound by C. Randle,,117,131
4,0:57.0,T. Brown misses 3-pt jump shot from 27 ft,,117,131
4,0:55.0,,Defensive rebound by D. Cunningham,117,131
4,0:41.0,,Shooting foul by T. Bryant (drawn by C. Metu),117,131
4,0:41.0,,C. Metu misses free throw 1 of 2,117,131
4,0:41.0,,Offensive rebound by Team,117,131
4,0:41.0,,C. Metu makes free throw 2 of 2,117,132
4,0:33.0,J. McRae misses 2-pt jump shot from 6 ft (block by J. Poeltl),,117,132
4,0:30.0,,Defensive rebound by J. Poeltl,117,132
4,0:25.0,,C. Metu misses 2-pt layup from 1 ft,117,132
4,0:23.0,Defensive rebound by T. Bryant,,117,132
4,0:13.0,T. Bryant makes 2-pt hook shot from 6 ft,,119,132
