QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
4,2:32.0,Dallas full timeout,,83,83
4,2:32.0,M. Kleber enters the game for R. Broekhoff,,83,83
4,2:32.0,D. Powell enters the game for S. Mejri,,83,83
4,2:22.0,Shooting foul by B. Griffin (drawn by D. Powell),,83,83
4,2:22.0,D. Powell makes free throw 1 of 2,,84,83
4,2:22.0,D. Powell misses free throw 2 of 2,,84,83
4,2:18.0,,Defensive rebound by B. Griffin,84,83
4,2:00.0,,B. Griffin misses 2-pt layup at rim,84,83
4,1:59.0,,Offensive rebound by B. Griffin,84,83
4,1:59.0,,B. Griffin misses 2-pt layup from 2 ft,84,83
4,1:59.0,,Offensive rebound by B. Griffin,84,83
4,1:58.0,,B. Griffin misses 2-pt layup at rim,84,83
4,1:58.0,,Offensive rebound by A. Drummond,84,83
4,1:56.0,,A. Drummond makes 2-pt layup from 1 ft,84,85
4,1:46.0,J. Brunson misses 2-pt jump shot from 8 ft,,84,85
4,1:45.0,,Defensive rebound by Team,84,85
4,1:45.0,D. Finney-Smith enters the game for D. Harris,,84,85
4,1:34.0,,R. Jackson makes 2-pt layup from 2 ft,84,87
4,1:34.0,Dallas full timeout,,84,87
4,1:34.0,,B. Brown enters the game for L. Kennard,84,87
4,1:29.0,H. Barnes misses 3-pt jump shot from 26 ft,,84,87
4,1:26.0,,Defensive rebound by A. Drummond,84,87
4,1:11.0,Violation by Team (kicked ball),,84,87
4,1:11.0,D. Harris enters the game for D. Finney-Smith,,84,87
4,1:06.0,,B. Griffin misses 2-pt layup from 4 ft (block by D. Powell),84,87
4,1:06.0,Defensive rebound by Team,,84,87
4,0:56.0,Personal foul by A. Drummond (drawn by H. Barnes),,84,87
4,0:56.0,H. Barnes makes free throw 1 of 2,,85,87
4,0:56.0,H. Barnes makes free throw 2 of 2,,86,87
4,0:34.0,,B. Griffin makes 2-pt hook shot from 9 ft,86,89
4,0:25.0,H. Barnes makes 2-pt layup from 2 ft,,88,89
4,0:25.0,,Detroit full timeout,88,89
4,0:25.0,,L. Galloway enters the game for B. Brown,88,89
4,0:25.0,,L. Kennard enters the game for A. Drummond,88,89
4,0:22.0,,Personal take foul by D. Powell (drawn by R. Jackson),88,89
4,0:21.0,,Personal take foul by D. Powell (drawn by R. Jackson),88,89
4,0:21.0,,R. Jackson makes free throw 1 of 2,88,90
4,0:21.0,R. Broekhoff enters the game for M. Kleber,,88,90
4,0:21.0,,B. Brown enters the game for L. Galloway,88,90
4,0:21.0,,A. Drummond enters the game for L. Kennard,88,90
4,0:21.0,,R. Jackson makes free throw 2 of 2,88,91
4,0:11.0,H. Barnes misses 3-pt jump shot from 27 ft,,88,91
4,0:06.0,Offensive rebound by D. Harris,,88,91
4,0:05.0,Personal take foul by B. Griffin (drawn by J. Brunson),,88,91
4,0:05.0,J. Brunson makes free throw 1 of 2,,89,91
4,0:05.0,M. Kleber enters the game for R. Broekhoff,,89,91
4,0:05.0,,Z. Pachulia enters the game for R. Jackson,89,91
4,0:05.0,J. Brunson misses free throw 2 of 2,,89,91
4,0:03.0,,Defensive rebound by A. Drummond,89,91
4,0:03.0,,Personal take foul by J. Brunson (drawn by A. Drummond),89,91
4,0:03.0,,A. Drummond makes free throw 1 of 2,89,92
4,0:03.0,,A. Drummond makes free throw 2 of 2,89,93
4,0:03.0,,R. Jackson enters the game for Z. Pachulia,89,93
4,0:01.0,Turnover by D. Harris (bad pass; steal by B. Griffin),,89,93
