QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
4,8:57.0,,P. Patterson enters the game for N. Noel,80,105
4,8:49.0,,Shooting foul by D. Ayton (drawn by J. Grant),80,105
4,8:49.0,,J. Grant misses free throw 1 of 2,80,105
4,8:49.0,,Offensive rebound by Team,80,105
4,8:49.0,,J. Grant makes free throw 2 of 2,80,106
4,8:34.0,D. Ayton makes 2-pt hook shot from 8 ft (assist by E. Okobo),,82,106
4,8:20.0,,T. Ferguson makes 2-pt dunk at rim (assist by D. Schröder),82,108
4,8:03.0,E. Okobo makes 3-pt jump shot from 24 ft (assist by D. Ayton),,85,108
4,7:46.0,,J. Grant misses 2-pt dunk from 2 ft,85,108
4,7:44.0,Defensive rebound by J. Jackson,,85,108
4,7:31.0,D. Ayton makes 2-pt jump shot from 11 ft,,87,108
4,7:11.0,,D. Schröder misses 2-pt layup from 2 ft,87,108
4,7:11.0,,Offensive rebound by Team,87,108
4,7:11.0,,R. Westbrook enters the game for T. Ferguson,87,108
4,7:07.0,,Shooting foul by M. Bridges (drawn by R. Westbrook),87,108
4,7:07.0,,R. Westbrook misses free throw 1 of 2,87,108
4,7:07.0,,Offensive rebound by Team,87,108
4,7:07.0,,R. Westbrook makes free throw 2 of 2,87,109
4,6:51.0,D. Ayton misses 2-pt jump shot from 8 ft,,87,109
4,6:48.0,,Defensive rebound by R. Westbrook,87,109
4,6:46.0,,Personal foul by E. Okobo (drawn by R. Westbrook),87,109
4,6:34.0,,Personal foul by J. Jackson (drawn by Á. Abrines),87,109
4,6:34.0,T. Daniels enters the game for J. Jackson,,87,109
4,6:34.0,,Á. Abrines makes free throw 1 of 2,87,110
4,6:34.0,,Á. Abrines makes free throw 2 of 2,87,111
4,6:21.0,M. Bridges misses 3-pt jump shot from 23 ft,,87,111
4,6:19.0,,Defensive rebound by Á. Abrines,87,111
4,6:14.0,,Á. Abrines misses 2-pt layup from 1 ft,87,111
4,6:12.0,Defensive rebound by T. Daniels,,87,111
4,6:01.0,D. Ayton misses 2-pt jump shot from 9 ft,,87,111
4,5:59.0,,Defensive rebound by R. Westbrook,87,111
4,5:43.0,,D. Schröder misses 3-pt jump shot from 26 ft,87,111
4,5:40.0,Defensive rebound by R. Anderson,,87,111
4,5:22.0,D. Ayton misses 2-pt jump shot from 14 ft,,87,111
4,5:22.0,Offensive rebound by Team,,87,111
4,5:22.0,,Loose ball foul by D. Schröder (drawn by R. Anderson),87,111
4,5:11.0,D. Ayton makes 2-pt layup from 1 ft (assist by E. Okobo),,89,111
4,4:48.0,,R. Westbrook makes 2-pt jump shot from 20 ft,89,113
4,4:30.0,E. Okobo makes 3-pt jump shot from 24 ft,,92,113
4,4:18.0,,R. Westbrook misses 2-pt jump shot from 5 ft,92,113
4,4:13.0,Defensive rebound by R. Anderson,,92,113
4,3:58.0,E. Okobo makes 3-pt jump shot from 27 ft (assist by T. Daniels),,95,113
4,3:57.0,,Oklahoma City full timeout,95,113
4,3:57.0,R. Holmes enters the game for R. Anderson,,95,113
4,3:57.0,T. Warren enters the game for D. Ayton,,95,113
4,3:57.0,,T. Ferguson enters the game for R. Westbrook,95,113
4,3:46.0,,J. Grant misses 3-pt jump shot from 26 ft,95,113
4,3:42.0,Defensive rebound by T. Warren,,95,113
4,3:29.0,Offensive foul by R. Holmes (drawn by Á. Abrines),,95,113
4,3:29.0,Turnover by R. Holmes (offensive foul),,95,113
4,3:15.0,,P. Patterson misses 3-pt jump shot from 26 ft,95,113
4,3:12.0,Defensive rebound by R. Holmes,,95,113
4,3:04.0,M. Bridges makes 2-pt layup from 2 ft (assist by E. Okobo),,97,113
4,2:49.0,,Á. Abrines misses 2-pt jump shot from 19 ft,97,113
4,2:47.0,Defensive rebound by E. Okobo,,97,113
4,2:42.0,T. Warren misses 3-pt jump shot from 24 ft,,97,113
4,2:39.0,Offensive rebound by R. Holmes,,97,113
4,2:37.0,T. Warren makes 2-pt dunk from 1 ft (assist by R. Holmes),,99,113
4,2:37.0,,Oklahoma City full timeout,99,113
4,2:24.0,,Turnover by J. Grant (traveling),99,113
4,2:10.0,E. Okobo misses 3-pt jump shot from 25 ft,,99,113
4,2:08.0,,Defensive rebound by Team,99,113
4,1:57.0,,Shooting foul by E. Okobo (drawn by D. Schröder),99,113
4,1:57.0,,D. Schröder makes free throw 1 of 2,99,114
4,1:57.0,,A. Nader enters the game for J. Grant,99,114
4,1:57.0,,D. Schröder makes free throw 2 of 2,99,115
4,1:45.0,E. Okobo makes 2-pt layup at rim (assist by R. Holmes),,101,115
4,1:31.0,,Shooting foul by R. Holmes (drawn by D. Schröder),101,115
4,1:31.0,,D. Schröder misses free throw 1 of 2,101,115
4,1:31.0,,Offensive rebound by Team,101,115
4,1:31.0,,D. Burton enters the game for Á. Abrines,101,115
4,1:31.0,,D. Schröder misses free throw 2 of 2,101,115
4,1:29.0,Defensive rebound by T. Warren,,101,115
4,1:15.0,Shooting foul by P. Patterson (drawn by R. Holmes),,101,115
4,1:15.0,R. Holmes makes free throw 1 of 2,,102,115
4,1:15.0,R. Holmes makes free throw 2 of 2,,103,115
4,1:05.0,,D. Burton misses 2-pt jump shot from 6 ft,103,115
4,1:03.0,,Offensive rebound by P. Patterson,103,115
4,1:03.0,,P. Patterson makes 2-pt layup from 1 ft,103,117
4,1:00.0,Personal foul by A. Nader (drawn by E. Okobo),,103,117
4,1:00.0,E. Okobo makes free throw 1 of 2,,104,117
4,1:00.0,,T. Luwawu-Cabarrot enters the game for D. Schröder,104,117
4,1:00.0,E. Okobo makes free throw 2 of 2,,105,117
4,0:49.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,105,117
4,0:45.0,Defensive rebound by E. Okobo,,105,117
4,0:39.0,T. Daniels makes 3-pt jump shot from 26 ft,,108,117
4,0:18.0,,Turnover by T. Ferguson (bad pass; steal by T. Daniels),108,117
4,0:14.0,T. Warren misses 2-pt layup from 4 ft,,108,117
4,0:11.0,Offensive rebound by T. Warren,,108,117
4,0:10.0,T. Warren misses 2-pt layup from 3 ft,,108,117
4,0:09.0,Offensive rebound by T. Warren,,108,117
4,0:09.0,T. Warren makes 2-pt layup from 2 ft,,110,117
