QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
4,5:01.0,,M. Wagner makes 2-pt layup from 3 ft (assist by L. Stephenson),83,114
4,4:43.0,E. Okobo misses 2-pt jump shot from 17 ft,,83,114
4,4:38.0,Offensive rebound by M. Bridges,,83,114
4,4:29.0,M. Bridges misses 3-pt jump shot from 23 ft,,83,114
4,4:23.0,Offensive rebound by D. Bender,,83,114
4,4:23.0,D. Bender makes 2-pt layup from 1 ft,,85,114
4,4:09.0,,M. Beasley misses 2-pt jump shot from 13 ft,85,114
4,4:07.0,Defensive rebound by D. Bender,,85,114
4,3:56.0,T. Daniels misses 3-pt jump shot from 26 ft,,85,114
4,3:54.0,,Defensive rebound by L. Stephenson,85,114
4,3:53.0,,Turnover by L. Stephenson (bad pass),85,114
4,3:37.0,R. Holmes makes 2-pt layup from 1 ft (assist by D. Bender),,87,114
4,3:37.0,Shooting foul by M. Wagner (drawn by R. Holmes),,87,114
4,3:37.0,,LA Lakers full timeout,87,114
4,3:37.0,D. Melton enters the game for E. Okobo,,87,114
4,3:37.0,,I. Zubac enters the game for M. Beasley,87,114
4,3:37.0,R. Holmes makes free throw 1 of 1,,88,114
4,3:25.0,,M. Wagner makes 3-pt jump shot from 28 ft (assist by S. Mykhailiuk),88,117
4,3:08.0,D. Bender misses 3-pt jump shot from 22 ft,,88,117
4,3:07.0,,Defensive rebound by L. Stephenson,88,117
4,2:56.0,,S. Mykhailiuk misses 3-pt jump shot from 28 ft,88,117
4,2:53.0,Defensive rebound by R. Holmes,,88,117
4,2:42.0,D. Melton misses 3-pt jump shot from 28 ft,,88,117
4,2:39.0,,Defensive rebound by M. Wagner,88,117
4,2:32.0,,M. Wagner makes 3-pt jump shot from 27 ft (assist by L. Stephenson),88,120
4,2:19.0,Personal foul by M. Wagner (drawn by D. Bender),,88,120
4,2:08.0,R. Holmes makes 2-pt jump shot from 6 ft (assist by D. Melton),,90,120
4,1:59.0,,Turnover by S. Mykhailiuk (bad pass; steal by R. Holmes),90,120
4,1:52.0,Personal foul by M. Wagner (drawn by R. Holmes),,90,120
4,1:45.0,Turnover by R. Holmes (offensive foul),,90,120
4,1:45.0,Offensive foul by R. Holmes (drawn by K. Caldwell-Pope),,90,120
4,1:28.0,,Turnover by M. Wagner (bad pass; steal by M. Bridges),90,120
4,1:27.0,Shooting foul by M. Wagner (drawn by M. Bridges),,90,120
4,1:27.0,M. Bridges makes free throw 1 of 2,,91,120
4,1:27.0,M. Bridges misses free throw 2 of 2,,91,120
4,1:24.0,,Defensive rebound by M. Wagner,91,120
4,1:18.0,,Turnover by L. Stephenson (traveling),91,120
4,1:07.0,R. Holmes makes 2-pt layup from 2 ft (assist by D. Melton),,93,120
4,0:53.0,,M. Wagner misses 2-pt hook shot from 9 ft (block by R. Holmes),93,120
4,0:48.0,Defensive rebound by D. Melton,,93,120
4,0:37.0,D. Bender makes 3-pt jump shot from 27 ft (assist by D. Melton),,96,120
4,0:11.0,,L. Stephenson misses 3-pt jump shot from 28 ft,96,120
4,0:09.0,Defensive rebound by D. Melton,,96,120
4,0:05.0,D. Melton misses 3-pt jump shot from 29 ft,,96,120
4,0:03.0,,Defensive rebound by I. Zubac,96,120
