QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
4,4:21.0,,L. Dončić makes 2-pt layup from 1 ft,106,93
4,4:21.0,Violation by Team (def goaltending),,106,93
4,4:05.0,Turnover by D. Mitchell (lost ball; steal by W. Matthews),,106,93
4,4:04.0,,Personal foul by R. Rubio (drawn by D. Jordan),106,93
4,4:04.0,,D. Jordan makes free throw 1 of 2,106,94
4,4:04.0,,D. Jordan makes free throw 2 of 2,106,95
4,3:52.0,Turnover by R. Gobert (lost ball; steal by L. Dončić),,106,95
4,3:48.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Dončić),106,98
4,3:47.0,Utah full timeout,,106,98
4,3:32.0,J. Ingles misses 2-pt layup from 2 ft,,106,98
4,3:30.0,,Defensive rebound by D. Jordan,106,98
4,3:28.0,,Turnover by D. Smith (traveling),106,98
4,3:12.0,R. Gobert misses 2-pt dunk from 1 ft,,106,98
4,3:10.0,,Defensive rebound by D. Jordan,106,98
4,3:07.0,,D. Smith misses 2-pt layup from 1 ft,106,98
4,3:05.0,Defensive rebound by J. Ingles,,106,98
4,2:51.0,Shooting foul by D. Jordan (drawn by R. Gobert),,106,98
4,2:51.0,R. Gobert makes free throw 1 of 2,,107,98
4,2:51.0,R. Gobert makes free throw 2 of 2,,108,98
4,2:40.0,,D. Smith makes 3-pt jump shot from 23 ft (assist by H. Barnes),108,101
4,2:23.0,J. Ingles misses 2-pt layup from 3 ft,,108,101
4,2:23.0,Offensive rebound by R. Gobert,,108,101
4,2:23.0,Shooting foul by D. Smith (drawn by R. Gobert),,108,101
4,2:23.0,R. Gobert makes free throw 1 of 2,,109,101
4,2:23.0,R. Gobert makes free throw 2 of 2,,110,101
4,2:08.0,,W. Matthews misses 2-pt layup from 1 ft,110,101
4,2:07.0,Defensive rebound by R. Gobert,,110,101
4,1:55.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),,113,101
4,1:55.0,,Dallas full timeout,113,101
4,1:45.0,,Personal foul by J. Crowder (drawn by H. Barnes),113,101
4,1:45.0,,H. Barnes misses free throw 1 of 2,113,101
4,1:45.0,,Offensive rebound by Team,113,101
4,1:45.0,,H. Barnes makes free throw 2 of 2,113,102
4,1:27.0,J. Crowder misses 3-pt jump shot from 25 ft,,113,102
4,1:24.0,,Defensive rebound by W. Matthews,113,102
4,1:21.0,,D. Smith misses 2-pt layup from 7 ft (block by R. Gobert),113,102
4,1:20.0,Defensive rebound by Team,,113,102
4,1:02.0,D. Mitchell misses 2-pt jump shot from 9 ft,,113,102
4,1:00.0,,Defensive rebound by W. Matthews,113,102
4,0:56.0,,L. Dončić misses 2-pt layup from 2 ft,113,102
4,0:54.0,Defensive rebound by J. Ingles,,113,102
4,0:37.0,J. Crowder misses 3-pt jump shot from 25 ft,,113,102
4,0:34.0,,Defensive rebound by L. Dončić,113,102
4,0:27.0,,W. Matthews misses 3-pt jump shot from 26 ft,113,102
4,0:25.0,,Offensive rebound by D. Jordan,113,102
4,0:22.0,,H. Barnes misses 3-pt jump shot from 25 ft,113,102
4,0:21.0,,Offensive rebound by D. Jordan,113,102
4,0:21.0,,D. Jordan makes 2-pt dunk from 1 ft,113,104
4,0:21.0,Utah full timeout,,113,104
