QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
4,5:24.0,D. Russell enters the game for T. Pinson,,79,87
4,5:06.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),79,89
4,5:06.0,Brooklyn full timeout,,79,89
4,5:06.0,D. Carroll enters the game for T. Graham,,79,89
4,4:57.0,Personal foul by D. Augustin (drawn by S. Napier),,79,89
4,4:43.0,J. Harris makes 2-pt jump shot from 11 ft (assist by D. Russell),,81,89
4,4:22.0,,N. Vučević misses 2-pt jump shot from 17 ft,81,89
4,4:19.0,Defensive rebound by J. Allen,,81,89
4,4:05.0,S. Napier makes 2-pt jump shot from 16 ft,,83,89
4,3:44.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),83,92
4,3:31.0,Brooklyn full timeout,,83,92
4,3:31.0,,A. Gordon enters the game for J. Isaac,83,92
4,3:23.0,J. Harris misses 3-pt jump shot from 26 ft,,83,92
4,3:21.0,,Defensive rebound by N. Vučević,83,92
4,3:08.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by D. Augustin),83,94
4,2:51.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Harris),,86,94
4,2:28.0,,N. Vučević makes 2-pt jump shot from 8 ft (assist by D. Augustin),86,96
4,2:20.0,D. Russell misses 3-pt jump shot from 27 ft,,86,96
4,2:16.0,,Defensive rebound by D. Augustin,86,96
4,2:08.0,,D. Augustin makes 2-pt layup from 3 ft,86,98
4,1:53.0,S. Napier misses 3-pt jump shot from 28 ft,,86,98
4,1:50.0,,Defensive rebound by N. Vučević,86,98
4,1:39.0,,D. Augustin misses 2-pt layup from 3 ft,86,98
4,1:38.0,Defensive rebound by D. Carroll,,86,98
4,1:38.0,Personal take foul by E. Fournier (drawn by D. Carroll),,86,98
4,1:38.0,Brooklyn full timeout,,86,98
4,1:38.0,M. Creek enters the game for J. Allen,,86,98
4,1:38.0,R. Kurucs enters the game for D. Carroll,,86,98
4,1:38.0,T. Pinson enters the game for J. Harris,,86,98
4,1:38.0,A. Williams enters the game for D. Russell,,86,98
4,1:29.0,T. Pinson makes 3-pt jump shot from 27 ft (assist by S. Napier),,89,98
4,1:13.0,,Turnover by N. Vučević (traveling),89,98
4,1:02.0,S. Napier misses 3-pt jump shot from 26 ft,,89,98
4,1:00.0,,Defensive rebound by N. Vučević,89,98
4,0:45.0,,T. Ross makes 2-pt jump shot from 12 ft (assist by N. Vučević),89,100
4,0:41.0,Turnover by T. Pinson (bad pass),,89,100
4,0:18.0,,D. Augustin misses 3-pt jump shot from 27 ft,89,100
4,0:17.0,,Offensive rebound by N. Vučević,89,100
4,0:16.0,,N. Vučević makes 2-pt layup from 2 ft,89,102
4,0:12.0,R. Kurucs misses 2-pt layup from 6 ft (block by A. Gordon),,89,102
4,0:12.0,Offensive rebound by Team,,89,102
4,0:07.0,A. Williams misses 3-pt jump shot from 26 ft,,89,102
4,0:03.0,,Defensive rebound by N. Vučević,89,102
