QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
4,4:51.0,,J. Jackson makes free throw 2 of 2,78,81
4,4:36.0,Turnover by E. Turner (bad pass),,78,81
4,4:22.0,,M. Conley misses 2-pt jump shot from 11 ft,78,81
4,4:19.0,Defensive rebound by E. Turner,,78,81
4,4:12.0,D. Lillard misses 3-pt jump shot from 26 ft,,78,81
4,4:10.0,Offensive rebound by Team,,78,81
4,4:10.0,,Loose ball foul by K. Anderson (drawn by J. Nurkić),78,81
4,3:59.0,C. McCollum misses 2-pt jump shot from 12 ft,,78,81
4,3:56.0,,Defensive rebound by K. Anderson,78,81
4,3:45.0,,M. Conley makes 2-pt jump shot from 9 ft (assist by M. Gasol),78,83
4,3:45.0,,Shooting foul by C. McCollum (drawn by M. Conley),78,83
4,3:45.0,,M. Conley makes free throw 1 of 1,78,84
4,3:30.0,J. Nurkić misses 2-pt jump shot from 10 ft,,78,84
4,3:28.0,,Defensive rebound by J. Jackson,78,84
4,3:11.0,,M. Conley makes 3-pt jump shot from 26 ft,78,87
4,3:10.0,Portland full timeout,,78,87
4,3:10.0,,Memphis full timeout,78,87
4,3:01.0,D. Lillard misses 2-pt jump shot from 16 ft,,78,87
4,2:59.0,,Defensive rebound by M. Gasol,78,87
4,2:38.0,,J. Jackson makes 3-pt jump shot from 27 ft (assist by M. Gasol),78,90
4,2:23.0,C. McCollum misses 2-pt jump shot from 13 ft,,78,90
4,2:21.0,,Defensive rebound by K. Anderson,78,90
4,2:01.0,,K. Anderson misses 2-pt hook shot from 4 ft,78,90
4,1:57.0,Defensive rebound by C. McCollum,,78,90
4,1:52.0,C. McCollum misses 2-pt layup from 2 ft (block by M. Gasol),,78,90
4,1:52.0,Offensive rebound by Team,,78,90
4,1:49.0,J. Nurkić misses 2-pt hook shot from 3 ft (block by M. Gasol),,78,90
4,1:44.0,Offensive rebound by J. Nurkić,,78,90
4,1:44.0,J. Nurkić misses 2-pt jump shot from 12 ft,,78,90
4,1:41.0,,Defensive rebound by J. Jackson,78,90
4,1:24.0,,M. Conley makes 2-pt jump shot from 21 ft,78,92
4,1:24.0,Portland full timeout,,78,92
4,1:24.0,M. Leonard enters the game for J. Nurkić,,78,92
4,1:20.0,C. McCollum makes 2-pt jump shot from 3 ft,,80,92
4,1:20.0,Shooting foul by G. Temple (drawn by C. McCollum),,80,92
4,1:20.0,J. Nurkić enters the game for M. Leonard,,80,92
4,1:20.0,C. McCollum makes free throw 1 of 1,,81,92
4,0:59.0,,G. Temple misses 2-pt jump shot from 19 ft,81,92
4,0:58.0,Defensive rebound by J. Nurkić,,81,92
4,0:51.0,J. Nurkić misses 2-pt dunk from 2 ft,,81,92
4,0:47.0,,Defensive rebound by K. Anderson,81,92
4,0:30.0,,M. Gasol misses 3-pt jump shot from 26 ft,81,92
4,0:27.0,Defensive rebound by C. McCollum,,81,92
4,0:22.0,C. McCollum makes 2-pt jump shot from 12 ft,,83,92
