QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
4,1:05.0,,Washington full timeout,98,97
4,1:05.0,,T. Bryant enters the game for S. Dekker,98,97
4,0:50.0,,T. Ariza makes 2-pt layup from 2 ft (assist by C. Randle),98,99
4,0:33.0,N. Vonleh makes 2-pt hook shot from 3 ft,,100,99
4,0:29.0,,B. Beal misses 3-pt jump shot from 29 ft,100,99
4,0:26.0,Defensive rebound by E. Mudiay,,100,99
4,0:03.0,K. Knox misses 3-pt jump shot from 26 ft,,100,99
4,0:03.0,Offensive rebound by Team,,100,99
4,0:03.0,Turnover by Team (shot clock),,100,99
4,0:03.0,,Washington full timeout,100,99
4,0:00.0,,T. Bryant makes 2-pt layup from 6 ft (assist by B. Beal),100,101
4,0:00.0,Violation by Team (def goaltending),,100,101
4,0:00.0,New York full timeout,,100,101
4,0:00.0,M. Robinson enters the game for N. Vonleh,,100,101
4,0:00.0,,J. Green enters the game for T. Bryant,100,101
4,0:00.0,,I. Mahinmi enters the game for C. Randle,100,101
4,0:00.0,E. Mudiay misses 2-pt jump shot from 20 ft,,100,101
4,0:00.0,Offensive rebound by Team,,100,101
