QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
4,2:11.0,,L. James makes 3-pt jump shot from 27 ft,109,126
4,1:41.0,Turnover by K. Walker (lost ball; steal by R. Rondo),,109,126
4,1:19.0,,L. James makes 3-pt jump shot from 27 ft,109,129
4,1:10.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by D. Graham),,112,129
4,1:05.0,,Personal take foul by K. Walker (drawn by R. Rondo),112,129
4,1:05.0,W. Hernangómez enters the game for K. Walker,,112,129
4,1:05.0,M. Monk enters the game for M. Williams,,112,129
4,1:05.0,,I. Bonga enters the game for K. Caldwell-Pope,112,129
4,1:05.0,,A. Caruso enters the game for L. James,112,129
4,1:05.0,,S. Machado enters the game for J. McGee,112,129
4,1:05.0,,M. Wagner enters the game for R. Rondo,112,129
4,1:05.0,,J. Williams enters the game for L. Stephenson,112,129
4,0:53.0,,I. Bonga misses 2-pt hook shot from 4 ft,112,129
4,0:51.0,Defensive rebound by W. Hernangómez,,112,129
4,0:40.0,D. Bacon makes 3-pt jump shot from 27 ft (assist by W. Hernangómez),,115,129
4,0:25.0,,A. Caruso misses 3-pt jump shot from 27 ft,115,129
4,0:20.0,Defensive rebound by M. Bridges,,115,129
4,0:09.0,W. Hernangómez misses 3-pt jump shot from 26 ft,,115,129
4,0:07.0,,Defensive rebound by J. Williams,115,129
