QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
4,4:23.0,J. Brown makes free throw 1 of 2,,103,128
4,4:23.0,R. Williams enters the game for A. Baynes,,103,128
4,4:23.0,,W. Chandler enters the game for P. Beverley,103,128
4,4:23.0,,S. Thornwell enters the game for J. Green,103,128
4,4:23.0,,I. Zubac enters the game for M. Harrell,103,128
4,4:23.0,J. Brown misses free throw 2 of 2,,103,128
4,4:21.0,,Defensive rebound by W. Chandler,103,128
4,4:16.0,,Shooting foul by R. Williams (drawn by G. Temple),103,128
4,4:16.0,,G. Temple misses free throw 1 of 2,103,128
4,4:16.0,,Offensive rebound by Team,103,128
4,4:16.0,S. Ojeleye enters the game for J. Brown,,103,128
4,4:16.0,,G. Temple makes free throw 2 of 2,103,129
4,4:00.0,G. Yabusele misses 3-pt jump shot from 27 ft,,103,129
4,3:57.0,Offensive rebound by R. Williams,,103,129
4,3:51.0,B. Wanamaker misses 2-pt jump shot from 5 ft,,103,129
4,3:47.0,,Defensive rebound by S. Gilgeous-Alexander,103,129
4,3:43.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,103,131
4,3:30.0,T. Rozier misses 2-pt jump shot from 6 ft,,103,131
4,3:29.0,Offensive rebound by T. Rozier,,103,131
4,3:28.0,Shooting foul by I. Zubac (drawn by G. Yabusele),,103,131
4,3:28.0,G. Yabusele misses free throw 1 of 2,,103,131
4,3:28.0,Offensive rebound by Team,,103,131
4,3:28.0,,T. Wallace enters the game for S. Gilgeous-Alexander,103,131
4,3:28.0,G. Yabusele makes free throw 2 of 2,,104,131
4,3:12.0,,W. Chandler misses 3-pt jump shot from 26 ft,104,131
4,3:09.0,Defensive rebound by B. Wanamaker,,104,131
4,2:59.0,G. Yabusele misses 2-pt layup from 3 ft,,104,131
4,2:56.0,,Defensive rebound by S. Thornwell,104,131
4,2:50.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by W. Chandler),104,133
4,2:43.0,Personal foul by T. Wallace (drawn by B. Wanamaker),,104,133
4,2:43.0,Boston full timeout,,104,133
4,2:43.0,B. Wanamaker makes free throw 1 of 2,,105,133
4,2:43.0,B. Wanamaker makes free throw 2 of 2,,106,133
4,2:20.0,,S. Thornwell makes 3-pt jump shot from 26 ft (assist by G. Temple),106,136
4,2:05.0,Shooting foul by I. Zubac (drawn by R. Williams),,106,136
4,2:05.0,R. Williams makes free throw 1 of 2,,107,136
4,2:05.0,R. Williams misses free throw 2 of 2,,107,136
4,2:02.0,,Defensive rebound by I. Zubac,107,136
4,1:55.0,,T. Wallace misses 2-pt layup from 1 ft (block by R. Williams),107,136
4,1:52.0,Defensive rebound by R. Williams,,107,136
4,1:49.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,107,136
4,1:44.0,,Defensive rebound by T. Wallace,107,136
4,1:23.0,,G. Temple misses 3-pt jump shot from 26 ft,107,136
4,1:23.0,Defensive rebound by Team,,107,136
4,1:13.0,T. Rozier makes 2-pt jump shot from 21 ft (assist by B. Wanamaker),,109,136
4,1:00.0,,W. Chandler makes 2-pt jump shot from 17 ft,109,138
4,0:54.0,S. Ojeleye misses 3-pt jump shot from 29 ft,,109,138
4,0:52.0,,Defensive rebound by T. Wallace,109,138
4,0:40.0,,G. Temple misses 3-pt jump shot from 26 ft,109,138
4,0:38.0,Defensive rebound by G. Yabusele,,109,138
4,0:32.0,T. Rozier makes 3-pt jump shot from 25 ft,,112,138
4,0:16.0,,Shooting foul by B. Wanamaker (drawn by S. Thornwell),112,138
4,0:16.0,,S. Thornwell makes free throw 1 of 3,112,139
4,0:16.0,,S. Thornwell makes free throw 2 of 3,112,140
4,0:16.0,,S. Thornwell misses free throw 3 of 3,112,140
4,0:13.0,Defensive rebound by S. Ojeleye,,112,140
4,0:00.0,T. Rozier makes 3-pt jump shot from 27 ft,,115,140
