QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
4,8:35.0,,Defensive rebound by J. Winslow,90,85
4,8:30.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),90,88
4,8:01.0,K. Towns makes 2-pt hook shot from 7 ft,,92,88
4,7:46.0,,J. Winslow misses 2-pt layup from 7 ft (block by K. Towns),92,88
4,7:44.0,Defensive rebound by J. Okogie,,92,88
4,7:37.0,J. Bayless misses 2-pt jump shot from 6 ft,,92,88
4,7:37.0,,Defensive rebound by Team,92,88
4,7:37.0,T. Jones enters the game for J. Bayless,,92,88
4,7:26.0,,K. Olynyk misses 3-pt jump shot from 25 ft,92,88
4,7:23.0,Defensive rebound by T. Jones,,92,88
4,7:10.0,K. Towns makes 2-pt layup from 2 ft,,94,88
4,7:10.0,Shooting foul by B. Adebayo (drawn by K. Towns),,94,88
4,7:10.0,K. Towns makes free throw 1 of 1,,95,88
4,7:05.0,,Miami full timeout,95,88
4,6:54.0,,B. Adebayo makes 2-pt dunk at rim (assist by T. Johnson),95,90
4,6:31.0,J. Okogie makes 2-pt layup from 2 ft (assist by D. Šarić),,97,90
4,6:10.0,,Turnover by T. Johnson (bad pass; steal by T. Jones),97,90
4,6:08.0,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),,99,90
4,6:08.0,Shooting foul by T. Johnson (drawn by D. Šarić),,99,90
4,6:08.0,,D. Jones enters the game for B. Adebayo,99,90
4,6:08.0,,J. Richardson enters the game for K. Olynyk,99,90
4,6:08.0,,H. Whiteside enters the game for D. Wade,99,90
4,6:08.0,D. Šarić makes free throw 1 of 1,,100,90
4,5:56.0,,J. Winslow misses 2-pt layup from 2 ft (block by J. Okogie),100,90
4,5:56.0,,Offensive rebound by Team,100,90
4,5:50.0,,D. Jones makes 2-pt dunk from 1 ft (assist by J. Richardson),100,92
4,5:30.0,K. Towns misses 2-pt layup from 3 ft (block by H. Whiteside),,100,92
4,5:28.0,,Defensive rebound by J. Winslow,100,92
4,5:22.0,,H. Whiteside misses 2-pt layup from 2 ft (block by D. Šarić),100,92
4,5:20.0,,Offensive rebound by Team,100,92
4,5:18.0,,J. Winslow misses 3-pt jump shot from 26 ft,100,92
4,5:18.0,Defensive rebound by K. Towns,,100,92
4,4:54.0,Turnover by D. Šarić (lost ball; steal by D. Jones),,100,92
4,4:44.0,,Turnover by J. Winslow (lost ball; steal by K. Towns),100,92
4,4:39.0,J. Okogie misses 3-pt jump shot from 24 ft,,100,92
4,4:37.0,,Defensive rebound by H. Whiteside,100,92
4,4:37.0,,Personal foul by R. Covington (drawn by H. Whiteside),100,92
4,4:37.0,T. Gibson enters the game for J. Okogie,,100,92
4,4:37.0,A. Wiggins enters the game for D. Šarić,,100,92
4,4:22.0,,J. Winslow misses 3-pt jump shot from 24 ft,100,92
4,4:19.0,Defensive rebound by R. Covington,,100,92
4,4:06.0,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Jones),,103,92
4,4:05.0,,Miami full timeout,103,92
4,4:05.0,,D. Wade enters the game for J. Winslow,103,92
4,3:52.0,,J. Richardson misses 2-pt jump shot from 9 ft,103,92
4,3:50.0,Defensive rebound by T. Gibson,,103,92
4,3:39.0,T. Jones makes 2-pt jump shot from 13 ft,,105,92
4,3:29.0,,T. Johnson misses 2-pt jump shot from 7 ft (block by K. Towns),105,92
4,3:29.0,,Offensive rebound by Team,105,92
4,3:25.0,,J. Richardson makes 2-pt layup from 4 ft (assist by D. Wade),105,94
4,3:11.0,Shooting foul by H. Whiteside (drawn by K. Towns),,105,94
4,3:11.0,K. Towns makes free throw 1 of 2,,106,94
4,3:11.0,K. Towns makes free throw 2 of 2,,107,94
4,2:58.0,,D. Wade misses 2-pt jump shot from 17 ft,107,94
4,2:56.0,Defensive rebound by T. Jones,,107,94
4,2:41.0,T. Jones misses 2-pt jump shot from 12 ft,,107,94
4,2:41.0,,Defensive rebound by Team,107,94
4,2:41.0,Loose ball foul by K. Towns (drawn by H. Whiteside),,107,94
4,2:30.0,,Turnover by H. Whiteside (offensive foul),107,94
4,2:30.0,,Offensive foul by H. Whiteside (drawn by R. Covington),107,94
4,2:14.0,K. Towns misses 3-pt jump shot from 26 ft,,107,94
4,2:11.0,,Defensive rebound by J. Richardson,107,94
4,2:07.0,,Personal foul by K. Towns (drawn by H. Whiteside),107,94
4,2:07.0,,K. Olynyk enters the game for D. Jones,107,94
4,2:01.0,,Shooting foul by R. Covington (drawn by J. Richardson),107,94
4,2:01.0,,J. Richardson makes free throw 1 of 2,107,95
4,2:01.0,,J. Richardson makes free throw 2 of 2,107,96
4,1:44.0,R. Covington misses 3-pt jump shot from 26 ft,,107,96
4,1:40.0,,Defensive rebound by H. Whiteside,107,96
4,1:36.0,,D. Wade makes 2-pt dunk at rim,107,98
4,1:13.0,R. Covington makes 2-pt layup from 1 ft (assist by K. Towns),,109,98
4,1:04.0,,D. Wade makes 2-pt hook shot at rim,109,100
4,0:56.0,Minnesota full timeout,,109,100
4,0:56.0,,B. Adebayo enters the game for K. Olynyk,109,100
4,0:56.0,,D. Jones enters the game for H. Whiteside,109,100
4,0:40.0,Turnover by T. Gibson (bad pass; steal by J. Richardson),,109,100
4,0:36.0,,J. Richardson misses 3-pt jump shot from 27 ft (block by R. Covington),109,100
4,0:35.0,,Offensive rebound by B. Adebayo,109,100
4,0:33.0,,Shooting foul by K. Towns (drawn by B. Adebayo),109,100
4,0:33.0,D. Šarić enters the game for K. Towns,,109,100
4,0:33.0,,B. Adebayo makes free throw 1 of 2,109,101
4,0:33.0,,B. Adebayo makes free throw 2 of 2,109,102
4,0:24.0,T. Gibson makes 2-pt dunk from 2 ft (assist by A. Wiggins),,111,102
4,0:24.0,Shooting foul by J. Richardson (drawn by T. Gibson),,111,102
4,0:24.0,T. Gibson misses free throw 1 of 1,,111,102
4,0:22.0,,Defensive rebound by B. Adebayo,111,102
4,0:22.0,,Miami full timeout,111,102
4,0:22.0,J. Okogie enters the game for D. Šarić,,111,102
4,0:22.0,,K. Olynyk enters the game for B. Adebayo,111,102
4,0:17.0,,K. Olynyk makes 2-pt layup from 4 ft (assist by D. Wade),111,104
4,0:17.0,,Shooting foul by J. Okogie (drawn by K. Olynyk),111,104
4,0:17.0,D. Šarić enters the game for J. Okogie,,111,104
4,0:17.0,,K. Olynyk misses free throw 1 of 1,111,104
4,0:14.0,Defensive rebound by R. Covington,,111,104
4,0:13.0,Personal foul by D. Jones (drawn by R. Covington),,111,104
4,0:13.0,R. Covington makes free throw 1 of 2,,112,104
4,0:13.0,J. Okogie enters the game for D. Šarić,,112,104
4,0:13.0,R. Covington makes free throw 2 of 2,,113,104
4,0:05.0,,K. Olynyk misses 3-pt jump shot from 26 ft,113,104
4,0:01.0,Defensive rebound by T. Gibson,,113,104
