QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
4,2:13.0,,Defensive rebound by H. Ellenson,131,105
4,2:06.0,,J. Jenkins makes 3-pt jump shot from 26 ft (assist by H. Ellenson),131,108
4,1:56.0,Personal foul by D. Dotson (drawn by R. Neto),,131,108
4,1:46.0,G. Niang misses 3-pt jump shot from 24 ft,,131,108
4,1:44.0,,Defensive rebound by M. Robinson,131,108
4,1:34.0,,Turnover by K. Knox (lost ball; steal by E. Udoh),131,108
4,1:31.0,T. Sefolosha makes 2-pt layup from 1 ft (assist by E. Udoh),,133,108
4,1:20.0,,Turnover by K. Knox (lost ball; steal by T. Sefolosha),133,108
4,1:18.0,T. Sefolosha makes 2-pt layup from 1 ft,,135,108
4,1:02.0,,D. Dotson makes 2-pt jump shot from 19 ft,135,110
4,0:56.0,T. Sefolosha misses 2-pt layup from 1 ft,,135,110
4,0:54.0,,Defensive rebound by M. Robinson,135,110
4,0:49.0,,M. Robinson makes 2-pt layup from 1 ft (assist by H. Ellenson),135,112
4,0:49.0,,Shooting foul by G. Allen (drawn by M. Robinson),135,112
4,0:49.0,,M. Robinson makes free throw 1 of 1,135,113
4,0:37.0,E. Udoh makes 2-pt dunk from 1 ft (assist by R. Neto),,137,113
4,0:28.0,,D. Dotson makes 3-pt jump shot from 27 ft,137,116
4,0:10.0,R. Neto misses 3-pt jump shot from 23 ft,,137,116
4,0:09.0,,Defensive rebound by M. Robinson,137,116
4,0:00.0,,M. Robinson misses 2-pt jump shot from 16 ft,137,116
4,0:00.0,,Offensive rebound by Team,137,116
