QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
4,5:29.0,D. Schröder enters the game for T. Ferguson,,109,121
4,5:15.0,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,112,121
4,4:54.0,,D. Hamilton makes 3-pt jump shot from 23 ft (assist by O. Spellman),112,124
4,4:38.0,Personal foul by O. Spellman (drawn by J. Grant),,112,124
4,4:33.0,J. Grant misses 3-pt jump shot from 25 ft,,112,124
4,4:30.0,,Defensive rebound by K. Huerter,112,124
4,4:22.0,,D. Hamilton misses 3-pt jump shot from 24 ft,112,124
4,4:17.0,,Offensive rebound by A. Len,112,124
4,4:17.0,,A. Len makes 2-pt layup at rim,112,126
4,3:58.0,D. Schröder misses 3-pt jump shot from 26 ft,,112,126
4,3:56.0,Offensive rebound by R. Westbrook,,112,126
4,3:53.0,R. Westbrook makes 2-pt jump shot from 8 ft,,114,126
4,3:36.0,,A. Len misses 2-pt hook shot from 7 ft,114,126
4,3:31.0,Defensive rebound by D. Schröder,,114,126
4,3:31.0,Personal foul by J. Adams (drawn by J. Grant),,114,126
4,3:31.0,J. Grant makes free throw 1 of 2,,115,126
4,3:31.0,,D. Bembry enters the game for J. Adams,115,126
4,3:31.0,,J. Collins enters the game for D. Hamilton,115,126
4,3:31.0,,T. Young enters the game for O. Spellman,115,126
4,3:31.0,J. Grant makes free throw 2 of 2,,116,126
4,3:13.0,,Turnover by T. Young (bad pass; steal by J. Grant),116,126
4,3:11.0,Shooting foul by K. Huerter (drawn by R. Westbrook),,116,126
4,3:11.0,R. Westbrook misses free throw 1 of 2,,116,126
4,3:11.0,Offensive rebound by Team,,116,126
4,3:11.0,R. Westbrook makes free throw 2 of 2,,117,126
4,2:54.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by T. Young),117,129
4,2:47.0,P. George misses 3-pt jump shot from 25 ft,,117,129
4,2:46.0,Offensive rebound by Team,,117,129
4,2:46.0,Offensive foul by P. George (drawn by K. Huerter),,117,129
4,2:46.0,Turnover by P. George (offensive foul),,117,129
4,2:46.0,Violation by Team (delay of game),,117,129
4,2:38.0,,T. Young makes 3-pt jump shot from 28 ft,117,132
4,2:25.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,119,132
4,2:01.0,,Turnover by D. Bembry (bad pass; steal by R. Westbrook),119,132
4,1:58.0,Personal foul by D. Bembry (drawn by R. Westbrook),,119,132
4,1:58.0,R. Westbrook misses free throw 1 of 2,,119,132
4,1:58.0,Offensive rebound by Team,,119,132
4,1:58.0,R. Westbrook makes free throw 2 of 2,,120,132
4,1:38.0,,T. Young misses 2-pt jump shot from 16 ft,120,132
4,1:35.0,Defensive rebound by S. Adams,,120,132
4,1:31.0,P. George makes 3-pt jump shot from 26 ft,,123,132
4,1:31.0,,Atlanta full timeout,123,132
4,1:23.0,,Shooting foul by R. Westbrook (drawn by A. Len),123,132
4,1:23.0,,A. Len makes free throw 1 of 2,123,133
4,1:23.0,,A. Len makes free throw 2 of 2,123,134
4,1:20.0,Turnover by R. Westbrook (lost ball; steal by D. Bembry),,123,134
4,1:19.0,,D. Bembry makes 2-pt dunk from 1 ft,123,136
4,1:14.0,R. Westbrook makes 2-pt layup from 1 ft,,125,136
4,1:04.0,,Personal take foul by J. Grant (drawn by T. Young),125,136
4,1:04.0,,T. Young makes free throw 1 of 2,125,137
4,1:04.0,H. Diallo enters the game for S. Adams,,125,137
4,1:04.0,T. Ferguson enters the game for P. George,,125,137
4,1:04.0,A. Nader enters the game for D. Schröder,,125,137
4,1:04.0,P. Patterson enters the game for R. Westbrook,,125,137
4,1:04.0,,T. Young makes free throw 2 of 2,125,138
4,0:49.0,Turnover by T. Ferguson (bad pass; steal by D. Bembry),,125,138
4,0:45.0,,D. Bembry makes 2-pt dunk from 1 ft,125,140
4,0:37.0,Shooting foul by D. Bembry (drawn by H. Diallo),,125,140
4,0:37.0,T. Luwawu-Cabarrot enters the game for J. Grant,,125,140
4,0:37.0,,J. Adams enters the game for D. Bembry,125,140
4,0:37.0,,D. Hamilton enters the game for J. Collins,125,140
4,0:37.0,,O. Spellman enters the game for T. Young,125,140
4,0:37.0,H. Diallo misses free throw 1 of 2,,125,140
4,0:37.0,Offensive rebound by Team,,125,140
4,0:37.0,H. Diallo makes free throw 2 of 2,,126,140
4,0:25.0,,A. Len makes 2-pt dunk from 1 ft (assist by D. Hamilton),126,142
4,0:04.0,A. Nader misses 2-pt layup from 1 ft (block by A. Len),,126,142
4,0:03.0,Offensive rebound by Team,,126,142
4,0:02.0,A. Nader misses 2-pt layup from 11 ft,,126,142
4,0:02.0,,Defensive rebound by D. Hamilton,126,142
