QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
4,6:06.0,Turnover by M. Conley (lost ball; steal by K. Love),,94,94
4,6:06.0,,Personal take foul by I. Rabb (drawn by D. Nwaba),94,94
4,5:48.0,,K. Love makes 3-pt jump shot from 23 ft (assist by C. Sexton),94,97
4,5:32.0,C. Miles misses 2-pt layup from 1 ft,,94,97
4,5:27.0,,Defensive rebound by M. Dellavedova,94,97
4,5:26.0,,C. Sexton makes 2-pt dunk from 2 ft (assist by M. Dellavedova),94,99
4,5:23.0,Memphis full timeout,,94,99
4,5:23.0,J. Noah enters the game for C. Miles,,94,99
4,5:23.0,D. Wright enters the game for I. Rabb,,94,99
4,5:23.0,,C. Osman enters the game for K. Love,94,99
4,5:01.0,J. Noah makes 2-pt layup from 1 ft,,96,99
4,4:52.0,,Offensive foul by A. Žižić (drawn by M. Conley),96,99
4,4:52.0,,Turnover by A. Žižić (offensive foul),96,99
4,4:52.0,,L. Nance enters the game for D. Nwaba,96,99
4,4:33.0,D. Wright misses 2-pt layup from 1 ft,,96,99
4,4:32.0,Offensive rebound by J. Valančiūnas,,96,99
4,4:32.0,J. Valančiūnas makes 2-pt layup from 1 ft,,98,99
4,4:10.0,,Turnover by M. Dellavedova (bad pass; steal by M. Conley),98,99
4,4:05.0,A. Bradley misses 3-pt jump shot from 27 ft,,98,99
4,4:01.0,Offensive rebound by J. Noah,,98,99
4,3:52.0,M. Conley makes 2-pt jump shot from 9 ft,,100,99
4,3:34.0,,Cleveland full timeout,100,99
4,3:34.0,J. Holiday enters the game for M. Conley,,100,99
4,3:27.0,,L. Nance makes 2-pt hook shot from 17 ft,100,101
4,3:01.0,D. Wright misses 3-pt jump shot from 33 ft,,100,101
4,2:57.0,,Defensive rebound by M. Dellavedova,100,101
4,2:43.0,,C. Osman misses 2-pt jump shot from 20 ft,100,101
4,2:41.0,Defensive rebound by D. Wright,,100,101
4,2:25.0,J. Valančiūnas makes 3-pt jump shot from 23 ft (assist by J. Noah),,103,101
4,1:58.0,,C. Osman makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),103,104
4,1:46.0,D. Wright misses 2-pt layup from 2 ft,,103,104
4,1:42.0,,Defensive rebound by C. Sexton,103,104
4,1:41.0,,C. Osman makes 2-pt dunk from 2 ft (assist by C. Sexton),103,106
4,1:41.0,Memphis full timeout,,103,106
4,1:41.0,M. Conley enters the game for A. Bradley,,103,106
4,1:30.0,M. Conley misses 3-pt jump shot from 25 ft,,103,106
4,1:25.0,,Defensive rebound by A. Žižić,103,106
4,1:13.0,,C. Osman misses 3-pt jump shot from 26 ft,103,106
4,1:11.0,,Offensive rebound by L. Nance,103,106
4,1:00.0,,C. Sexton makes 3-pt jump shot from 25 ft,103,109
4,0:50.0,J. Valančiūnas makes 2-pt jump shot from 11 ft,,105,109
4,0:50.0,Shooting foul by A. Žižić (drawn by J. Valančiūnas),,105,109
4,0:50.0,A. Bradley enters the game for J. Holiday,,105,109
4,0:50.0,J. Valančiūnas misses free throw 1 of 1,,105,109
4,0:48.0,,Defensive rebound by A. Žižić,105,109
4,0:31.0,,M. Dellavedova misses 2-pt layup at rim (block by J. Valančiūnas),105,109
4,0:31.0,Defensive rebound by Team,,105,109
4,0:22.0,M. Conley misses 3-pt jump shot from 27 ft,,105,109
4,0:20.0,,Defensive rebound by C. Sexton,105,109
4,0:20.0,,Personal take foul by J. Valančiūnas (drawn by C. Sexton),105,109
4,0:17.0,,Personal foul by D. Wright (drawn by M. Dellavedova),105,109
4,0:17.0,,M. Dellavedova misses free throw 1 of 2,105,109
4,0:17.0,,Offensive rebound by Team,105,109
4,0:17.0,,M. Dellavedova makes free throw 2 of 2,105,110
4,0:17.0,Memphis full timeout,,105,110
4,0:17.0,C. Miles enters the game for A. Bradley,,105,110
4,0:12.0,J. Valančiūnas misses 2-pt layup from 7 ft,,105,110
4,0:11.0,Offensive rebound by J. Noah,,105,110
4,0:11.0,J. Noah misses 2-pt layup from 1 ft,,105,110
4,0:11.0,,Defensive rebound by L. Nance,105,110
4,0:11.0,,Personal take foul by J. Valančiūnas (drawn by L. Nance),105,110
4,0:11.0,,L. Nance misses free throw 1 of 2,105,110
4,0:11.0,,Offensive rebound by Team,105,110
4,0:11.0,J. Holiday enters the game for J. Noah,,105,110
4,0:11.0,,D. Nwaba enters the game for A. Žižić,105,110
4,0:11.0,,L. Nance misses free throw 2 of 2,105,110
4,0:08.0,Defensive rebound by J. Valančiūnas,,105,110
4,0:02.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. Wright),,107,110
4,0:01.0,,Personal take foul by J. Holiday (drawn by M. Dellavedova),107,110
4,0:01.0,,M. Dellavedova makes free throw 1 of 2,107,111
4,0:01.0,,M. Dellavedova makes free throw 2 of 2,107,112
