QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
2,4:53.0,,Personal foul by J. Murray (drawn by N. Vučević),48,45
2,4:37.0,,J. Simmons misses 3-pt jump shot from 26 ft,48,45
2,4:34.0,Defensive rebound by T. Craig,,48,45
2,4:28.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,50,45
2,4:19.0,,Personal foul by J. Hernangómez (drawn by J. Simmons),50,45
2,4:12.0,,N. Vučević makes 2-pt hook shot from 12 ft (assist by A. Gordon),50,47
2,4:04.0,,Violation by Team (kicked ball),50,47
2,3:53.0,N. Jokić misses 2-pt layup from 3 ft,,50,47
2,3:51.0,,Defensive rebound by N. Vučević,50,47
2,3:45.0,,N. Vučević makes 2-pt layup from 1 ft (assist by J. Grant),50,49
2,3:32.0,J. Murray makes 2-pt jump shot from 16 ft,,52,49
2,3:22.0,,Orlando full timeout,52,49
2,3:22.0,,D. Augustin enters the game for J. Grant,52,49
2,3:22.0,,J. Isaac enters the game for T. Ross,52,49
2,3:10.0,,Turnover by N. Vučević (lost ball; steal by J. Hernangómez),52,49
2,2:56.0,J. Murray misses 2-pt jump shot from 14 ft,,52,49
2,2:54.0,,Defensive rebound by N. Vučević,52,49
2,2:39.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Simmons),52,52
2,2:16.0,J. Murray misses 2-pt jump shot from 17 ft,,52,52
2,2:12.0,,Defensive rebound by J. Isaac,52,52
2,2:05.0,,A. Gordon makes 2-pt layup from 1 ft,52,54
2,1:52.0,P. Millsap makes 2-pt jump shot from 5 ft,,54,54
2,1:34.0,,Turnover by J. Isaac (bad pass; steal by T. Craig),54,54
2,1:34.0,Clear path foul by D. Augustin,,54,54
2,1:34.0,T. Craig misses clear path free throw 1 of 2,,54,54
2,1:34.0,Offensive rebound by Team,,54,54
2,1:34.0,T. Craig makes clear path free throw 2 of 2,,55,54
2,1:23.0,Personal foul by A. Gordon (drawn by P. Millsap),,55,54
2,1:23.0,P. Millsap misses free throw 1 of 2,,55,54
2,1:23.0,Offensive rebound by Team,,55,54
2,1:23.0,P. Millsap misses free throw 2 of 2,,55,54
2,1:20.0,,Defensive rebound by N. Vučević,55,54
2,1:04.0,,J. Isaac misses 3-pt jump shot from 23 ft,55,54
2,1:02.0,,Offensive rebound by N. Vučević,55,54
2,0:52.0,,A. Gordon misses 3-pt jump shot from 30 ft,55,54
2,0:50.0,Defensive rebound by T. Craig,,55,54
2,0:34.0,Turnover by T. Craig (3 sec),,55,54
2,0:34.0,,T. Ross enters the game for A. Gordon,55,54
2,0:14.0,,N. Vučević misses 2-pt jump shot from 12 ft,55,54
2,0:11.0,Defensive rebound by N. Jokić,,55,54
2,0:07.0,Personal foul by D. Augustin (drawn by N. Jokić),,55,54
2,0:07.0,N. Jokić misses free throw 1 of 2,,55,54
2,0:07.0,Offensive rebound by Team,,55,54
2,0:07.0,N. Jokić makes free throw 2 of 2,,56,54
2,0:03.0,,Personal take foul by J. Hernangómez (drawn by J. Simmons),56,54
2,0:03.0,M. Beasley enters the game for J. Hernangómez,,56,54
2,0:01.0,,T. Ross misses 3-pt jump shot from 28 ft,56,54
2,0:01.0,,Offensive rebound by Team,56,54
3,11:46.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,58,54
3,11:31.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by D. Augustin),58,57
3,11:15.0,Shooting foul by J. Simmons (drawn by J. Murray),,58,57
3,11:15.0,J. Murray makes free throw 1 of 2,,59,57
3,11:15.0,J. Murray misses free throw 2 of 2,,59,57
3,11:09.0,,Defensive rebound by N. Vučević,59,57
3,11:01.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),59,60
3,10:41.0,P. Millsap misses 2-pt jump shot from 8 ft,,59,60
3,10:38.0,,Defensive rebound by A. Gordon,59,60
3,10:25.0,,J. Simmons misses 3-pt jump shot from 23 ft,59,60
3,10:22.0,Defensive rebound by J. Hernangómez,,59,60
3,10:15.0,Def 3 sec tech foul by Team,,59,60
3,10:15.0,J. Murray makes technical free throw,,60,60
3,10:04.0,J. Hernangómez makes 2-pt layup from 2 ft (assist by J. Murray),,62,60
3,9:47.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by A. Gordon),62,63
3,9:36.0,Personal foul by J. Simmons (drawn by N. Jokić),,62,63
3,9:24.0,J. Murray misses 2-pt jump shot from 9 ft,,62,63
3,9:21.0,,Defensive rebound by N. Vučević,62,63
3,9:17.0,,N. Vučević misses 3-pt jump shot from 26 ft,62,63
3,9:13.0,Defensive rebound by T. Craig,,62,63
3,8:56.0,J. Murray makes 3-pt jump shot from 29 ft (assist by J. Hernangómez),,65,63
3,8:38.0,,Turnover by J. Simmons (step out of bounds),65,63
3,8:29.0,P. Millsap makes 2-pt jump shot from 14 ft (assist by J. Murray),,67,63
3,8:14.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by D. Augustin),67,66
3,7:54.0,N. Jokić misses 3-pt jump shot from 27 ft,,67,66
3,7:50.0,,Defensive rebound by E. Fournier,67,66
3,7:44.0,,Offensive foul by A. Gordon (drawn by N. Jokić),67,66
3,7:44.0,,Turnover by A. Gordon (offensive foul),67,66
