QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
4,4:54.0,,Defensive rebound by R. Westbrook,104,87
4,4:52.0,,Shooting foul by B. Beal (drawn by T. Ferguson),104,87
4,4:52.0,,T. Ferguson makes free throw 1 of 2,104,88
4,4:52.0,,T. Ferguson makes free throw 2 of 2,104,89
4,4:31.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by T. Ariza),,107,89
4,4:08.0,,J. Grant misses 2-pt dunk from 1 ft,107,89
4,4:05.0,Defensive rebound by Team,,107,89
4,3:40.0,J. Green misses 2-pt jump shot from 13 ft,,107,89
4,3:37.0,,Defensive rebound by S. Adams,107,89
4,3:28.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),107,92
4,3:07.0,T. Satoranský makes 2-pt layup from 1 ft,,109,92
4,2:57.0,,Personal foul by T. Ariza (drawn by R. Westbrook),109,92
4,2:57.0,,R. Westbrook misses free throw 1 of 2,109,92
4,2:57.0,,Offensive rebound by Team,109,92
4,2:57.0,,R. Westbrook misses free throw 2 of 2,109,92
4,2:57.0,Defensive rebound by Team,,109,92
4,2:57.0,,Loose ball foul by S. Adams (drawn by I. Mahinmi),109,92
4,2:57.0,,H. Diallo enters the game for S. Adams,109,92
4,2:57.0,,A. Nader enters the game for P. George,109,92
4,2:57.0,,N. Noel enters the game for R. Westbrook,109,92
4,2:41.0,B. Beal misses 3-pt jump shot from 25 ft,,109,92
4,2:36.0,Offensive rebound by I. Mahinmi,,109,92
4,2:36.0,I. Mahinmi makes 2-pt layup at rim,,111,92
4,2:18.0,,N. Noel misses 2-pt jump shot from 14 ft,111,92
4,2:15.0,Defensive rebound by I. Mahinmi,,111,92
4,2:11.0,Washington full timeout,,111,92
4,2:11.0,R. Baker enters the game for T. Ariza,,111,92
4,2:11.0,T. Brown enters the game for B. Beal,,111,92
4,2:11.0,T. Bryant enters the game for J. Green,,111,92
4,2:11.0,S. Dekker enters the game for I. Mahinmi,,111,92
4,2:11.0,C. Randle enters the game for T. Satoranský,,111,92
4,2:11.0,,T. Luwawu-Cabarrot enters the game for T. Ferguson,111,92
4,2:11.0,,P. Patterson enters the game for J. Grant,111,92
4,2:04.0,Shooting foul by H. Diallo (drawn by T. Bryant),,111,92
4,2:04.0,T. Bryant makes free throw 1 of 2,,112,92
4,2:04.0,T. Bryant misses free throw 2 of 2,,112,92
4,2:02.0,,Defensive rebound by N. Noel,112,92
4,1:50.0,,H. Diallo misses 2-pt layup from 1 ft,112,92
4,1:49.0,Defensive rebound by S. Dekker,,112,92
4,1:40.0,Turnover by S. Dekker (lost ball; steal by A. Nader),,112,92
4,1:37.0,,A. Nader makes 2-pt layup from 1 ft,112,94
4,1:21.0,T. Bryant makes 2-pt layup from 2 ft (assist by C. Randle),,114,94
4,1:11.0,,A. Nader makes 2-pt layup from 1 ft,114,96
4,0:52.0,C. Randle makes 2-pt layup from 1 ft,,116,96
4,0:40.0,,A. Nader makes 2-pt jump shot from 6 ft,116,98
4,0:29.0,Turnover by C. Randle (traveling),,116,98
4,0:05.0,,Turnover by Team (shot clock),116,98
