QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
4,5:30.0,F. VanVleet misses 3-pt jump shot from 26 ft,,114,94
4,5:30.0,,Defensive rebound by Team,114,94
4,5:30.0,Loose ball foul by J. Valančiūnas (drawn by K. Caldwell-Pope),,114,94
4,5:17.0,,Turnover by L. Ball (bad pass; steal by N. Powell),114,94
4,5:14.0,Offensive foul by N. Powell (drawn by K. Caldwell-Pope),,114,94
4,5:14.0,Turnover by N. Powell (offensive foul),,114,94
4,5:14.0,,J. Hart enters the game for K. Caldwell-Pope,114,94
4,5:02.0,,L. Ball makes 3-pt jump shot from 28 ft (assist by S. Mykhailiuk),114,97
4,4:45.0,C. Miles misses 3-pt jump shot from 25 ft,,114,97
4,4:41.0,,Defensive rebound by K. Kuzma,114,97
4,4:35.0,,S. Mykhailiuk misses 3-pt jump shot from 28 ft,114,97
4,4:32.0,Defensive rebound by J. Valančiūnas,,114,97
4,4:21.0,Turnover by N. Powell (bad pass; steal by J. Hart),,114,97
4,4:14.0,,L. Ball makes 3-pt jump shot from 23 ft (assist by S. Mykhailiuk),114,100
4,4:14.0,Toronto full timeout,,114,100
4,4:14.0,D. Green enters the game for C. Miles,,114,100
4,4:14.0,S. Ibaka enters the game for N. Powell,,114,100
4,4:14.0,K. Lowry enters the game for J. Valančiūnas,,114,100
4,4:14.0,P. Siakam enters the game for D. Wright,,114,100
4,3:51.0,F. VanVleet misses 2-pt layup from 2 ft,,114,100
4,3:49.0,,Defensive rebound by K. Kuzma,114,100
4,3:45.0,,K. Kuzma misses 3-pt jump shot from 26 ft,114,100
4,3:40.0,Defensive rebound by P. Siakam,,114,100
4,3:31.0,K. Lowry misses 2-pt jump shot from 14 ft,,114,100
4,3:31.0,,Defensive rebound by Team,114,100
4,3:31.0,Loose ball foul by S. Ibaka (drawn by K. Kuzma),,114,100
4,3:31.0,,K. Kuzma makes free throw 1 of 2,114,101
4,3:31.0,,K. Kuzma makes free throw 2 of 2,114,102
4,3:09.0,D. Green makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,117,102
4,2:58.0,,J. Hart makes 3-pt jump shot from 27 ft (assist by L. Ball),117,105
4,2:34.0,S. Ibaka misses 2-pt layup from 1 ft (block by B. Ingram),,117,105
4,2:31.0,,Defensive rebound by L. Ball,117,105
4,2:30.0,,J. Hart misses 2-pt layup from 4 ft (block by D. Green),117,105
4,2:29.0,,Offensive rebound by Team,117,105
4,2:29.0,,LA Lakers full timeout,117,105
4,2:22.0,,B. Ingram misses 2-pt layup from 2 ft,117,105
4,2:18.0,,Offensive rebound by L. Ball,117,105
4,2:14.0,,S. Mykhailiuk makes 2-pt layup from 3 ft (assist by K. Kuzma),117,107
4,1:47.0,K. Lowry misses 2-pt jump shot from 13 ft,,117,107
4,1:45.0,,Defensive rebound by L. Ball,117,107
4,1:36.0,,Offensive foul by K. Kuzma (drawn by K. Lowry),117,107
4,1:36.0,,Turnover by K. Kuzma (offensive foul),117,107
4,1:15.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,119,107
4,0:59.0,,J. Hart misses 3-pt jump shot from 27 ft,119,107
4,0:57.0,Defensive rebound by D. Green,,119,107
4,0:45.0,P. Siakam misses 2-pt layup from 2 ft,,119,107
4,0:43.0,Offensive rebound by P. Siakam,,119,107
4,0:42.0,P. Siakam misses 2-pt layup from 1 ft,,119,107
4,0:38.0,Offensive rebound by P. Siakam,,119,107
4,0:31.0,K. Lowry makes 2-pt jump shot from 2 ft,,121,107
4,0:22.0,,K. Kuzma misses 3-pt jump shot from 27 ft,121,107
4,0:22.0,Defensive rebound by S. Ibaka,,121,107
