QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
4,6:11.0,D. Favors misses 2-pt layup from 7 ft,,104,98
4,6:07.0,,Defensive rebound by T. Prince,104,98
4,5:54.0,,T. Prince misses 2-pt layup from 1 ft,104,98
4,5:53.0,Defensive rebound by Team,,104,98
4,5:37.0,Personal foul by J. Collins (drawn by R. O'Neale),,104,98
4,5:27.0,D. Mitchell misses 2-pt layup from 11 ft,,104,98
4,5:23.0,,Defensive rebound by J. Collins,104,98
4,5:20.0,,K. Huerter misses 3-pt jump shot from 25 ft,104,98
4,5:16.0,Defensive rebound by R. Rubio,,104,98
4,5:11.0,D. Favors makes 2-pt layup at rim (assist by R. Rubio),,106,98
4,4:52.0,,A. Len makes 2-pt hook shot from 4 ft (assist by T. Prince),106,100
4,4:52.0,J. Crowder enters the game for D. Favors,,106,100
4,4:52.0,R. Gobert enters the game for R. O'Neale,,106,100
4,4:52.0,J. Ingles enters the game for T. Sefolosha,,106,100
4,4:52.0,,D. Bembry enters the game for K. Huerter,106,100
4,4:30.0,D. Mitchell misses 2-pt jump shot from 21 ft,,106,100
4,4:27.0,,Defensive rebound by J. Collins,106,100
4,4:20.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),106,102
4,4:02.0,D. Mitchell misses 2-pt dunk from 1 ft,,106,102
4,4:01.0,,Defensive rebound by Team,106,102
4,4:01.0,Loose ball foul by J. Crowder (drawn by J. Collins),,106,102
4,4:01.0,,Atlanta full timeout,106,102
4,3:51.0,,J. Collins makes 3-pt jump shot from 24 ft (assist by T. Young),106,105
4,3:27.0,D. Mitchell misses 2-pt jump shot from 17 ft,,106,105
4,3:24.0,,Defensive rebound by T. Young,106,105
4,3:13.0,,T. Young makes 2-pt jump shot from 12 ft,106,107
4,2:56.0,J. Crowder misses 3-pt jump shot from 26 ft,,106,107
4,2:53.0,,Defensive rebound by D. Bembry,106,107
4,2:36.0,,T. Young misses 2-pt layup from 2 ft,106,107
4,2:35.0,Defensive rebound by R. Rubio,,106,107
4,2:33.0,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),,108,107
4,2:12.0,,Personal foul by D. Mitchell (drawn by D. Bembry),108,107
4,2:10.0,,Shooting foul by J. Crowder (drawn by A. Len),108,107
4,2:10.0,,A. Len makes free throw 1 of 2,108,108
4,2:10.0,,A. Len makes free throw 2 of 2,108,109
4,2:01.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),,110,109
4,1:47.0,,T. Young makes 2-pt jump shot from 8 ft,110,111
4,1:47.0,,Shooting foul by R. Rubio (drawn by T. Young),110,111
4,1:47.0,,D. Dedmon enters the game for A. Len,110,111
4,1:47.0,,T. Young makes free throw 1 of 1,110,112
4,1:35.0,J. Crowder misses 3-pt jump shot from 23 ft,,110,112
4,1:32.0,,Defensive rebound by T. Prince,110,112
4,1:13.0,,T. Young misses 3-pt jump shot from 25 ft,110,112
4,1:11.0,,Offensive rebound by D. Dedmon,110,112
4,1:10.0,,D. Dedmon makes 2-pt hook shot from 9 ft,110,114
4,1:10.0,Violation by Team (def goaltending),,110,114
4,0:54.0,Turnover by J. Crowder (out of bounds lost ball),,110,114
4,0:39.0,,Offensive foul by J. Collins (drawn by J. Ingles),110,114
4,0:39.0,,Turnover by J. Collins (offensive foul),110,114
4,0:39.0,Utah full timeout,,110,114
4,0:39.0,,K. Bazemore enters the game for J. Collins,110,114
4,0:39.0,,V. Carter enters the game for T. Young,110,114
4,0:34.0,D. Mitchell misses 2-pt layup from 1 ft (block by D. Dedmon),,110,114
4,0:33.0,,Defensive rebound by Team,110,114
4,0:33.0,R. O'Neale enters the game for R. Rubio,,110,114
4,0:33.0,,T. Young enters the game for K. Bazemore,110,114
4,0:22.0,,Turnover by T. Young (lost ball; steal by J. Ingles),110,114
4,0:19.0,J. Ingles misses 2-pt layup from 2 ft (block by D. Dedmon),,110,114
4,0:19.0,Offensive rebound by R. O'Neale,,110,114
4,0:19.0,R. Gobert makes 2-pt dunk from 3 ft (assist by R. O'Neale),,112,114
4,0:19.0,,Atlanta full timeout,112,114
4,0:17.0,,Atlanta full timeout,112,114
4,0:17.0,,K. Bazemore enters the game for D. Bembry,112,114
4,0:14.0,,Personal take foul by R. Gobert (drawn by D. Dedmon),112,114
4,0:14.0,,D. Dedmon makes free throw 1 of 2,112,115
4,0:14.0,K. Korver enters the game for R. O'Neale,,112,115
4,0:14.0,,D. Bembry enters the game for T. Young,112,115
4,0:14.0,,D. Dedmon makes free throw 2 of 2,112,116
4,0:09.0,D. Mitchell makes 2-pt layup from 1 ft,,114,116
4,0:06.0,,Personal take foul by K. Korver (drawn by D. Dedmon),114,116
4,0:06.0,,D. Dedmon misses free throw 1 of 2,114,116
4,0:06.0,,Offensive rebound by Team,114,116
4,0:06.0,D. Favors enters the game for K. Korver,,114,116
4,0:06.0,,D. Dedmon makes free throw 2 of 2,114,117
4,0:06.0,Utah full timeout,,114,117
4,0:06.0,K. Korver enters the game for J. Crowder,,114,117
4,0:06.0,Shooting foul by V. Carter (drawn by K. Korver),,114,117
4,0:06.0,K. Korver misses free throw 1 of 2,,114,117
4,0:06.0,Offensive rebound by Team,,114,117
4,0:06.0,K. Korver misses free throw 2 of 2,,114,117
4,0:03.0,Offensive rebound by D. Mitchell,,114,117
4,0:01.0,D. Mitchell misses 3-pt jump shot from 23 ft,,114,117
4,0:01.0,,Defensive rebound by K. Bazemore,114,117
