QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
4,7:58.0,Shooting foul by S. Gilgeous-Alexander (drawn by C. McCollum),,99,94
4,7:58.0,C. McCollum misses free throw 1 of 1,,99,94
4,7:55.0,Offensive rebound by C. McCollum,,99,94
4,7:53.0,S. Curry misses 3-pt jump shot from 25 ft,,99,94
4,7:49.0,Offensive rebound by C. McCollum,,99,94
4,7:44.0,C. McCollum makes 2-pt jump shot from 16 ft,,101,94
4,7:26.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),101,96
4,7:04.0,C. McCollum makes 3-pt jump shot from 26 ft,,104,96
4,6:54.0,,L. Williams misses 2-pt jump shot from 2 ft,104,96
4,6:49.0,,Offensive rebound by S. Gilgeous-Alexander,104,96
4,6:47.0,,Shooting foul by C. McCollum (drawn by M. Harrell),104,96
4,6:47.0,,LA Clippers full timeout,104,96
4,6:47.0,M. Harkless enters the game for S. Curry,,104,96
4,6:47.0,D. Lillard enters the game for E. Freedom,,104,96
4,6:47.0,J. Nurkić enters the game for E. Turner,,104,96
4,6:47.0,,P. Beverley enters the game for W. Chandler,104,96
4,6:47.0,,J. Green enters the game for S. Gilgeous-Alexander,104,96
4,6:47.0,,M. Harrell misses free throw 1 of 2,104,96
4,6:47.0,,Offensive rebound by Team,104,96
4,6:47.0,,M. Harrell makes free throw 2 of 2,104,97
4,6:28.0,C. McCollum makes 3-pt jump shot from 26 ft,,107,97
4,6:04.0,,J. Green misses 3-pt jump shot from 23 ft,107,97
4,6:02.0,Defensive rebound by J. Nurkić,,107,97
4,5:40.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,110,97
4,5:17.0,,P. Beverley misses 2-pt layup from 1 ft,110,97
4,5:12.0,,J. Green makes 2-pt layup from 1 ft,110,99
4,5:12.0,,Offensive rebound by J. Green,110,99
4,4:54.0,Shooting foul by P. Beverley (drawn by C. McCollum),,110,99
4,4:54.0,C. McCollum makes free throw 1 of 3,,111,99
4,4:54.0,C. McCollum makes free throw 2 of 3,,112,99
4,4:54.0,C. McCollum makes free throw 3 of 3,,113,99
4,4:46.0,,L. Williams misses 2-pt jump shot from 9 ft,113,99
4,4:42.0,,Offensive rebound by L. Williams,113,99
4,4:41.0,,L. Williams misses 2-pt jump shot from 6 ft,113,99
4,4:40.0,Defensive rebound by J. Nurkić,,113,99
4,4:34.0,J. Layman makes 3-pt jump shot from 24 ft (assist by D. Lillard),,116,99
4,4:33.0,,LA Clippers full timeout,116,99
4,4:19.0,,L. Shamet misses 2-pt jump shot from 14 ft,116,99
4,4:16.0,Defensive rebound by M. Harkless,,116,99
4,3:55.0,C. McCollum misses 2-pt jump shot from 16 ft,,116,99
4,3:52.0,,Defensive rebound by M. Harrell,116,99
4,3:44.0,,Turnover by L. Williams (bad pass; steal by C. McCollum),116,99
4,3:39.0,D. Lillard misses 3-pt jump shot from 25 ft,,116,99
4,3:37.0,,Defensive rebound by Team,116,99
4,3:37.0,,W. Chandler enters the game for M. Harrell,116,99
4,3:37.0,,S. Gilgeous-Alexander enters the game for L. Shamet,116,99
4,3:37.0,,I. Zubac enters the game for L. Williams,116,99
4,3:20.0,,W. Chandler misses 3-pt jump shot from 25 ft,116,99
4,3:13.0,,Offensive rebound by J. Green,116,99
4,3:13.0,,J. Green makes 2-pt layup from 1 ft,116,101
4,2:53.0,J. Nurkić misses 2-pt hook shot from 6 ft,,116,101
4,2:53.0,Offensive rebound by Team,,116,101
4,2:53.0,,T. Wallace enters the game for P. Beverley,116,101
4,2:51.0,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),,118,101
4,2:40.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,118,101
4,2:40.0,Defensive rebound by J. Nurkić,,118,101
4,2:31.0,Shooting foul by J. Green (drawn by J. Nurkić),,118,101
4,2:31.0,J. Nurkić makes free throw 1 of 2,,119,101
4,2:31.0,S. Curry enters the game for M. Harkless,,119,101
4,2:31.0,S. Labissière enters the game for D. Lillard,,119,101
4,2:31.0,G. Trent enters the game for C. McCollum,,119,101
4,2:31.0,J. Nurkić makes free throw 2 of 2,,120,101
4,2:30.0,,Personal take foul by J. Nurkić (drawn by S. Gilgeous-Alexander),120,101
4,2:30.0,,Offensive rebound by Team,120,101
4,2:30.0,,S. Gilgeous-Alexander misses free throw 1 of 2,120,101
4,2:30.0,Z. Collins enters the game for J. Nurkić,,120,101
4,2:30.0,,S. Gilgeous-Alexander makes free throw 2 of 2,120,102
4,2:15.0,G. Trent misses 2-pt jump shot from 18 ft,,120,102
4,2:13.0,,Defensive rebound by I. Zubac,120,102
4,2:06.0,,T. Wallace misses 2-pt jump shot from 16 ft,120,102
4,2:04.0,Defensive rebound by Team,,120,102
4,2:04.0,,S. Thornwell enters the game for S. Gilgeous-Alexander,120,102
4,1:48.0,Personal foul by J. Green (drawn by Z. Collins),,120,102
4,1:48.0,Z. Collins makes free throw 1 of 2,,121,102
4,1:48.0,Z. Collins misses free throw 2 of 2,,121,102
4,1:44.0,,Defensive rebound by I. Zubac,121,102
4,1:29.0,,T. Wallace misses 2-pt hook shot from 7 ft,121,102
4,1:25.0,,Offensive rebound by I. Zubac,121,102
4,1:25.0,,I. Zubac misses 2-pt layup from 1 ft,121,102
4,1:25.0,Defensive rebound by G. Trent,,121,102
4,1:19.0,G. Trent makes 2-pt jump shot from 17 ft,,123,102
4,1:02.0,,S. Thornwell misses 2-pt jump shot from 7 ft,123,102
4,1:02.0,Defensive rebound by Z. Collins,,123,102
4,0:49.0,S. Curry makes 2-pt jump shot from 19 ft,,125,102
4,0:35.0,,J. Green misses 2-pt jump shot from 21 ft,125,102
4,0:34.0,Defensive rebound by S. Curry,,125,102
4,0:31.0,Turnover by S. Labissière (traveling),,125,102
4,0:23.0,,T. Wallace makes 2-pt hook shot from 7 ft,125,104
