QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
4,9:35.0,A. Nader makes 3-pt jump shot from 27 ft (assist by D. Schröder),,86,85
4,9:12.0,,B. Ingram misses 2-pt jump shot from 18 ft,86,85
4,9:10.0,Defensive rebound by D. Schröder,,86,85
4,8:55.0,D. Schröder misses 2-pt jump shot from 17 ft,,86,85
4,8:51.0,Offensive rebound by N. Noel,,86,85
4,8:49.0,N. Noel makes 2-pt jump shot from 9 ft,,88,85
4,8:49.0,,LA Lakers full timeout,88,85
4,8:49.0,,L. Ball enters the game for S. Mykhailiuk,88,85
4,8:49.0,,J. Hart enters the game for L. Stephenson,88,85
4,8:49.0,,J. McGee enters the game for I. Zubac,88,85
4,8:41.0,,Shooting foul by A. Nader (drawn by L. Ball),88,85
4,8:41.0,,L. Ball misses free throw 1 of 2,88,85
4,8:41.0,,Offensive rebound by Team,88,85
4,8:41.0,,L. Ball misses free throw 2 of 2,88,85
4,8:39.0,Defensive rebound by P. Patterson,,88,85
4,8:28.0,D. Schröder makes 2-pt jump shot from 11 ft,,90,85
4,8:04.0,,J. McGee misses 2-pt hook shot from 8 ft,90,85
4,8:02.0,Defensive rebound by H. Diallo,,90,85
4,8:01.0,Turnover by D. Schröder (out of bounds lost ball),,90,85
4,7:44.0,,B. Ingram misses 2-pt jump shot from 16 ft,90,85
4,7:42.0,Defensive rebound by A. Nader,,90,85
4,7:26.0,H. Diallo misses 2-pt layup from 1 ft,,90,85
4,7:23.0,Offensive rebound by H. Diallo,,90,85
4,7:23.0,H. Diallo misses 2-pt layup from 1 ft,,90,85
4,7:22.0,Offensive rebound by P. Patterson,,90,85
4,7:17.0,P. Patterson misses 2-pt hook shot from 8 ft,,90,85
4,7:15.0,Offensive rebound by P. Patterson,,90,85
4,7:14.0,P. Patterson misses 2-pt layup from 1 ft,,90,85
4,7:14.0,,Defensive rebound by B. Ingram,90,85
4,7:14.0,,Personal foul by H. Diallo (drawn by B. Ingram),90,85
4,7:06.0,,Personal foul by P. Patterson (drawn by B. Ingram),90,85
4,6:59.0,,J. Hart misses 3-pt jump shot from 26 ft,90,85
4,6:55.0,Defensive rebound by D. Schröder,,90,85
4,6:48.0,D. Schröder misses 2-pt jump shot from 2 ft,,90,85
4,6:48.0,,Defensive rebound by Team,90,85
4,6:33.0,,Turnover by B. Ingram (lost ball; steal by N. Noel),90,85
4,6:31.0,Shooting foul by L. Ball (drawn by D. Schröder),,90,85
4,6:31.0,D. Schröder misses free throw 1 of 2,,90,85
4,6:31.0,Offensive rebound by Team,,90,85
4,6:31.0,R. Westbrook enters the game for H. Diallo,,90,85
4,6:31.0,D. Schröder makes free throw 2 of 2,,91,85
4,6:12.0,,Personal foul by R. Westbrook (drawn by L. Ball),91,85
4,6:12.0,,L. Ball misses free throw 1 of 2,91,85
4,6:12.0,,Offensive rebound by Team,91,85
4,6:12.0,,L. Ball makes free throw 2 of 2,91,86
4,5:57.0,P. Patterson misses 3-pt jump shot from 25 ft,,91,86
4,5:54.0,,Defensive rebound by J. McGee,91,86
4,5:34.0,,J. McGee misses 2-pt hook shot from 4 ft (block by N. Noel),91,86
4,5:31.0,Defensive rebound by N. Noel,,91,86
4,5:21.0,D. Schröder misses 2-pt jump shot from 16 ft,,91,86
4,5:18.0,,Defensive rebound by J. Hart,91,86
4,5:13.0,,J. Hart makes 2-pt layup from 1 ft,91,88
4,5:13.0,Oklahoma City full timeout,,91,88
4,5:13.0,S. Adams enters the game for A. Nader,,91,88
4,5:13.0,T. Ferguson enters the game for N. Noel,,91,88
4,5:13.0,P. George enters the game for P. Patterson,,91,88
4,5:13.0,J. Grant enters the game for D. Schröder,,91,88
4,5:13.0,,T. Chandler enters the game for J. McGee,91,88
4,5:02.0,J. Grant misses 2-pt jump shot from 4 ft,,91,88
4,4:56.0,Offensive rebound by S. Adams,,91,88
4,4:53.0,T. Ferguson misses 3-pt jump shot from 25 ft,,91,88
4,4:51.0,Offensive rebound by R. Westbrook,,91,88
4,4:51.0,Personal foul by J. Hart (drawn by R. Westbrook),,91,88
4,4:43.0,T. Ferguson misses 3-pt jump shot from 25 ft,,91,88
4,4:39.0,,Defensive rebound by J. Hart,91,88
4,4:36.0,,Shooting foul by T. Ferguson (drawn by J. Hart),91,88
4,4:36.0,,J. Hart makes free throw 1 of 2,91,89
4,4:36.0,,J. Hart misses free throw 2 of 2,91,89
4,4:33.0,Defensive rebound by R. Westbrook,,91,89
4,4:21.0,P. George makes 2-pt jump shot from 20 ft,,93,89
4,3:58.0,,B. Ingram misses 2-pt jump shot from 23 ft,93,89
4,3:54.0,Defensive rebound by J. Grant,,93,89
4,3:47.0,P. George makes 2-pt layup from 1 ft,,95,89
4,3:46.0,,LA Lakers full timeout,95,89
4,3:46.0,,L. Stephenson enters the game for L. Ball,95,89
4,3:36.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by T. Chandler),95,92
4,3:23.0,Shooting foul by J. Hart (drawn by P. George),,95,92
4,3:23.0,P. George misses free throw 1 of 2,,95,92
4,3:23.0,Offensive rebound by Team,,95,92
4,3:23.0,P. George makes free throw 2 of 2,,96,92
4,3:08.0,,B. Ingram misses 2-pt jump shot from 8 ft,96,92
4,3:06.0,Defensive rebound by R. Westbrook,,96,92
4,3:05.0,Shooting foul by K. Caldwell-Pope (drawn by R. Westbrook),,96,92
4,3:05.0,R. Westbrook misses free throw 1 of 2,,96,92
4,3:05.0,Offensive rebound by Team,,96,92
4,3:05.0,R. Westbrook makes free throw 2 of 2,,97,92
4,2:58.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,97,92
4,2:56.0,Defensive rebound by P. George,,97,92
4,2:47.0,S. Adams makes 2-pt dunk from 2 ft (assist by P. George),,99,92
4,2:22.0,,B. Ingram misses 2-pt jump shot from 8 ft,99,92
4,2:21.0,Defensive rebound by S. Adams,,99,92
4,2:17.0,Flagrant foul type 1 by T. Chandler (drawn by T. Ferguson),,99,92
4,2:17.0,P. George makes flagrant free throw 1 of 2,,100,92
4,2:17.0,P. George makes flagrant free throw 2 of 2,,101,92
4,2:17.0,D. Schröder enters the game for T. Ferguson,,101,92
4,2:11.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,103,92
4,1:57.0,,B. Ingram misses 2-pt layup from 5 ft (block by R. Westbrook),103,92
4,1:55.0,Defensive rebound by J. Grant,,103,92
4,1:50.0,P. George misses 3-pt jump shot from 24 ft,,103,92
4,1:48.0,,Defensive rebound by K. Caldwell-Pope,103,92
4,1:43.0,,Shooting foul by R. Westbrook (drawn by K. Caldwell-Pope),103,92
4,1:43.0,,K. Caldwell-Pope misses free throw 1 of 2,103,92
4,1:43.0,,Offensive rebound by Team,103,92
4,1:43.0,,K. Caldwell-Pope makes free throw 2 of 2,103,93
4,1:29.0,Turnover by R. Westbrook (bad pass; steal by L. Stephenson),,103,93
4,1:27.0,,J. Hart misses 2-pt layup from 1 ft (block by R. Westbrook),103,93
4,1:27.0,,Offensive rebound by Team,103,93
4,1:23.0,,J. Hart misses 3-pt jump shot from 27 ft,103,93
4,1:20.0,Defensive rebound by R. Westbrook,,103,93
4,1:03.0,R. Westbrook makes 2-pt layup from 2 ft,,105,93
4,0:46.0,,B. Ingram makes 2-pt jump shot from 18 ft,105,95
4,0:32.0,R. Westbrook misses 3-pt jump shot from 27 ft,,105,95
4,0:29.0,,Defensive rebound by L. Stephenson,105,95
4,0:24.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by B. Ingram),105,98
4,0:16.0,J. Grant makes 2-pt dunk at rim (assist by P. George),,107,98
4,0:02.0,,J. Hart makes 2-pt jump shot from 8 ft,107,100
