QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DETROIT_ACTION,LA CLIPPERS_SCORE,DETROIT_SCORE
4,6:58.0,,Defensive rebound by R. Bullock,91,91
4,6:52.0,,Offensive foul by Z. Pachulia (drawn by P. Beverley),91,91
4,6:52.0,,Turnover by Z. Pachulia (offensive foul),91,91
4,6:41.0,L. Williams misses 2-pt jump shot from 15 ft,,91,91
4,6:36.0,,Defensive rebound by Z. Pachulia,91,91
4,6:34.0,,Personal foul by P. Beverley (drawn by R. Jackson),91,91
4,6:32.0,,Offensive foul by B. Griffin (drawn by P. Beverley),91,91
4,6:32.0,,Turnover by B. Griffin (offensive foul),91,91
4,6:32.0,,B. Brown enters the game for R. Bullock,91,91
4,6:32.0,,A. Drummond enters the game for Z. Pachulia,91,91
4,6:18.0,L. Williams makes 2-pt layup from 3 ft,,93,91
4,6:05.0,,Personal foul by M. Scott (drawn by B. Griffin),93,91
4,5:51.0,,R. Jackson misses 3-pt jump shot from 26 ft,93,91
4,5:49.0,Defensive rebound by Team,,93,91
4,5:37.0,M. Harrell misses 2-pt layup from 9 ft (block by A. Drummond),,93,91
4,5:37.0,Offensive rebound by Team,,93,91
4,5:29.0,Shooting foul by L. Galloway (drawn by M. Harrell),,93,91
4,5:29.0,M. Harrell misses free throw 1 of 2,,93,91
4,5:29.0,Offensive rebound by Team,,93,91
4,5:29.0,M. Harrell misses free throw 2 of 2,,93,91
4,5:26.0,,Defensive rebound by L. Galloway,93,91
4,5:12.0,,L. Galloway misses 3-pt jump shot from 24 ft,93,91
4,5:10.0,Defensive rebound by M. Harrell,,93,91
4,5:00.0,Shooting foul by B. Griffin (drawn by L. Williams),,93,91
4,5:00.0,L. Williams makes free throw 1 of 2,,94,91
4,5:00.0,,R. Bullock enters the game for L. Galloway,94,91
4,5:00.0,L. Williams makes free throw 2 of 2,,95,91
4,4:50.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Brown),95,94
4,4:24.0,L. Williams makes 3-pt jump shot from 29 ft (assist by M. Harrell),,98,94
4,3:59.0,,R. Jackson misses 2-pt jump shot from 5 ft,98,94
4,3:58.0,Defensive rebound by S. Gilgeous-Alexander,,98,94
4,3:54.0,L. Williams makes 2-pt layup from 3 ft (assist by S. Gilgeous-Alexander),,100,94
4,3:33.0,,B. Griffin misses 3-pt jump shot from 25 ft,100,94
4,3:33.0,Defensive rebound by M. Harrell,,100,94
4,3:33.0,LA Clippers full timeout,,100,94
4,3:21.0,L. Williams misses 2-pt jump shot from 21 ft,,100,94
4,3:18.0,,Defensive rebound by R. Bullock,100,94
4,3:04.0,,R. Jackson makes 2-pt jump shot from 12 ft,100,96
4,2:47.0,L. Williams makes 2-pt layup from 2 ft,,102,96
4,2:32.0,,B. Griffin misses 2-pt layup from 3 ft,102,96
4,2:29.0,Defensive rebound by M. Scott,,102,96
4,2:13.0,L. Williams makes 3-pt jump shot from 26 ft,,105,96
4,1:57.0,,R. Jackson misses 2-pt jump shot from 15 ft,105,96
4,1:54.0,Defensive rebound by S. Gilgeous-Alexander,,105,96
4,1:33.0,L. Williams misses 3-pt jump shot from 27 ft,,105,96
4,1:30.0,,Defensive rebound by A. Drummond,105,96
4,1:23.0,,R. Jackson misses 2-pt layup from 3 ft,105,96
4,1:21.0,Defensive rebound by S. Gilgeous-Alexander,,105,96
4,1:02.0,L. Williams makes 2-pt jump shot from 9 ft,,107,96
4,1:02.0,,Detroit full timeout,107,96
4,0:58.0,,R. Bullock makes 3-pt jump shot from 27 ft (assist by A. Drummond),107,99
4,0:44.0,LA Clippers full timeout,,107,99
4,0:38.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,109,99
4,0:32.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),109,101
4,0:31.0,Personal foul by A. Drummond (drawn by L. Williams),,109,101
4,0:31.0,,L. Galloway enters the game for A. Drummond,109,101
4,0:31.0,L. Williams makes free throw 1 of 2,,110,101
4,0:31.0,L. Williams makes free throw 2 of 2,,111,101
4,0:31.0,,Detroit full timeout,111,101
4,0:26.0,,B. Brown misses 3-pt jump shot from 26 ft,111,101
4,0:22.0,Defensive rebound by L. Williams,,111,101
4,0:00.0,Turnover by Team (shot clock),,111,101
