QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
4,10:23.0,M. Plumlee misses free throw 2 of 2,,96,77
4,10:22.0,Offensive rebound by P. Millsap,,96,77
4,10:22.0,P. Millsap misses 2-pt layup from 2 ft,,96,77
4,10:21.0,,Defensive rebound by M. Kleber,96,77
4,10:11.0,,J. Jackson misses 3-pt jump shot from 24 ft,96,77
4,10:07.0,Defensive rebound by M. Morris,,96,77
4,10:03.0,I. Thomas misses 3-pt jump shot from 26 ft,,96,77
4,10:01.0,Offensive rebound by M. Plumlee,,96,77
4,9:52.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by M. Morris),,99,77
4,9:39.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,99,77
4,9:32.0,Defensive rebound by M. Morris,,99,77
4,9:30.0,M. Morris makes 2-pt jump shot from 10 ft,,101,77
4,9:30.0,J. Hernangómez enters the game for P. Millsap,,101,77
4,9:30.0,N. Jokić enters the game for M. Plumlee,,101,77
4,9:30.0,,J. Brunson enters the game for T. Burke,101,77
4,9:30.0,,C. Lee enters the game for M. Kleber,101,77
4,9:10.0,,J. Jackson misses 2-pt jump shot from 12 ft,101,77
4,9:10.0,,Offensive rebound by D. Finney-Smith,101,77
4,9:05.0,,D. Finney-Smith makes 2-pt layup at rim,101,79
4,8:47.0,N. Jokić makes 2-pt jump shot from 20 ft (assist by M. Morris),,103,79
4,8:34.0,,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by J. Brunson),103,81
4,8:20.0,N. Jokić misses 2-pt layup from 5 ft,,103,81
4,8:18.0,,Defensive rebound by C. Lee,103,81
4,8:06.0,,C. Lee misses 3-pt jump shot from 25 ft,103,81
4,8:03.0,Defensive rebound by J. Hernangómez,,103,81
4,8:00.0,M. Morris misses 2-pt jump shot from 11 ft,,103,81
4,7:56.0,,Defensive rebound by D. Finney-Smith,103,81
4,7:46.0,,J. Brunson makes 2-pt jump shot from 2 ft (assist by S. Mejri),103,83
4,7:33.0,Shooting foul by S. Mejri (drawn by I. Thomas),,103,83
4,7:33.0,I. Thomas misses free throw 1 of 2,,103,83
4,7:33.0,Offensive rebound by Team,,103,83
4,7:33.0,J. Murray enters the game for M. Morris,,103,83
4,7:33.0,I. Thomas misses free throw 2 of 2,,103,83
4,7:31.0,,Defensive rebound by J. Jackson,103,83
4,7:23.0,,J. Brunson makes 3-pt jump shot from 25 ft,103,86
4,7:07.0,G. Harris misses 2-pt layup from 2 ft,,103,86
4,7:05.0,,Defensive rebound by S. Mejri,103,86
4,6:59.0,,S. Mejri misses 3-pt jump shot from 26 ft,103,86
4,6:55.0,Defensive rebound by J. Murray,,103,86
4,6:50.0,J. Murray misses 3-pt jump shot from 26 ft,,103,86
4,6:49.0,Offensive rebound by N. Jokić,,103,86
4,6:49.0,N. Jokić misses 2-pt layup from 3 ft,,103,86
4,6:49.0,,Defensive rebound by C. Lee,103,86
4,6:34.0,,J. Jackson misses 2-pt jump shot from 9 ft,103,86
4,6:32.0,Defensive rebound by N. Jokić,,103,86
4,6:27.0,I. Thomas makes 2-pt jump shot from 12 ft (assist by J. Hernangómez),,105,86
4,6:27.0,W. Barton enters the game for G. Harris,,105,86
4,6:27.0,,T. Hardaway enters the game for J. Jackson,105,86
4,6:27.0,,D. Powell enters the game for S. Mejri,105,86
4,6:01.0,,C. Lee misses 2-pt jump shot from 15 ft,105,86
4,5:59.0,,Offensive rebound by D. Powell,105,86
4,5:57.0,,C. Lee misses 2-pt jump shot from 16 ft,105,86
4,5:54.0,Defensive rebound by N. Jokić,,105,86
4,5:46.0,Turnover by I. Thomas (bad pass; steal by T. Hardaway),,105,86
4,5:33.0,,D. Powell makes 2-pt dunk at rim (assist by J. Brunson),105,88
4,5:30.0,Denver full timeout,,105,88
4,5:30.0,M. Beasley enters the game for J. Hernangómez,,105,88
4,5:30.0,P. Millsap enters the game for I. Thomas,,105,88
4,5:09.0,N. Jokić misses 2-pt hook shot from 5 ft,,105,88
4,5:07.0,,Defensive rebound by D. Finney-Smith,105,88
4,5:02.0,,J. Brunson makes 2-pt layup from 1 ft,105,90
4,4:47.0,N. Jokić misses 3-pt jump shot from 25 ft,,105,90
4,4:45.0,,Defensive rebound by J. Brunson,105,90
4,4:35.0,,D. Powell misses 3-pt jump shot from 25 ft,105,90
4,4:31.0,Defensive rebound by P. Millsap,,105,90
4,4:23.0,Personal foul by D. Powell (drawn by N. Jokić),,105,90
4,4:17.0,P. Millsap makes 2-pt layup from 2 ft (assist by W. Barton),,107,90
4,3:59.0,,D. Powell misses 3-pt jump shot from 25 ft,107,90
4,3:56.0,Defensive rebound by M. Beasley,,107,90
4,3:52.0,Technical foul by N. Jokić,,107,90
4,3:52.0,,J. Brunson makes technical free throw,107,91
4,3:40.0,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),,109,91
4,3:29.0,,T. Hardaway misses 3-pt jump shot from 25 ft,109,91
4,3:26.0,Defensive rebound by W. Barton,,109,91
4,3:23.0,J. Murray misses 3-pt jump shot from 25 ft,,109,91
4,3:22.0,,Defensive rebound by Team,109,91
4,3:07.0,,D. Finney-Smith makes 2-pt layup from 1 ft,109,93
4,2:52.0,Turnover by N. Jokić (bad pass; steal by J. Brunson),,109,93
4,2:52.0,,Personal foul by N. Jokić (drawn by J. Brunson),109,93
4,2:52.0,,J. Jackson enters the game for D. Finney-Smith,109,93
4,2:52.0,,S. Mejri enters the game for D. Powell,109,93
4,2:34.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Brunson),109,96
4,2:34.0,Denver full timeout,,109,96
4,2:20.0,M. Beasley misses 3-pt jump shot from 25 ft,,109,96
4,2:18.0,Offensive rebound by N. Jokić,,109,96
4,2:18.0,Personal foul by C. Lee (drawn by N. Jokić),,109,96
4,2:06.0,Shooting foul by S. Mejri (drawn by N. Jokić),,109,96
4,2:06.0,N. Jokić makes free throw 1 of 2,,110,96
4,2:06.0,N. Jokić makes free throw 2 of 2,,111,96
4,1:51.0,,J. Brunson misses 3-pt jump shot from 23 ft,111,96
4,1:49.0,Defensive rebound by W. Barton,,111,96
4,1:29.0,Turnover by P. Millsap (bad pass; steal by T. Hardaway),,111,96
4,1:26.0,,C. Lee makes 2-pt layup from 2 ft (assist by T. Hardaway),111,98
4,1:07.0,W. Barton makes 3-pt jump shot from 24 ft (assist by N. Jokić),,114,98
4,0:58.0,,Shooting foul by W. Barton (drawn by C. Lee),114,98
4,0:58.0,,C. Lee makes free throw 1 of 3,114,99
4,0:58.0,T. Lydon enters the game for N. Jokić,,114,99
4,0:58.0,M. Morris enters the game for P. Millsap,,114,99
4,0:58.0,J. Vanderbilt enters the game for J. Murray,,114,99
4,0:58.0,,T. Burke enters the game for J. Brunson,114,99
4,0:58.0,,C. Lee makes free throw 2 of 3,114,100
4,0:58.0,,C. Lee makes free throw 3 of 3,114,101
4,0:40.0,M. Morris misses 3-pt jump shot from 25 ft,,114,101
4,0:36.0,Offensive rebound by M. Beasley,,114,101
4,0:25.0,W. Barton misses 3-pt jump shot from 26 ft,,114,101
4,0:23.0,Offensive rebound by J. Vanderbilt,,114,101
4,0:10.0,M. Morris misses 2-pt layup from 4 ft,,114,101
4,0:08.0,,Defensive rebound by J. Jackson,114,101
4,0:03.0,,C. Lee makes 3-pt jump shot from 25 ft,114,104
