QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
4,2:30.0,,K. Oubre misses 3-pt jump shot from 23 ft,101,101
4,2:25.0,Defensive rebound by J. Tatum,,101,101
4,2:08.0,K. Irving makes 2-pt layup from 1 ft,,103,101
4,2:08.0,,Washington full timeout,103,101
4,1:57.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),103,104
4,1:37.0,M. Morris misses 2-pt dunk from 3 ft (block by J. Wall),,103,104
4,1:33.0,Offensive rebound by M. Morris,,103,104
4,1:32.0,M. Morris makes 2-pt layup from 3 ft,,105,104
4,1:30.0,,Offensive foul by J. Wall (drawn by K. Irving),105,104
4,1:30.0,,Turnover by J. Wall (offensive foul),105,104
4,1:15.0,Personal foul by M. Morris (drawn by M. Morris),,105,104
4,1:15.0,M. Morris makes free throw 1 of 2,,106,104
4,1:15.0,M. Morris makes free throw 2 of 2,,107,104
4,1:05.0,,J. Wall makes 2-pt dunk from 3 ft (assist by B. Beal),107,106
4,0:56.0,K. Irving misses 3-pt jump shot from 28 ft,,107,106
4,0:53.0,Offensive rebound by M. Morris,,107,106
4,0:53.0,M. Morris makes 2-pt layup from 2 ft,,109,106
4,0:48.0,,J. Wall makes 2-pt layup from 1 ft,109,108
4,0:29.0,Personal foul by B. Beal (drawn by K. Irving),,109,108
4,0:29.0,K. Irving makes free throw 1 of 2,,110,108
4,0:29.0,A. Baynes enters the game for T. Rozier,,110,108
4,0:29.0,K. Irving makes free throw 2 of 2,,111,108
4,0:23.0,,J. Wall makes 2-pt layup from 2 ft,111,110
4,0:13.0,J. Tatum makes 2-pt dunk from 3 ft (assist by K. Irving),,113,110
4,0:13.0,,Washington full timeout,113,110
4,0:13.0,S. Ojeleye enters the game for A. Baynes,,113,110
4,0:13.0,T. Rozier enters the game for K. Irving,,113,110
4,0:13.0,,Personal foul by M. Smart (drawn by B. Beal),113,110
4,0:13.0,,B. Beal makes free throw 1 of 2,113,111
4,0:13.0,A. Baynes enters the game for S. Ojeleye,,113,111
4,0:13.0,,B. Beal misses free throw 2 of 2,113,111
4,0:11.0,,Offensive rebound by B. Beal,113,111
4,0:11.0,,B. Beal makes 2-pt layup from 1 ft,113,113
4,0:11.0,Boston full timeout,,113,113
4,0:11.0,K. Irving enters the game for A. Baynes,,113,113
4,0:00.0,K. Irving misses 2-pt layup from 6 ft,,113,113
4,0:00.0,Offensive rebound by Team,,113,113
1OT,4:41.0,,J. Wall misses 2-pt jump shot from 16 ft,113,113
1OT,4:38.0,Defensive rebound by M. Morris,,113,113
1OT,4:24.0,M. Smart misses 2-pt jump shot from 13 ft,,113,113
1OT,4:23.0,Offensive rebound by Team,,113,113
1OT,4:23.0,,Loose ball foul by J. Green (drawn by R. Williams),113,113
1OT,4:23.0,,Violation by Team (delay of game),113,113
1OT,4:23.0,T. Rozier enters the game for R. Williams,,113,113
1OT,4:19.0,K. Irving misses 2-pt jump shot from 7 ft,,113,113
1OT,4:16.0,,Defensive rebound by J. Wall,113,113
1OT,4:13.0,,Shooting foul by M. Morris (drawn by J. Wall),113,113
1OT,4:13.0,,J. Wall misses free throw 1 of 2,113,113
1OT,4:13.0,,Offensive rebound by Team,113,113
1OT,4:13.0,,J. Wall makes free throw 2 of 2,113,114
1OT,3:59.0,J. Tatum misses 2-pt layup from 7 ft,,113,114
1OT,3:56.0,Offensive rebound by M. Smart,,113,114
1OT,3:56.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Smart),,116,114
1OT,3:40.0,,B. Beal misses 2-pt jump shot from 16 ft,116,114
1OT,3:37.0,Defensive rebound by J. Tatum,,116,114
1OT,3:28.0,M. Morris misses 3-pt jump shot from 26 ft,,116,114
1OT,3:26.0,Offensive rebound by M. Smart,,116,114
1OT,3:25.0,M. Smart makes 2-pt layup from 1 ft,,118,114
1OT,3:24.0,,Washington full timeout,118,114
1OT,3:12.0,,M. Morris misses 2-pt hook shot from 8 ft,118,114
1OT,3:11.0,Defensive rebound by J. Tatum,,118,114
1OT,2:58.0,K. Irving makes 2-pt jump shot from 3 ft,,120,114
1OT,2:41.0,,J. Wall makes 2-pt layup from 1 ft,120,116
1OT,2:22.0,K. Irving misses 2-pt jump shot from 18 ft,,120,116
1OT,2:20.0,,Defensive rebound by B. Beal,120,116
1OT,2:10.0,,J. Wall makes 2-pt layup from 2 ft,120,118
1OT,2:02.0,Personal take foul by K. Oubre (drawn by K. Irving),,120,118
1OT,2:02.0,,Washington full timeout,120,118
1OT,2:02.0,,T. Satoranský enters the game for J. Wall,120,118
1OT,1:47.0,M. Morris misses 2-pt jump shot from 21 ft,,120,118
1OT,1:45.0,,Defensive rebound by M. Morris,120,118
1OT,1:33.0,,K. Oubre makes 3-pt jump shot from 27 ft (assist by B. Beal),120,121
1OT,1:17.0,Shooting foul by T. Satoranský (drawn by K. Irving),,120,121
1OT,1:17.0,K. Irving makes free throw 1 of 2,,121,121
1OT,1:17.0,,J. Wall enters the game for T. Satoranský,121,121
1OT,1:17.0,K. Irving makes free throw 2 of 2,,122,121
1OT,1:00.0,,B. Beal misses 2-pt jump shot from 8 ft,122,121
1OT,0:59.0,,Offensive rebound by M. Morris,122,121
1OT,0:58.0,,M. Morris makes 2-pt layup from 3 ft,122,123
1OT,0:38.0,K. Irving makes 3-pt jump shot from 26 ft,,125,123
1OT,0:30.0,,J. Wall makes 2-pt layup from 2 ft,125,125
1OT,0:17.0,K. Irving makes 3-pt jump shot from 31 ft,,128,125
1OT,0:11.0,,B. Beal misses 3-pt jump shot from 30 ft,128,125
1OT,0:07.0,,Offensive rebound by J. Green,128,125
1OT,0:05.0,,J. Wall misses 3-pt jump shot from 25 ft,128,125
1OT,0:03.0,Defensive rebound by Team,,128,125
1OT,0:03.0,Boston full timeout,,128,125
1OT,0:02.0,Personal take foul by M. Morris (drawn by K. Irving),,128,125
1OT,0:02.0,,T. Bryant enters the game for M. Morris,128,125
1OT,0:02.0,K. Irving makes free throw 1 of 2,,129,125
1OT,0:02.0,K. Irving makes free throw 2 of 2,,130,125
1OT,0:00.0,,J. Green misses 3-pt jump shot from 61 ft,130,125
1OT,0:00.0,,Offensive rebound by Team,130,125
