QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
4,5:47.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Butler),95,97
4,5:38.0,R. Westbrook makes 2-pt layup from 5 ft,,97,97
4,5:38.0,,Violation by Team (def goaltending),97,97
4,5:25.0,,M. Muscala makes 2-pt jump shot from 13 ft (assist by L. Shamet),97,99
4,5:08.0,P. George makes 3-pt jump shot from 27 ft (assist by S. Adams),,100,99
4,4:52.0,,W. Chandler misses 3-pt jump shot from 25 ft,100,99
4,4:49.0,Defensive rebound by R. Westbrook,,100,99
4,4:44.0,R. Westbrook misses 2-pt jump shot from 19 ft,,100,99
4,4:42.0,Offensive rebound by S. Adams,,100,99
4,4:41.0,Personal foul by M. Muscala (drawn by S. Adams),,100,99
4,4:41.0,,J. Embiid enters the game for M. Muscala,100,99
4,4:28.0,T. Ferguson misses 3-pt jump shot from 26 ft,,100,99
4,4:25.0,,Defensive rebound by B. Simmons,100,99
4,4:21.0,,Personal foul by J. Grant (drawn by B. Simmons),100,99
4,4:21.0,,B. Simmons misses free throw 1 of 2,100,99
4,4:21.0,,Offensive rebound by Team,100,99
4,4:21.0,Oklahoma City full timeout,,100,99
4,4:21.0,,J. Redick enters the game for L. Shamet,100,99
4,4:21.0,,B. Simmons misses free throw 2 of 2,100,99
4,4:15.0,Defensive rebound by R. Westbrook,,100,99
4,3:58.0,P. George misses 3-pt jump shot from 27 ft,,100,99
4,3:55.0,Offensive rebound by R. Westbrook,,100,99
4,3:53.0,P. George makes 2-pt dunk from 2 ft (assist by R. Westbrook),,102,99
4,3:39.0,,Turnover by B. Simmons (bad pass; steal by P. George),102,99
4,3:30.0,P. George makes 3-pt jump shot from 27 ft,,105,99
4,3:22.0,,Personal take foul by R. Westbrook (drawn by B. Simmons),105,99
4,3:22.0,,B. Simmons makes free throw 1 of 2,105,100
4,3:22.0,,B. Simmons makes free throw 2 of 2,105,101
4,3:13.0,Personal foul by W. Chandler (drawn by P. George),,105,101
4,3:03.0,P. George misses 2-pt jump shot from 19 ft,,105,101
4,3:00.0,,Defensive rebound by J. Embiid,105,101
4,2:47.0,,Personal foul by R. Westbrook (drawn by B. Simmons),105,101
4,2:47.0,,B. Simmons misses free throw 1 of 2,105,101
4,2:47.0,,Offensive rebound by Team,105,101
4,2:47.0,,B. Simmons makes free throw 2 of 2,105,102
4,2:43.0,Shooting foul by B. Simmons (drawn by R. Westbrook),,105,102
4,2:43.0,R. Westbrook misses free throw 1 of 2,,105,102
4,2:43.0,Offensive rebound by Team,,105,102
4,2:43.0,R. Westbrook makes free throw 2 of 2,,106,102
4,2:29.0,,J. Embiid makes 2-pt dunk from 1 ft,106,104
4,2:09.0,Turnover by P. George (out of bounds lost ball),,106,104
4,1:48.0,,Turnover by J. Redick (lost ball; steal by T. Ferguson),106,104
4,1:46.0,,Loose ball foul by J. Embiid (drawn by R. Westbrook),106,104
4,1:46.0,Violation by Team (delay of game),,106,104
4,1:46.0,R. Westbrook makes free throw 1 of 2,,107,104
4,1:46.0,R. Westbrook makes free throw 2 of 2,,108,104
4,1:26.0,,J. Embiid misses 3-pt jump shot from 25 ft,108,104
4,1:24.0,Defensive rebound by R. Westbrook,,108,104
4,1:17.0,R. Westbrook misses 3-pt jump shot from 26 ft,,108,104
4,1:14.0,,Defensive rebound by J. Butler,108,104
4,1:08.0,,J. Butler makes 3-pt jump shot from 26 ft,108,107
4,0:50.0,R. Westbrook misses 3-pt jump shot from 26 ft,,108,107
4,0:47.0,Offensive rebound by S. Adams,,108,107
4,0:42.0,T. Ferguson makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,111,107
4,0:41.0,,Philadelphia full timeout,111,107
4,0:38.0,,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),111,109
4,0:38.0,,Shooting foul by J. Grant (drawn by J. Butler),111,109
4,0:38.0,,J. Butler makes free throw 1 of 1,111,110
4,0:20.0,Shooting foul by J. Butler (drawn by P. George),,111,110
4,0:20.0,P. George makes free throw 1 of 2,,112,110
4,0:20.0,P. George makes free throw 2 of 2,,113,110
4,0:20.0,,Philadelphia full timeout,113,110
4,0:14.0,,Shooting foul by R. Westbrook (drawn by J. Embiid),113,110
4,0:14.0,D. Schröder enters the game for R. Westbrook,,113,110
4,0:14.0,,J. Embiid makes free throw 1 of 3,113,111
4,0:14.0,,J. Embiid makes free throw 2 of 3,113,112
4,0:14.0,Oklahoma City full timeout,,113,112
4,0:14.0,,J. Embiid makes free throw 3 of 3,113,113
4,0:10.0,Turnover by D. Schröder (bad pass; steal by J. Butler),,113,113
4,0:06.0,,J. Butler makes 2-pt layup at rim,113,115
4,0:06.0,Oklahoma City full timeout,,113,115
4,0:05.0,P. George makes 3-pt jump shot from 26 ft (assist by T. Ferguson),,116,115
4,0:05.0,Shooting foul by J. Butler (drawn by P. George),,116,115
4,0:05.0,P. George makes free throw 1 of 1,,117,115
4,0:00.0,,J. Butler misses 3-pt jump shot from 27 ft,117,115
4,0:00.0,,Offensive rebound by Team,117,115
