QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
4,2:34.0,,Turnover by C. Frye (lost ball; steal by Q. Pondexter),106,83
4,2:31.0,Q. Pondexter makes 2-pt layup from 1 ft,,108,83
4,2:23.0,,Turnover by D. Adel (lost ball; steal by Q. Pondexter),108,83
4,2:23.0,Personal foul by D. Adel (drawn by Q. Pondexter),,108,83
4,2:23.0,Q. Pondexter makes free throw 1 of 2,,109,83
4,2:23.0,Q. Pondexter makes free throw 2 of 2,,110,83
4,2:11.0,,D. Adel makes 3-pt jump shot from 24 ft (assist by L. Nance),110,86
4,1:53.0,M. Belinelli misses 3-pt jump shot from 25 ft,,110,86
4,1:51.0,,Defensive rebound by C. Frye,110,86
4,1:35.0,,C. Frye misses 3-pt jump shot from 25 ft,110,86
4,1:34.0,,Offensive rebound by D. Adel,110,86
4,1:34.0,,Shooting foul by D. Motiejūnas (drawn by D. Adel),110,86
4,1:34.0,,D. Adel makes free throw 1 of 2,110,87
4,1:34.0,,D. Nwaba enters the game for C. Frye,110,87
4,1:34.0,,D. Adel makes free throw 2 of 2,110,88
4,1:18.0,Q. Pondexter makes 2-pt jump shot from 10 ft (assist by D. Motiejūnas),,112,88
4,1:09.0,,C. Sexton misses 2-pt layup from 3 ft,112,88
4,1:09.0,Defensive rebound by D. Motiejūnas,,112,88
4,0:59.0,Turnover by Q. Pondexter (bad pass; steal by C. Osman),,112,88
4,0:43.0,,Shooting foul by D. Motiejūnas (drawn by C. Sexton),112,88
4,0:43.0,,C. Sexton makes free throw 1 of 2,112,89
4,0:43.0,,C. Sexton makes free throw 2 of 2,112,90
4,0:31.0,D. Cunningham misses 2-pt jump shot from 21 ft,,112,90
4,0:27.0,,Defensive rebound by D. Nwaba,112,90
4,0:04.0,,Turnover by Team (shot clock),112,90
