QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
4,4:30.0,M. Scott misses 3-pt jump shot from 27 ft,,98,95
4,4:30.0,,Defensive rebound by K. Dunn,98,95
4,4:15.0,,Z. LaVine misses 2-pt jump shot from 8 ft,98,95
4,4:14.0,,Offensive rebound by R. Lopez,98,95
4,4:14.0,,R. Lopez misses 2-pt layup from 1 ft,98,95
4,4:14.0,,Offensive rebound by Team,98,95
4,4:06.0,,L. Markkanen misses 2-pt jump shot from 8 ft,98,95
4,4:06.0,,Offensive rebound by R. Lopez,98,95
4,4:06.0,,Shooting foul by M. Scott (drawn by R. Lopez),98,95
4,4:06.0,,R. Lopez makes free throw 1 of 2,98,96
4,4:06.0,,R. Lopez misses free throw 2 of 2,98,96
4,4:04.0,Defensive rebound by B. Simmons,,98,96
4,3:52.0,Turnover by J. Redick (bad pass),,98,96
4,3:41.0,,Z. LaVine makes 2-pt layup from 2 ft,98,98
4,3:29.0,B. Simmons makes 2-pt layup from 2 ft,,100,98
4,3:16.0,,O. Porter misses 2-pt layup from 2 ft,100,98
4,3:14.0,Defensive rebound by M. Scott,,100,98
4,3:09.0,Shooting foul by L. Markkanen (drawn by B. Simmons),,100,98
4,3:09.0,B. Simmons makes free throw 1 of 2,,101,98
4,3:09.0,B. Simmons misses free throw 2 of 2,,101,98
4,3:06.0,Offensive rebound by T. Harris,,101,98
4,3:05.0,J. Redick misses 3-pt jump shot from 26 ft,,101,98
4,3:01.0,,Defensive rebound by R. Lopez,101,98
4,2:44.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by K. Dunn),101,101
4,2:29.0,Offensive foul by B. Simmons (drawn by K. Dunn),,101,101
4,2:29.0,Turnover by B. Simmons (offensive foul),,101,101
4,2:13.0,,Turnover by Z. LaVine (bad pass; steal by B. Simmons),101,101
4,2:11.0,Shooting foul by O. Porter (drawn by T. Harris),,101,101
4,2:11.0,T. Harris makes free throw 1 of 2,,102,101
4,2:11.0,T. Harris makes free throw 2 of 2,,103,101
4,1:58.0,,K. Dunn misses 2-pt jump shot from 14 ft,103,101
4,1:54.0,,Offensive rebound by R. Lopez,103,101
4,1:53.0,,Turnover by R. Lopez (lost ball; steal by J. Butler),103,101
4,1:52.0,Personal foul by L. Markkanen (drawn by J. Butler),,103,101
4,1:52.0,J. Butler makes free throw 1 of 2,,104,101
4,1:52.0,J. Butler makes free throw 2 of 2,,105,101
4,1:44.0,,Z. LaVine makes 2-pt jump shot from 10 ft,105,103
4,1:26.0,J. Butler misses 3-pt jump shot from 26 ft,,105,103
4,1:25.0,,Defensive rebound by Team,105,103
4,1:25.0,Loose ball foul by J. Butler (drawn by K. Dunn),,105,103
4,1:14.0,,Z. LaVine misses 2-pt jump shot from 17 ft,105,103
4,1:09.0,,Offensive rebound by K. Dunn,105,103
4,1:00.0,,Turnover by L. Markkanen (lost ball; steal by B. Simmons),105,103
4,0:58.0,Turnover by B. Simmons (out of bounds lost ball),,105,103
4,0:58.0,,Chicago full timeout,105,103
4,0:46.0,,Z. LaVine makes 2-pt jump shot from 7 ft,105,105
4,0:34.0,T. Harris misses 2-pt layup from 3 ft,,105,105
4,0:31.0,,Defensive rebound by K. Dunn,105,105
4,0:17.0,,Shooting foul by M. Scott (drawn by R. Lopez),105,105
4,0:17.0,,R. Lopez misses free throw 1 of 2,105,105
4,0:17.0,,Offensive rebound by Team,105,105
4,0:17.0,,R. Lopez makes free throw 2 of 2,105,106
4,0:17.0,Philadelphia full timeout,,105,106
4,0:17.0,,W. Selden enters the game for R. Lopez,105,106
4,0:04.0,Personal foul by Z. LaVine (drawn by J. Butler),,105,106
4,0:04.0,J. Butler makes free throw 1 of 2,,106,106
4,0:04.0,J. Butler makes free throw 2 of 2,,107,106
4,0:04.0,,Chicago full timeout,107,106
4,0:04.0,J. Ennis enters the game for J. Redick,,107,106
4,0:04.0,,R. Lopez enters the game for W. Selden,107,106
4,0:01.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Lopez),107,108
4,0:01.0,,Shooting foul by M. Scott (drawn by Z. LaVine),107,108
4,0:01.0,,Z. LaVine misses free throw 1 of 1,107,108
4,0:00.0,Defensive rebound by J. Butler,,107,108
4,0:00.0,Philadelphia full timeout,,107,108
