QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
4,4:14.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by Q. Cook),95,106
4,4:04.0,Shooting foul by Q. Cook (drawn by J. Lin),,95,106
4,3:56.0,A. Len makes 2-pt hook shot from 8 ft (assist by J. Lin),,97,106
4,3:33.0,,Q. Cook misses 3-pt jump shot from 25 ft,97,106
4,3:29.0,Defensive rebound by A. Len,,97,106
4,3:23.0,K. Bazemore misses 2-pt layup from 2 ft,,97,106
4,3:22.0,Offensive rebound by A. Poythress,,97,106
4,3:22.0,A. Poythress misses 2-pt layup from 1 ft,,97,106
4,3:21.0,,Defensive rebound by D. Jones,97,106
4,3:12.0,,Offensive foul by K. Durant (drawn by J. Lin),97,106
4,3:12.0,,Turnover by K. Durant (offensive foul),97,106
4,2:56.0,A. Len misses 2-pt jump shot from 5 ft,,97,106
4,2:55.0,,Defensive rebound by Team,97,106
4,2:55.0,Loose ball foul by A. Len (drawn by Q. Cook),,97,106
4,2:55.0,Atlanta full timeout,,97,106
4,2:39.0,,K. Thompson misses 3-pt jump shot from 26 ft,97,106
4,2:35.0,Defensive rebound by Team,,97,106
4,2:26.0,K. Bazemore makes 2-pt jump shot from 11 ft (assist by J. Lin),,99,106
4,2:07.0,,K. Durant misses 2-pt jump shot from 15 ft,99,106
4,2:05.0,Defensive rebound by J. Lin,,99,106
4,2:00.0,Turnover by J. Lin (bad pass; steal by K. Durant),,99,106
4,1:46.0,,K. Thompson misses 3-pt jump shot from 22 ft,99,106
4,1:43.0,Defensive rebound by Team,,99,106
4,1:43.0,,Loose ball foul by D. Jones (drawn by K. Bazemore),99,106
4,1:43.0,K. Bazemore makes free throw 1 of 2,,100,106
4,1:43.0,,K. Looney enters the game for D. Jones,100,106
4,1:43.0,K. Bazemore makes free throw 2 of 2,,101,106
4,1:26.0,,Q. Cook misses 2-pt jump shot from 16 ft,101,106
4,1:25.0,Defensive rebound by A. Len,,101,106
4,1:01.0,K. Bazemore misses 3-pt jump shot from 26 ft,,101,106
4,0:59.0,,Defensive rebound by K. Thompson,101,106
4,0:43.0,,K. Durant makes 2-pt jump shot from 14 ft,101,108
4,0:37.0,J. Lin misses 2-pt layup from 2 ft,,101,108
4,0:36.0,,Defensive rebound by K. Durant,101,108
4,0:31.0,,Personal foul by T. Prince (drawn by K. Durant),101,108
4,0:26.0,,Golden State full timeout,101,108
4,0:26.0,D. Bembry enters the game for A. Len,,101,108
4,0:20.0,,Personal foul by D. Bembry (drawn by K. Durant),101,108
4,0:20.0,,K. Durant makes free throw 1 of 2,101,109
4,0:20.0,,K. Durant makes free throw 2 of 2,101,110
4,0:06.0,T. Prince makes 2-pt layup from 3 ft,,103,110
