QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
4,0:33.0,Z. LaVine makes free throw 1 of 1,,99,91
4,0:23.0,,Shooting foul by L. Markkanen (drawn by J. Green),99,91
4,0:23.0,,J. Green misses free throw 1 of 2,99,91
4,0:23.0,,Offensive rebound by Team,99,91
4,0:23.0,,J. Green makes free throw 2 of 2,99,92
4,0:23.0,Chicago full timeout,,99,92
4,0:21.0,Personal foul by T. Satoranský (drawn by Z. LaVine),,99,92
4,0:21.0,Z. LaVine makes free throw 1 of 2,,100,92
4,0:21.0,Z. LaVine makes free throw 2 of 2,,101,92
4,0:13.0,,J. Green misses 3-pt jump shot from 30 ft,101,92
4,0:10.0,Defensive rebound by W. Carter,,101,92
