QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
4,2:10.0,,T. Ariza makes free throw 2 of 2,104,101
4,1:53.0,D. Booker misses 3-pt jump shot from 28 ft,,104,101
4,1:50.0,,Defensive rebound by T. Ariza,104,101
4,1:43.0,,J. Green makes 3-pt jump shot from 26 ft (assist by T. Ariza),104,104
4,1:34.0,Phoenix full timeout,,104,104
4,1:23.0,M. Bridges misses 2-pt layup from 4 ft,,104,104
4,1:21.0,,Defensive rebound by T. Bryant,104,104
4,1:09.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Satoranský),104,107
4,0:54.0,D. Booker makes 2-pt jump shot from 5 ft,,106,107
4,0:35.0,,T. Ariza misses 3-pt jump shot from 23 ft,106,107
4,0:32.0,Defensive rebound by T. Warren,,106,107
4,0:29.0,K. Oubre makes 2-pt layup from 1 ft (assist by T. Warren),,108,107
4,0:29.0,,Washington full timeout,108,107
4,0:08.0,,T. Satoranský misses 3-pt jump shot from 26 ft,108,107
4,0:04.0,Defensive rebound by D. Ayton,,108,107
4,0:04.0,Personal foul by B. Beal (drawn by D. Ayton),,108,107
4,0:04.0,D. Ayton misses free throw 1 of 2,,108,107
4,0:04.0,Offensive rebound by Team,,108,107
4,0:04.0,D. Ayton makes free throw 2 of 2,,109,107
4,0:04.0,,Washington full timeout,109,107
4,0:03.0,,Shooting foul by T. Warren (drawn by J. Green),109,107
4,0:03.0,,J. Green makes free throw 1 of 2,109,108
4,0:03.0,R. Holmes enters the game for M. Bridges,,109,108
4,0:03.0,,J. Green makes free throw 2 of 2,109,109
4,0:03.0,Phoenix full timeout,,109,109
4,0:03.0,J. Crawford enters the game for R. Holmes,,109,109
4,0:01.0,D. Booker misses 3-pt jump shot from 30 ft,,109,109
4,0:00.0,Offensive rebound by Team,,109,109
1OT,4:42.0,,Turnover by B. Beal (bad pass),109,109
1OT,4:20.0,Shooting foul by T. Bryant (drawn by T. Warren),,109,109
1OT,4:20.0,T. Warren makes free throw 1 of 2,,110,109
1OT,4:20.0,T. Warren makes free throw 2 of 2,,111,109
1OT,4:00.0,,B. Beal misses 2-pt layup from 2 ft,111,109
1OT,3:57.0,,Offensive rebound by B. Beal,111,109
1OT,3:54.0,,Shooting foul by D. Ayton (drawn by J. Green),111,109
1OT,3:54.0,,J. Green makes free throw 1 of 2,111,110
1OT,3:54.0,J. Crawford enters the game for M. Bridges,,111,110
1OT,3:54.0,,J. Green makes free throw 2 of 2,111,111
1OT,3:41.0,D. Booker misses 2-pt jump shot from 3 ft,,111,111
1OT,3:36.0,Offensive rebound by D. Ayton,,111,111
1OT,3:36.0,D. Ayton makes 2-pt dunk at rim,,113,111
1OT,3:26.0,,J. Green misses 3-pt jump shot from 27 ft,113,111
1OT,3:23.0,,Offensive rebound by T. Bryant,113,111
1OT,3:22.0,,B. Beal makes 3-pt jump shot from 28 ft (assist by T. Bryant),113,114
1OT,3:04.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Ayton),,116,114
1OT,2:44.0,,T. Bryant makes 2-pt layup from 3 ft (assist by B. Beal),116,116
1OT,2:26.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker),,118,116
1OT,1:58.0,,B. Beal misses 3-pt jump shot from 27 ft,118,116
1OT,1:56.0,,Offensive rebound by T. Bryant,118,116
1OT,1:56.0,,T. Bryant makes 2-pt layup from 1 ft,118,118
1OT,1:37.0,Turnover by D. Ayton (traveling),,118,118
1OT,1:22.0,,Personal foul by T. Warren (drawn by B. Beal),118,118
1OT,1:14.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Satoranský),118,120
1OT,1:01.0,T. Warren misses 2-pt jump shot from 8 ft,,118,120
1OT,1:01.0,Offensive rebound by D. Ayton,,118,120
1OT,0:59.0,D. Ayton makes 2-pt layup from 2 ft,,120,120
1OT,0:59.0,Shooting foul by T. Bryant (drawn by D. Ayton),,120,120
1OT,0:59.0,D. Ayton makes free throw 1 of 1,,121,120
1OT,0:48.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),121,122
1OT,0:33.0,J. Crawford misses 2-pt jump shot from 17 ft,,121,122
1OT,0:29.0,,Defensive rebound by B. Beal,121,122
1OT,0:10.0,,Turnover by T. Ariza (lost ball; steal by D. Booker),121,122
1OT,0:06.0,Shooting foul by B. Beal (drawn by D. Booker),,121,122
1OT,0:06.0,D. Booker makes free throw 1 of 2,,122,122
1OT,0:06.0,M. Bridges enters the game for J. Crawford,,122,122
1OT,0:06.0,D. Booker misses free throw 2 of 2,,122,122
1OT,0:06.0,,Defensive rebound by T. Bryant,122,122
1OT,0:06.0,,Washington full timeout,122,122
1OT,0:00.0,,B. Beal misses 2-pt jump shot from 17 ft,122,122
1OT,0:00.0,,Offensive rebound by Team,122,122
2OT,4:43.0,,T. Bryant makes 2-pt dunk from 3 ft (assist by T. Satoranský),122,124
2OT,4:18.0,J. Crawford makes 2-pt jump shot from 17 ft,,124,124
2OT,4:00.0,,T. Satoranský misses 2-pt jump shot from 9 ft,124,124
2OT,3:58.0,Defensive rebound by D. Ayton,,124,124
2OT,3:39.0,D. Booker makes 2-pt jump shot from 7 ft,,126,124
2OT,3:16.0,,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),126,126
2OT,3:00.0,Shooting foul by T. Satoranský (drawn by D. Booker),,126,126
2OT,3:00.0,D. Booker makes free throw 1 of 2,,127,126
2OT,3:00.0,D. Booker makes free throw 2 of 2,,128,126
2OT,2:45.0,,Turnover by B. Beal (lost ball; steal by D. Ayton),128,126
2OT,2:38.0,Turnover by K. Oubre (traveling),,128,126
2OT,2:22.0,,Personal foul by D. Ayton (drawn by T. Ariza),128,126
2OT,2:16.0,,Shooting foul by D. Ayton (drawn by T. Satoranský),128,126
2OT,2:16.0,,T. Satoranský makes free throw 1 of 2,128,127
2OT,2:16.0,R. Holmes enters the game for D. Ayton,,128,127
2OT,2:16.0,,T. Satoranský makes free throw 2 of 2,128,128
2OT,2:02.0,D. Booker makes 2-pt jump shot from 10 ft,,130,128
2OT,1:39.0,,T. Satoranský misses 3-pt jump shot from 25 ft (block by T. Warren),130,128
2OT,1:35.0,,Offensive rebound by T. Satoranský,130,128
2OT,1:35.0,,T. Ariza misses 3-pt jump shot from 25 ft,130,128
2OT,1:35.0,,Offensive rebound by Team,130,128
2OT,1:30.0,,B. Beal misses 3-pt jump shot from 24 ft,130,128
2OT,1:26.0,Defensive rebound by T. Warren,,130,128
2OT,1:04.0,D. Booker misses 3-pt jump shot from 48 ft,,130,128
2OT,1:04.0,Offensive rebound by Team,,130,128
2OT,1:04.0,Turnover by Team (shot clock),,130,128
2OT,0:47.0,,Personal foul by D. Booker (drawn by T. Bryant),130,128
2OT,0:40.0,,Shooting foul by D. Booker (drawn by T. Bryant),130,128
2OT,0:40.0,,T. Bryant makes free throw 1 of 2,130,129
2OT,0:40.0,,T. Bryant makes free throw 2 of 2,130,130
2OT,0:24.0,R. Holmes makes 2-pt dunk from 2 ft (assist by J. Crawford),,132,130
2OT,0:12.0,,B. Beal misses 2-pt layup from 2 ft,132,130
2OT,0:12.0,,Offensive rebound by T. Bryant,132,130
2OT,0:12.0,,T. Bryant makes 2-pt layup from 1 ft,132,132
2OT,0:12.0,Phoenix full timeout,,132,132
2OT,0:01.0,D. Booker misses 2-pt jump shot from 9 ft,,132,132
2OT,0:00.0,Offensive rebound by Team,,132,132
3OT,4:46.0,,B. Beal misses 3-pt jump shot from 27 ft,132,132
3OT,4:43.0,Defensive rebound by T. Warren,,132,132
3OT,4:25.0,K. Oubre makes 3-pt jump shot from 23 ft,,135,132
3OT,4:13.0,,T. Satoranský makes 2-pt layup from 2 ft,135,134
3OT,3:50.0,J. Crawford misses 2-pt jump shot from 14 ft,,135,134
3OT,3:47.0,,Defensive rebound by T. Bryant,135,134
3OT,3:39.0,,B. Beal makes 2-pt layup from 1 ft,135,136
3OT,3:19.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Crawford),,137,136
3OT,2:59.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),137,139
3OT,2:42.0,T. Warren makes 2-pt layup from 4 ft,,139,139
3OT,2:42.0,Shooting foul by B. Beal (drawn by T. Warren),,139,139
3OT,2:42.0,T. Warren misses free throw 1 of 1,,139,139
3OT,2:40.0,,Defensive rebound by T. Ariza,139,139
3OT,2:29.0,,B. Beal misses 3-pt jump shot from 25 ft,139,139
3OT,2:27.0,,Offensive rebound by Team,139,139
3OT,2:14.0,,B. Beal makes 2-pt layup from 4 ft,139,141
3OT,2:14.0,,Shooting foul by R. Holmes (drawn by B. Beal),139,141
3OT,2:14.0,,B. Beal makes free throw 1 of 1,139,142
3OT,2:02.0,T. Warren makes 2-pt layup from 3 ft,,141,142
3OT,1:50.0,,T. Ariza misses 2-pt layup from 2 ft,141,142
3OT,1:49.0,,Offensive rebound by T. Ariza,141,142
3OT,1:48.0,,T. Ariza misses 2-pt layup from 3 ft (block by T. Warren),141,142
3OT,1:48.0,Defensive rebound by T. Warren,,141,142
3OT,1:42.0,K. Oubre misses 3-pt jump shot from 24 ft,,141,142
3OT,1:39.0,,Defensive rebound by T. Bryant,141,142
3OT,1:24.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),141,144
3OT,1:10.0,Phoenix full timeout,,141,144
3OT,1:10.0,Personal foul by T. Ariza (drawn by R. Holmes),,141,144
3OT,1:06.0,D. Booker misses 3-pt jump shot from 26 ft,,141,144
3OT,1:03.0,Offensive rebound by R. Holmes,,141,144
3OT,0:54.0,T. Warren makes 3-pt jump shot from 23 ft (assist by D. Booker),,144,144
3OT,0:40.0,,B. Beal makes 2-pt layup from 2 ft,144,146
3OT,0:28.0,T. Warren misses 2-pt jump shot from 7 ft,,144,146
3OT,0:25.0,,Defensive rebound by B. Beal,144,146
3OT,0:16.0,,Personal take foul by J. Crawford (drawn by J. Green),144,146
3OT,0:16.0,,Washington full timeout,144,146
3OT,0:16.0,M. Bridges enters the game for D. Booker,,144,146
3OT,0:14.0,,Personal take foul by K. Oubre (drawn by T. Satoranský),144,146
3OT,0:14.0,,T. Satoranský misses free throw 1 of 2,144,146
3OT,0:14.0,,Offensive rebound by Team,144,146
3OT,0:14.0,,T. Satoranský makes free throw 2 of 2,144,147
3OT,0:14.0,Phoenix full timeout,,144,147
3OT,0:14.0,D. Booker enters the game for M. Bridges,,144,147
3OT,0:11.0,D. Booker makes 2-pt layup from 2 ft (assist by J. Crawford),,146,147
3OT,0:09.0,,Personal take foul by T. Warren (drawn by J. Green),146,147
3OT,0:09.0,,J. Green makes free throw 1 of 2,146,148
3OT,0:09.0,,R. Baker enters the game for T. Bryant,146,148
3OT,0:09.0,,J. Green makes free throw 2 of 2,146,149
