QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
4,0:36.0,,B. Caboclo enters the game for S. Mack,91,92
4,0:28.0,N. Jokić makes 2-pt hook shot from 7 ft,,93,92
4,0:10.0,,K. Anderson misses 2-pt jump shot from 7 ft,93,92
4,0:08.0,,Offensive rebound by K. Anderson,93,92
4,0:06.0,,K. Anderson misses 2-pt jump shot from 18 ft,93,92
4,0:03.0,,Offensive rebound by K. Anderson,93,92
4,0:03.0,,Turnover by K. Anderson (step out of bounds),93,92
4,0:03.0,M. Morris enters the game for P. Millsap,,93,92
4,0:03.0,Denver full timeout,,93,92
4,0:02.0,Personal take foul by K. Anderson (drawn by G. Harris),,93,92
4,0:02.0,M. Plumlee enters the game for M. Morris,,93,92
4,0:02.0,G. Harris makes free throw 1 of 2,,94,92
4,0:02.0,G. Harris makes free throw 2 of 2,,95,92
4,0:00.0,,M. Conley misses 3-pt jump shot from 42 ft,95,92
4,0:00.0,,Offensive rebound by Team,95,92
