QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
4,0:04.0,Personal take foul by J. Isaac (drawn by D. Booker),,116,115
4,0:04.0,,D. Augustin enters the game for J. Isaac,116,115
4,0:04.0,,T. Ross enters the game for J. Simmons,116,115
4,0:04.0,D. Booker makes free throw 1 of 2,,117,115
4,0:04.0,D. Booker makes free throw 2 of 2,,118,115
4,0:02.0,,Personal foul by K. Oubre (drawn by E. Fournier),118,115
4,0:00.0,,Shooting foul by M. Bridges (drawn by D. Augustin),118,115
4,0:00.0,,D. Augustin makes free throw 1 of 3,118,116
4,0:00.0,,D. Augustin makes free throw 2 of 3,118,117
4,0:00.0,,D. Augustin makes free throw 3 of 3,118,118
4,0:00.0,,M. Bamba enters the game for N. Vučević,118,118
4,0:00.0,D. Booker misses 3-pt jump shot from 25 ft,,118,118
4,0:00.0,Offensive rebound by Team,,118,118
1OT,4:50.0,Personal foul by T. Ross (drawn by K. Oubre),,118,118
1OT,4:42.0,Offensive foul by D. Ayton (drawn by N. Vučević),,118,118
1OT,4:42.0,Turnover by D. Ayton (offensive foul),,118,118
1OT,4:27.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by T. Ross),118,120
1OT,4:11.0,T. Warren makes 2-pt jump shot from 16 ft,,120,120
1OT,3:54.0,,N. Vučević misses 2-pt hook shot from 11 ft,120,120
1OT,3:51.0,Defensive rebound by D. Ayton,,120,120
1OT,3:36.0,Turnover by D. Booker (bad pass; steal by A. Gordon),,120,120
1OT,3:27.0,,T. Ross misses 3-pt jump shot from 27 ft,120,120
1OT,3:24.0,Defensive rebound by D. Ayton,,120,120
1OT,3:15.0,T. Warren makes 2-pt jump shot from 16 ft,,122,120
1OT,2:47.0,,D. Augustin misses 2-pt jump shot from 19 ft (block by D. Ayton),122,120
1OT,2:47.0,,Offensive rebound by Team,122,120
1OT,2:47.0,,Turnover by Team (shot clock),122,120
1OT,2:37.0,K. Oubre misses 3-pt jump shot from 26 ft,,122,120
1OT,2:34.0,,Defensive rebound by Team,122,120
1OT,2:23.0,,E. Fournier misses 2-pt layup from 5 ft (block by D. Ayton),122,120
1OT,2:19.0,Defensive rebound by T. Warren,,122,120
1OT,2:12.0,T. Warren misses 2-pt jump shot from 12 ft,,122,120
1OT,2:10.0,Offensive rebound by T. Warren,,122,120
1OT,2:07.0,Turnover by T. Warren (bad pass; steal by T. Ross),,122,120
1OT,1:53.0,,T. Ross misses 3-pt jump shot from 23 ft,122,120
1OT,1:50.0,,Offensive rebound by T. Ross,122,120
1OT,1:48.0,,T. Ross misses 2-pt layup from 2 ft,122,120
1OT,1:45.0,Defensive rebound by D. Ayton,,122,120
1OT,1:26.0,D. Booker misses 3-pt jump shot from 26 ft,,122,120
1OT,1:23.0,,Defensive rebound by E. Fournier,122,120
1OT,1:17.0,,Personal foul by T. Warren (drawn by E. Fournier),122,120
1OT,1:04.0,,A. Gordon misses 3-pt jump shot from 26 ft,122,120
1OT,1:01.0,Defensive rebound by D. Booker,,122,120
1OT,0:46.0,T. Warren misses 2-pt jump shot from 14 ft (block by A. Gordon),,122,120
1OT,0:46.0,Offensive rebound by Team,,122,120
1OT,0:46.0,Phoenix full timeout,,122,120
1OT,0:43.0,D. Booker misses 2-pt jump shot from 17 ft,,122,120
1OT,0:40.0,,Defensive rebound by A. Gordon,122,120
1OT,0:36.0,,T. Ross misses 3-pt jump shot from 25 ft,122,120
1OT,0:32.0,Defensive rebound by D. Booker,,122,120
1OT,0:11.0,D. Booker misses 2-pt jump shot from 14 ft,,122,120
1OT,0:10.0,Offensive rebound by M. Bridges,,122,120
1OT,0:10.0,M. Bridges misses 2-pt layup from 2 ft,,122,120
1OT,0:10.0,Offensive rebound by M. Bridges,,122,120
1OT,0:06.0,Turnover by M. Bridges (bad pass; steal by D. Augustin),,122,120
1OT,0:06.0,,Orlando full timeout,122,120
1OT,0:00.0,,E. Fournier misses 3-pt jump shot from 25 ft,122,120
1OT,0:00.0,,Offensive rebound by Team,122,120
