QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
4,3:31.0,,Personal foul by J. Richardson (drawn by J. Brunson),103,91
4,3:30.0,,Away from play foul by J. Johnson (drawn by L. Dončić),103,91
4,3:30.0,,L. Dončić misses free throw 1 of 1,103,91
4,3:30.0,,Offensive rebound by Team,103,91
4,3:25.0,,Turnover by L. Dončić (bad pass; steal by J. Winslow),103,91
4,3:20.0,Miami full timeout,,103,91
4,3:17.0,,Violation by Team (kicked ball),103,91
4,3:04.0,D. Waiters makes 2-pt layup from 3 ft (assist by J. Winslow),,105,91
4,3:04.0,Shooting foul by T. Hardaway (drawn by D. Waiters),,105,91
4,3:04.0,D. Waiters makes free throw 1 of 1,,106,91
4,2:47.0,,T. Hardaway makes 2-pt jump shot from 10 ft,106,93
4,2:47.0,,Shooting foul by J. Richardson (drawn by T. Hardaway),106,93
4,2:47.0,,T. Hardaway makes free throw 1 of 1,106,94
4,2:30.0,Personal foul by J. Brunson (drawn by J. Richardson),,106,94
4,2:30.0,J. Richardson misses free throw 1 of 2,,106,94
4,2:30.0,Offensive rebound by Team,,106,94
4,2:30.0,J. Richardson makes free throw 2 of 2,,107,94
4,2:19.0,,Shooting foul by D. Waiters (drawn by D. Finney-Smith),107,94
4,2:19.0,,D. Finney-Smith makes free throw 1 of 2,107,95
4,2:19.0,,R. Broekhoff enters the game for J. Brunson,107,95
4,2:19.0,,D. Powell enters the game for M. Kleber,107,95
4,2:19.0,,D. Finney-Smith makes free throw 2 of 2,107,96
4,2:00.0,J. Winslow makes 2-pt layup from 2 ft (assist by B. Adebayo),,109,96
4,1:44.0,Violation by Team (kicked ball),,109,96
4,1:39.0,,T. Hardaway misses 3-pt jump shot from 23 ft,109,96
4,1:35.0,Defensive rebound by B. Adebayo,,109,96
4,1:19.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,112,96
4,1:09.0,,Shooting foul by J. Winslow (drawn by D. Powell),112,96
4,1:09.0,,D. Powell makes free throw 1 of 2,112,97
4,1:09.0,,D. Powell makes free throw 2 of 2,112,98
4,0:49.0,D. Waiters misses 3-pt jump shot from 23 ft,,112,98
4,0:47.0,,Defensive rebound by D. Powell,112,98
4,0:36.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by R. Broekhoff),112,101
4,0:12.0,J. Winslow misses 3-pt jump shot from 27 ft,,112,101
4,0:11.0,Offensive rebound by Team,,112,101
4,0:11.0,Turnover by Team (shot clock),,112,101
