QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
4,4:36.0,,Defensive rebound by J. Bell,110,131
4,4:32.0,Personal foul by J. Bell (drawn by T. Brown),,110,131
4,4:32.0,,Turnover by J. Bell (turnover),110,131
4,4:12.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by J. McRae),,113,131
4,4:03.0,,Turnover by A. Iguodala (traveling),113,131
4,4:03.0,,J. Evans enters the game for A. Iguodala,113,131
4,3:51.0,J. McRae misses 3-pt jump shot from 29 ft,,113,131
4,3:50.0,Offensive rebound by T. Bryant,,113,131
4,3:44.0,Shooting foul by J. Evans (drawn by J. McRae),,113,131
4,3:44.0,T. Bryant makes free throw 1 of 2,,114,131
4,3:44.0,T. Bryant makes free throw 2 of 2,,115,131
4,3:32.0,,Q. Cook misses 2-pt jump shot from 16 ft,115,131
4,3:28.0,Defensive rebound by T. Bryant,,115,131
4,3:26.0,Turnover by A. Rivers (lost ball; steal by Q. Cook),,115,131
4,3:23.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by Q. Cook),115,133
4,3:09.0,T. Bryant misses 3-pt jump shot from 27 ft,,115,133
4,3:07.0,,Defensive rebound by J. Jerebko,115,133
4,2:50.0,,J. Jerebko misses 3-pt jump shot from 26 ft,115,133
4,2:48.0,Defensive rebound by J. McRae,,115,133
4,2:41.0,J. McRae misses 2-pt layup from 8 ft,,115,133
4,2:40.0,,Defensive rebound by A. McKinnie,115,133
4,2:33.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by J. Evans),115,136
4,2:20.0,A. Rivers misses 3-pt jump shot from 27 ft,,115,136
4,2:17.0,,Defensive rebound by A. McKinnie,115,136
4,2:12.0,,Q. Cook makes 2-pt layup from 2 ft (assist by J. Evans),115,138
4,2:05.0,Personal foul by J. Jerebko (drawn by T. Brown),,115,138
4,2:05.0,T. Brown makes free throw 1 of 2,,116,138
4,2:05.0,T. Brown makes free throw 2 of 2,,117,138
4,1:51.0,,J. Evans makes 2-pt jump shot from 17 ft (assist by J. Bell),117,140
4,1:39.0,T. Bryant misses 3-pt jump shot from 28 ft,,117,140
4,1:37.0,,Defensive rebound by J. Evans,117,140
4,1:27.0,,Q. Cook makes 2-pt layup from 4 ft (assist by J. Bell),117,142
4,1:11.0,T. Brown misses 2-pt jump shot from 11 ft,,117,142
4,1:10.0,,Defensive rebound by A. McKinnie,117,142
4,1:03.0,,Q. Cook misses 2-pt jump shot from 5 ft,117,142
4,1:03.0,Defensive rebound by Team,,117,142
4,0:47.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,120,142
4,0:39.0,,Turnover by Q. Cook (bad pass; steal by T. Brown),120,142
4,0:35.0,T. Brown makes 2-pt layup from 3 ft,,122,142
4,0:17.0,,J. Bell makes 2-pt layup from 3 ft,122,144
4,0:03.0,A. Rivers misses 3-pt jump shot from 29 ft,,122,144
4,0:00.0,Offensive rebound by Team,,122,144
