QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
4,6:04.0,,C. Swanigan makes 2-pt dunk from 1 ft (assist by Z. Collins),74,117
4,5:50.0,D. Jackson misses 2-pt jump shot from 14 ft,,74,117
4,5:49.0,,Defensive rebound by C. Swanigan,74,117
4,5:43.0,,Turnover by C. Swanigan (bad pass; steal by T. McConnell),74,117
4,5:37.0,T. McConnell makes 2-pt jump shot from 13 ft,,76,117
4,5:24.0,,Z. Collins misses 2-pt hook shot from 3 ft,76,117
4,5:23.0,Defensive rebound by J. Bolden,,76,117
4,5:19.0,Personal foul by A. Simons (drawn by D. Jackson),,76,117
4,5:19.0,D. Jackson makes free throw 1 of 2,,77,117
4,5:19.0,M. Muscala enters the game for A. Johnson,,77,117
4,5:19.0,L. Shamet enters the game for T. McConnell,,77,117
4,5:19.0,D. Jackson makes free throw 2 of 2,,78,117
4,5:06.0,,Turnover by W. Baldwin (bad pass; steal by L. Shamet),78,117
4,4:59.0,F. Korkmaz misses 2-pt layup from 3 ft,,78,117
4,4:58.0,Offensive rebound by J. Bolden,,78,117
4,4:56.0,L. Shamet misses 3-pt jump shot from 26 ft,,78,117
4,4:54.0,,Defensive rebound by C. Swanigan,78,117
4,4:44.0,,N. Stauskas misses 2-pt jump shot from 17 ft,78,117
4,4:42.0,Defensive rebound by J. Bolden,,78,117
4,4:38.0,D. Jackson misses 3-pt jump shot from 25 ft,,78,117
4,4:36.0,Offensive rebound by L. Shamet,,78,117
4,4:33.0,D. Jackson misses 3-pt jump shot from 25 ft,,78,117
4,4:30.0,,Defensive rebound by W. Baldwin,78,117
4,4:17.0,,W. Baldwin misses 2-pt layup from 3 ft,78,117
4,4:16.0,,Offensive rebound by C. Swanigan,78,117
4,4:15.0,,C. Swanigan misses 2-pt hook shot from 3 ft,78,117
4,4:15.0,Defensive rebound by M. Muscala,,78,117
4,4:11.0,Personal foul by W. Baldwin (drawn by D. Jackson),,78,117
4,4:11.0,D. Jackson makes free throw 1 of 2,,79,117
4,4:11.0,D. Jackson makes free throw 2 of 2,,80,117
4,3:59.0,,Z. Collins makes 2-pt dunk from 2 ft (assist by W. Baldwin),80,119
4,3:39.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by D. Jackson),,83,119
4,3:22.0,,N. Stauskas misses 2-pt jump shot from 15 ft,83,119
4,3:21.0,Defensive rebound by J. Bolden,,83,119
4,3:13.0,Shooting foul by C. Swanigan (drawn by F. Korkmaz),,83,119
4,3:13.0,F. Korkmaz makes free throw 1 of 2,,84,119
4,3:13.0,F. Korkmaz makes free throw 2 of 2,,85,119
4,3:02.0,,Turnover by W. Baldwin (bad pass; steal by D. Jackson),85,119
4,2:57.0,L. Shamet misses 3-pt jump shot from 25 ft,,85,119
4,2:55.0,,Defensive rebound by A. Simons,85,119
4,2:51.0,,Personal foul by F. Korkmaz (drawn by A. Simons),85,119
4,2:51.0,,Portland full timeout,85,119
4,2:49.0,,Turnover by N. Stauskas (back court),85,119
4,2:41.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,85,119
4,2:39.0,,Defensive rebound by C. Swanigan,85,119
4,2:21.0,,A. Simons misses 2-pt jump shot from 6 ft,85,119
4,2:20.0,,Offensive rebound by C. Swanigan,85,119
4,2:18.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by C. Swanigan),85,122
4,2:17.0,Philadelphia full timeout,,85,122
4,2:06.0,M. Muscala misses 3-pt jump shot from 25 ft,,85,122
4,2:05.0,Offensive rebound by Team,,85,122
4,2:02.0,L. Shamet misses 3-pt jump shot from 24 ft,,85,122
4,1:56.0,Offensive rebound by J. Bolden,,85,122
4,1:53.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by L. Shamet),,88,122
4,1:42.0,,Personal foul by L. Shamet (drawn by W. Baldwin),88,122
4,1:42.0,,W. Baldwin makes free throw 1 of 2,88,123
4,1:42.0,,W. Baldwin misses free throw 2 of 2,88,123
4,1:40.0,Defensive rebound by J. Bolden,,88,123
4,1:33.0,D. Jackson makes 2-pt layup from 2 ft,,90,123
4,1:22.0,,W. Baldwin makes 2-pt layup from 3 ft,90,125
4,1:10.0,D. Jackson makes 2-pt jump shot from 15 ft,,92,125
4,0:56.0,,Z. Collins makes 2-pt layup from 2 ft (assist by A. Simons),92,127
4,0:44.0,D. Jackson misses 2-pt layup from 3 ft,,92,127
4,0:42.0,,Defensive rebound by Z. Collins,92,127
4,0:38.0,,Shooting foul by J. Bolden (drawn by W. Baldwin),92,127
4,0:38.0,,W. Baldwin makes free throw 1 of 2,92,128
4,0:38.0,,W. Baldwin makes free throw 2 of 2,92,129
4,0:24.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by L. Shamet),,95,129
