QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
4,5:23.0,,Defensive rebound by E. Moore,97,112
4,5:23.0,,Personal foul by G. Harris (drawn by E. Moore),97,112
4,5:13.0,,A. Davis misses 2-pt jump shot from 9 ft,97,112
4,5:10.0,Defensive rebound by J. Murray,,97,112
4,5:05.0,M. Morris makes 3-pt jump shot from 24 ft (assist by G. Harris),,100,112
4,4:48.0,,D. Miller misses 3-pt jump shot from 26 ft,100,112
4,4:43.0,,Offensive rebound by A. Davis,100,112
4,4:43.0,,Personal foul by G. Harris (drawn by A. Davis),100,112
4,4:43.0,,A. Davis makes free throw 1 of 2,100,113
4,4:43.0,,A. Davis makes free throw 2 of 2,100,114
4,4:30.0,Personal foul by E. Moore (drawn by M. Morris),,100,114
4,4:25.0,G. Harris makes 3-pt jump shot from 26 ft (assist by M. Morris),,103,114
4,4:10.0,,Personal foul by G. Harris (drawn by A. Davis),103,114
4,4:10.0,,A. Davis makes free throw 1 of 2,103,115
4,4:10.0,,A. Davis makes free throw 2 of 2,103,116
4,3:56.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by N. Jokić),,106,116
4,3:48.0,,New Orleans full timeout,106,116
4,3:40.0,,J. Holiday misses 2-pt jump shot from 6 ft,106,116
4,3:38.0,Defensive rebound by J. Hernangómez,,106,116
4,3:35.0,Personal foul by A. Davis (drawn by N. Jokić),,106,116
4,3:35.0,,W. Johnson enters the game for D. Miller,106,116
4,3:29.0,N. Jokić misses 3-pt jump shot from 27 ft,,106,116
4,3:25.0,,Defensive rebound by J. Randle,106,116
4,3:06.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by J. Holiday),106,118
4,2:55.0,Turnover by J. Hernangómez (traveling),,106,118
4,2:55.0,,N. Mirotić enters the game for J. Randle,106,118
4,2:41.0,,Turnover by J. Holiday (lost ball; steal by G. Harris),106,118
4,2:33.0,J. Murray makes 2-pt jump shot from 13 ft (assist by M. Morris),,108,118
4,2:14.0,,A. Davis misses 2-pt jump shot from 5 ft,108,118
4,2:13.0,,Offensive rebound by A. Davis,108,118
4,2:11.0,,A. Davis makes 2-pt dunk from 1 ft,108,120
4,2:10.0,Denver full timeout,,108,120
4,1:58.0,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by N. Jokić),,111,120
4,1:38.0,,W. Johnson misses 3-pt jump shot from 22 ft,111,120
4,1:35.0,Defensive rebound by J. Hernangómez,,111,120
4,1:30.0,Offensive foul by J. Hernangómez (drawn by N. Mirotić),,111,120
4,1:30.0,Turnover by J. Hernangómez (offensive foul),,111,120
4,1:23.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by J. Holiday),111,123
4,1:09.0,J. Murray makes 2-pt layup from 4 ft (assist by N. Jokić),,113,123
4,0:45.0,,E. Moore makes 2-pt jump shot from 9 ft (assist by J. Holiday),113,125
4,0:37.0,N. Jokić makes 2-pt hook shot from 3 ft (assist by J. Hernangómez),,115,125
4,0:30.0,,J. Holiday misses 2-pt dunk from 1 ft (block by J. Murray),115,125
4,0:28.0,Defensive rebound by J. Hernangómez,,115,125
4,0:21.0,J. Murray misses 3-pt jump shot from 26 ft,,115,125
4,0:19.0,,Defensive rebound by E. Moore,115,125
