QUARTER,TIME_REMAINING,NEW YORK_ACTION,PORTLAND_ACTION,NEW YORK_SCORE,PORTLAND_SCORE
4,4:54.0,K. Knox makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,87,101
4,4:39.0,,Offensive foul by C. McCollum (drawn by T. Hardaway),87,101
4,4:39.0,,Turnover by C. McCollum (offensive foul),87,101
4,4:39.0,,D. Lillard enters the game for S. Curry,87,101
4,4:39.0,,J. Nurkić enters the game for M. Leonard,87,101
4,4:32.0,N. Vonleh makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,90,101
4,4:20.0,,C. McCollum makes 2-pt jump shot from 2 ft (assist by J. Layman),90,103
4,4:20.0,,Shooting foul by T. Hardaway (drawn by C. McCollum),90,103
4,4:20.0,,C. McCollum makes free throw 1 of 1,90,104
4,4:20.0,,A. Aminu enters the game for Z. Collins,90,104
4,4:12.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,93,104
4,3:49.0,,J. Layman misses 2-pt jump shot from 8 ft,93,104
4,3:47.0,Defensive rebound by N. Vonleh,,93,104
4,3:40.0,E. Mudiay misses 2-pt jump shot from 5 ft,,93,104
4,3:38.0,,Defensive rebound by J. Nurkić,93,104
4,3:29.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),93,106
4,3:14.0,N. Vonleh misses 2-pt jump shot from 6 ft,,93,106
4,3:14.0,Offensive rebound by E. Freedom,,93,106
4,3:14.0,E. Freedom makes 2-pt layup from 2 ft,,95,106
4,3:14.0,Shooting foul by A. Aminu (drawn by E. Freedom),,95,106
4,3:14.0,,E. Turner enters the game for J. Layman,95,106
4,3:14.0,E. Freedom misses free throw 1 of 1,,95,106
4,3:12.0,Offensive rebound by N. Vonleh,,95,106
4,3:12.0,N. Vonleh misses 2-pt layup from 2 ft,,95,106
4,3:10.0,,Defensive rebound by J. Nurkić,95,106
4,3:00.0,,Shooting foul by K. Knox (drawn by J. Nurkić),95,106
4,3:00.0,,J. Nurkić misses free throw 1 of 2,95,106
4,3:00.0,,Offensive rebound by Team,95,106
4,3:00.0,,J. Nurkić makes free throw 2 of 2,95,107
4,2:48.0,E. Mudiay misses 2-pt layup from 1 ft,,95,107
4,2:44.0,,Defensive rebound by C. McCollum,95,107
4,2:30.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),95,109
4,2:30.0,,Shooting foul by K. Knox (drawn by J. Nurkić),95,109
4,2:30.0,M. Hezonja enters the game for T. Hardaway,,95,109
4,2:30.0,,J. Nurkić makes free throw 1 of 1,95,110
4,2:12.0,E. Mudiay makes 2-pt layup from 1 ft,,97,110
4,1:52.0,,A. Aminu misses 3-pt jump shot from 23 ft,97,110
4,1:51.0,,Offensive rebound by E. Turner,97,110
4,1:48.0,,Turnover by E. Turner (lost ball; steal by M. Hezonja),97,110
4,1:45.0,N. Vonleh makes 2-pt dunk from 1 ft (assist by K. Knox),,99,110
4,1:22.0,,Turnover by E. Turner (bad pass; steal by M. Hezonja),99,110
4,1:21.0,Shooting foul by C. McCollum (drawn by K. Knox),,99,110
4,1:21.0,K. Knox makes free throw 1 of 2,,100,110
4,1:21.0,K. Knox makes free throw 2 of 2,,101,110
4,1:06.0,,Personal foul by E. Freedom (drawn by J. Nurkić),101,110
4,1:06.0,,J. Nurkić makes free throw 1 of 2,101,111
4,1:06.0,,J. Nurkić misses free throw 2 of 2,101,111
4,1:04.0,Defensive rebound by N. Vonleh,,101,111
4,0:49.0,M. Hezonja misses 3-pt jump shot from 24 ft,,101,111
4,0:46.0,,Defensive rebound by E. Turner,101,111
4,0:25.0,,D. Lillard misses 2-pt jump shot from 16 ft,101,111
4,0:23.0,,Offensive rebound by Team,101,111
4,0:09.0,,Turnover by Team (shot clock),101,111
