QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
4,6:43.0,Personal take foul by J. Valančiūnas (drawn by R. Westbrook),,87,94
4,6:43.0,,Memphis full timeout,87,94
4,6:43.0,,J. Holiday enters the game for I. Rabb,87,94
4,6:32.0,D. Schröder misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),,87,94
4,6:29.0,Offensive rebound by D. Schröder,,87,94
4,6:25.0,R. Westbrook misses 3-pt jump shot from 26 ft,,87,94
4,6:23.0,,Defensive rebound by J. Valančiūnas,87,94
4,6:00.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft,87,96
4,5:49.0,R. Westbrook misses 2-pt layup from 3 ft (block by J. Valančiūnas),,87,96
4,5:45.0,,Defensive rebound by J. Valančiūnas,87,96
4,5:42.0,,T. Dorsey makes 2-pt layup from 1 ft,87,98
4,5:42.0,,Shooting foul by D. Burton (drawn by T. Dorsey),87,98
4,5:42.0,P. George enters the game for D. Burton,,87,98
4,5:42.0,,T. Dorsey misses free throw 1 of 1,87,98
4,5:40.0,Defensive rebound by P. George,,87,98
4,5:28.0,T. Ferguson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,90,98
4,5:04.0,,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by D. Wright),90,100
4,4:53.0,P. George misses 3-pt jump shot from 25 ft,,90,100
4,4:50.0,,Defensive rebound by T. Dorsey,90,100
4,4:42.0,,T. Dorsey makes 3-pt jump shot from 26 ft (assist by J. Holiday),90,103
4,4:41.0,Oklahoma City full timeout,,90,103
4,4:31.0,P. George misses 2-pt jump shot from 13 ft,,90,103
4,4:28.0,,Defensive rebound by B. Caboclo,90,103
4,4:07.0,,J. Holiday misses 3-pt jump shot from 23 ft,90,103
4,4:05.0,,Offensive rebound by T. Dorsey,90,103
4,3:54.0,,B. Caboclo misses 2-pt layup from 2 ft (block by S. Adams),90,103
4,3:49.0,,B. Caboclo misses 2-pt layup from 1 ft (block by S. Adams),90,103
4,3:49.0,,Offensive rebound by B. Caboclo,90,103
4,3:49.0,Defensive rebound by P. George,,90,103
4,3:43.0,P. George misses 3-pt jump shot from 26 ft,,90,103
4,3:38.0,,Defensive rebound by J. Holiday,90,103
4,3:30.0,,Personal foul by T. Ferguson (drawn by T. Dorsey),90,103
4,3:30.0,,T. Dorsey misses free throw 1 of 2,90,103
4,3:30.0,,Offensive rebound by Team,90,103
4,3:30.0,,T. Dorsey misses free throw 2 of 2,90,103
4,3:28.0,Defensive rebound by R. Westbrook,,90,103
4,3:19.0,R. Westbrook misses 3-pt jump shot from 25 ft,,90,103
4,3:16.0,Offensive rebound by S. Adams,,90,103
4,3:12.0,Turnover by R. Westbrook (lost ball; steal by D. Wright),,90,103
4,3:06.0,,Turnover by D. Wright (bad pass; steal by T. Ferguson),90,103
4,3:00.0,D. Schröder makes 2-pt layup from 1 ft (assist by P. George),,92,103
4,2:42.0,,Turnover by J. Holiday (bad pass; steal by S. Adams),92,103
4,2:34.0,D. Schröder misses 3-pt jump shot from 26 ft,,92,103
4,2:32.0,,Defensive rebound by D. Wright,92,103
4,2:09.0,,B. Caboclo misses 3-pt jump shot from 25 ft,92,103
4,2:05.0,,Offensive rebound by T. Dorsey,92,103
4,1:59.0,,Personal foul by P. George (drawn by D. Wright),92,103
4,1:59.0,,D. Wright misses free throw 1 of 2,92,103
4,1:59.0,,Offensive rebound by Team,92,103
4,1:59.0,,D. Wright makes free throw 2 of 2,92,104
4,1:55.0,Shooting foul by J. Holiday (drawn by P. George),,92,104
4,1:55.0,P. George makes free throw 1 of 3,,93,104
4,1:55.0,P. George makes free throw 2 of 3,,94,104
4,1:55.0,P. George makes free throw 3 of 3,,95,104
4,1:42.0,,Personal foul by P. George (drawn by T. Dorsey),95,104
4,1:42.0,,T. Dorsey makes free throw 1 of 2,95,105
4,1:42.0,,T. Dorsey makes free throw 2 of 2,95,106
4,1:42.0,Oklahoma City full timeout,,95,106
4,1:40.0,P. George makes 3-pt jump shot from 26 ft (assist by T. Ferguson),,98,106
4,1:35.0,,B. Caboclo makes 2-pt dunk from 1 ft (assist by D. Wright),98,108
4,1:28.0,D. Schröder makes 2-pt jump shot from 11 ft,,100,108
4,1:19.0,,B. Caboclo makes 2-pt dunk from 1 ft (assist by J. Valančiūnas),100,110
4,1:13.0,P. George makes 3-pt jump shot from 27 ft (assist by D. Schröder),,103,110
4,0:52.0,,D. Wright makes 2-pt layup from 1 ft,103,112
4,0:47.0,D. Schröder misses 3-pt jump shot from 27 ft,,103,112
4,0:44.0,,Defensive rebound by Team,103,112
4,0:41.0,,Shooting foul by S. Adams (drawn by J. Valančiūnas),103,112
4,0:41.0,,J. Valančiūnas makes free throw 1 of 2,103,113
4,0:41.0,,J. Valančiūnas misses free throw 2 of 2,103,113
4,0:37.0,,Offensive rebound by B. Caboclo,103,113
4,0:35.0,,D. Wright makes 2-pt layup at rim (assist by B. Caboclo),103,115
4,0:27.0,P. George misses 3-pt jump shot from 26 ft,,103,115
4,0:24.0,,Defensive rebound by D. Wright,103,115
4,0:02.0,,Turnover by Team (shot clock),103,115
