QUARTER,TIME_REMAINING,ATLANTA_ACTION,MEMPHIS_ACTION,ATLANTA_SCORE,MEMPHIS_SCORE
4,10:49.0,,Defensive rebound by S. Mack,86,108
4,10:36.0,,D. Brooks misses 2-pt jump shot from 16 ft,86,108
4,10:34.0,Defensive rebound by T. Prince,,86,108
4,10:22.0,T. Prince misses 3-pt jump shot from 28 ft,,86,108
4,10:18.0,Offensive rebound by A. Len,,86,108
4,10:16.0,T. Young misses 3-pt jump shot from 26 ft,,86,108
4,10:14.0,,Defensive rebound by O. Casspi,86,108
4,10:00.0,,Shooting foul by K. Bazemore (drawn by O. Casspi),86,108
4,10:00.0,,O. Casspi makes free throw 1 of 2,86,109
4,10:00.0,D. Bembry enters the game for K. Bazemore,,86,109
4,10:00.0,J. Lin enters the game for T. Young,,86,109
4,10:00.0,,O. Casspi makes free throw 2 of 2,86,110
4,9:51.0,D. Bembry makes 2-pt layup from 3 ft (assist by A. Len),,88,110
4,9:24.0,,K. Anderson misses 3-pt jump shot from 25 ft,88,110
4,9:22.0,Defensive rebound by A. Len,,88,110
4,9:09.0,V. Carter makes 3-pt jump shot from 25 ft (assist by J. Lin),,91,110
4,8:50.0,,Turnover by K. Anderson (out of bounds lost ball),91,110
4,8:50.0,,G. Temple enters the game for K. Anderson,91,110
4,8:39.0,Loose ball foul by D. Bembry (drawn by G. Temple),,91,110
4,8:39.0,A. Poythress enters the game for V. Carter,,91,110
4,8:39.0,,M. Conley enters the game for S. Mack,91,110
4,8:39.0,D. Bembry misses 2-pt jump shot from 8 ft,,91,110
4,8:39.0,,Defensive rebound by Team,91,110
4,8:16.0,,O. Casspi makes 2-pt layup from 1 ft (assist by M. Conley),91,112
4,8:01.0,Shooting foul by D. Brooks (drawn by T. Prince),,91,112
4,8:01.0,T. Prince makes free throw 1 of 3,,92,112
4,8:01.0,T. Prince makes free throw 2 of 3,,93,112
4,8:01.0,T. Prince makes free throw 3 of 3,,94,112
4,7:40.0,,Shooting foul by A. Poythress (drawn by D. Brooks),94,112
4,7:40.0,,D. Brooks makes free throw 1 of 2,94,113
4,7:40.0,,J. Jackson enters the game for O. Casspi,94,113
4,7:40.0,,D. Brooks makes free throw 2 of 2,94,114
4,7:30.0,Shooting foul by J. Jackson (drawn by A. Poythress),,94,114
4,7:30.0,A. Poythress misses free throw 1 of 2,,94,114
4,7:30.0,Offensive rebound by Team,,94,114
4,7:30.0,A. Poythress makes free throw 2 of 2,,95,114
4,7:14.0,,Shooting foul by D. Bembry (drawn by J. Jackson),95,114
4,7:14.0,,J. Jackson makes free throw 1 of 2,95,115
4,7:14.0,,J. Jackson makes free throw 2 of 2,95,116
4,7:05.0,T. Prince makes 3-pt jump shot from 26 ft (assist by A. Poythress),,98,116
4,6:52.0,,D. Brooks makes 2-pt jump shot from 2 ft (assist by M. Gasol),98,118
4,6:34.0,T. Prince misses 3-pt jump shot from 27 ft,,98,118
4,6:31.0,,Defensive rebound by M. Gasol,98,118
4,6:22.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Brooks),98,121
4,6:19.0,Atlanta full timeout,,98,121
4,6:19.0,K. Huerter enters the game for A. Len,,98,121
4,6:19.0,M. Plumlee enters the game for A. Poythress,,98,121
4,6:19.0,T. Young enters the game for T. Prince,,98,121
4,6:19.0,,O. Casspi enters the game for M. Conley,98,121
4,6:19.0,,S. Mack enters the game for M. Gasol,98,121
4,6:05.0,Personal foul by D. Brooks (drawn by J. Lin),,98,121
4,6:03.0,K. Huerter misses 3-pt jump shot from 25 ft,,98,121
4,5:59.0,Offensive rebound by M. Plumlee,,98,121
4,5:47.0,J. Lin makes 2-pt layup from 4 ft (assist by T. Young),,100,121
4,5:27.0,,O. Casspi makes 2-pt jump shot from 5 ft,100,123
4,5:07.0,M. Plumlee makes 2-pt layup from 1 ft (assist by K. Huerter),,102,123
4,4:47.0,,G. Temple makes 2-pt jump shot from 14 ft (assist by J. Jackson),102,125
4,4:33.0,T. Young misses 2-pt jump shot from 9 ft (block by G. Temple),,102,125
4,4:30.0,,Defensive rebound by S. Mack,102,125
4,4:30.0,,Shooting foul by J. Lin (drawn by S. Mack),102,125
4,4:30.0,,S. Mack misses free throw 1 of 2,102,125
4,4:30.0,,Offensive rebound by Team,102,125
4,4:30.0,,W. Selden enters the game for G. Temple,102,125
4,4:30.0,,S. Mack makes free throw 2 of 2,102,126
4,4:19.0,J. Lin misses 2-pt layup from 2 ft,,102,126
4,4:15.0,M. Plumlee makes 2-pt layup at rim,,104,126
4,4:15.0,Offensive rebound by M. Plumlee,,104,126
4,3:53.0,,D. Brooks misses 2-pt jump shot from 11 ft,104,126
4,3:53.0,Defensive rebound by J. Lin,,104,126
4,3:39.0,M. Plumlee makes 2-pt dunk at rim (assist by T. Young),,106,126
4,3:20.0,,Offensive foul by W. Selden (drawn by J. Lin),106,126
4,3:20.0,,Turnover by W. Selden (offensive foul),106,126
4,3:20.0,A. Poythress enters the game for T. Young,,106,126
4,3:09.0,J. Lin makes 2-pt layup from 1 ft,,108,126
4,2:52.0,,Turnover by S. Mack (bad pass; steal by M. Plumlee),108,126
4,2:50.0,J. Lin makes 2-pt layup from 2 ft (assist by M. Plumlee),,110,126
4,2:50.0,,Violation by Team (def goaltending),110,126
4,2:37.0,,Personal foul by A. Poythress (drawn by O. Casspi),110,126
4,2:37.0,,Memphis full timeout,110,126
4,2:37.0,T. Dorsey enters the game for A. Poythress,,110,126
4,2:37.0,,O. Casspi misses free throw 1 of 2,110,126
4,2:37.0,,Offensive rebound by Team,110,126
4,2:37.0,,O. Casspi makes free throw 2 of 2,110,127
4,2:27.0,Turnover by J. Lin (bad pass; steal by J. Jackson),,110,127
4,2:23.0,,W. Selden makes 2-pt dunk from 1 ft (assist by O. Casspi),110,129
4,2:12.0,T. Dorsey misses 2-pt jump shot from 15 ft (block by J. Jackson),,110,129
4,2:10.0,,Defensive rebound by J. Jackson,110,129
4,1:53.0,,J. Jackson misses 3-pt jump shot from 23 ft,110,129
4,1:48.0,Defensive rebound by K. Huerter,,110,129
4,1:45.0,K. Huerter makes 2-pt layup from 2 ft,,112,129
4,1:45.0,Shooting foul by O. Casspi (drawn by K. Huerter),,112,129
4,1:45.0,K. Huerter makes free throw 1 of 1,,113,129
4,1:25.0,,J. Jackson misses 2-pt layup from 4 ft,113,129
4,1:23.0,Defensive rebound by J. Lin,,113,129
4,1:10.0,T. Dorsey makes 3-pt jump shot from 23 ft (assist by J. Lin),,116,129
4,0:53.0,,D. Brooks misses 2-pt jump shot from 9 ft,116,129
4,0:49.0,,Offensive rebound by W. Selden,116,129
4,0:48.0,,Shooting foul by M. Plumlee (drawn by W. Selden),116,129
4,0:48.0,,W. Selden makes free throw 1 of 2,116,130
4,0:48.0,,W. Selden makes free throw 2 of 2,116,131
4,0:43.0,Turnover by D. Bembry (bad pass; steal by S. Mack),,116,131
4,0:24.0,,D. Brooks misses 3-pt jump shot from 27 ft,116,131
4,0:23.0,Defensive rebound by Team,,116,131
4,0:23.0,,Loose ball foul by J. Jackson (drawn by D. Bembry),116,131
4,0:23.0,D. Bembry makes free throw 1 of 2,,117,131
4,0:23.0,D. Bembry misses free throw 2 of 2,,117,131
4,0:21.0,,Defensive rebound by O. Casspi,117,131
